GeographyCode,QS213NI0001,QS213NI0002,QS213NI0003,QS213NI0004,QS213NI0005,QS213NI0006
95FF01,4566,304,70,82,43,311
95FF02,2659,176,53,62,29,185
95FF03,2850,147,36,47,27,159
95FF04,2512,299,65,85,35,315
95FF05,2442,181,44,48,22,183
95FF06,3918,280,51,72,26,287
95FF07,2616,99,43,44,31,108
95FF08,2277,169,34,40,22,174
95FF09,2421,147,16,25,8,151
95FF10,3297,347,89,120,46,364
95FF11,2466,278,79,79,40,291
95FF12,2614,141,31,37,26,142
95FF13,2583,165,34,38,10,169
95FF14,2362,220,41,49,15,227
95FF15,2593,228,64,68,34,244
95FF16,2279,210,43,64,29,214
95FF17,1657,96,26,34,21,101
95GG01,4771,81,16,24,13,84
95GG02,5669,93,28,33,28,97
95GG03,5714,432,94,120,54,453
95GG04,4662,184,62,66,46,201
95GG05,5692,302,63,102,44,320
95GG06,5391,284,65,87,44,303
95GG07,5223,96,23,36,25,107
95GG08,4655,185,54,61,45,192
95GG09,5904,433,83,120,57,451
95GG10,3857,297,58,83,40,312
95GG11,5224,371,85,95,43,398
95GG12,8735,464,137,135,69,508
95GG13,4527,264,69,86,44,286
95GG14,4653,292,61,80,38,309
95GG15,5715,415,65,112,30,442
95GG16,5210,239,53,70,38,247
95GG17,5085,175,45,57,31,180
95GG18,4720,112,32,47,28,117
95GG19,4386,220,66,67,60,234
95GG20,4659,296,110,120,88,310
95GG21,4953,113,29,35,26,116
95GG22,5147,79,24,18,8,86
95GG23,4413,254,64,74,42,267
95GG24,4383,290,64,87,48,307
95GG25,5366,81,27,25,20,89
95GG26,3587,195,65,57,41,213
95GG27,6230,94,47,43,38,107
95GG28,5395,283,66,75,57,297
95GG29,4739,257,77,81,58,273
95GG30,4654,320,55,70,40,337
95GG31,6297,134,31,29,23,138
95GG32,6072,248,68,78,52,264
95GG33,5417,331,56,75,33,350
95GG34,4741,238,55,91,40,254
95GG35,4729,133,43,57,41,149
95GG36,5370,376,76,100,44,393
95GG37,5824,412,75,126,50,439
95GG38,6301,331,69,106,40,354
95GG39,6952,371,80,116,64,388
95GG40,3654,233,85,85,75,246
95GG41,5382,456,79,120,44,476
95GG42,7931,574,111,154,44,605
95GG43,4659,284,73,85,52,301
95GG44,5338,320,119,118,80,344
95GG45,4658,319,81,100,47,332
95GG46,5049,54,21,16,13,60
95GG47,5588,129,37,44,34,136
95GG48,5432,61,26,29,21,67
95GG49,7974,567,131,182,50,600
95GG50,5219,389,109,133,70,409
95GG51,3898,224,75,73,55,233
95HH01,1983,195,38,52,26,212
95HH02,2861,240,40,64,20,246
95HH03,1625,227,53,69,29,233
95HH04,2989,216,58,86,43,225
95HH05,2051,134,32,33,25,140
95HH06,4602,332,72,77,45,343
95HH07,1438,106,34,33,22,111
95HH08,2530,227,50,70,22,234
95HH09,2541,232,53,65,35,236
95HH10,2407,206,37,41,13,212
95HH11,1358,131,46,44,28,138
95HH12,1503,155,32,45,25,157
95HH13,1340,98,22,11,5,102
95HH14,1481,121,41,41,30,129
95HH15,2551,212,50,69,35,220
95HH16,2093,260,49,69,28,268
95HH17,2386,323,77,70,28,337
95II01,3007,278,41,78,25,288
95II02,4800,332,69,89,52,349
95II03,3380,151,11,28,7,153
95II04,4143,239,43,65,32,250
95II05,3429,199,35,63,21,206
95II06,3225,170,48,62,31,175
95II07,1999,117,35,38,22,121
95II08,2322,185,42,44,23,200
95II09,3238,219,32,51,21,227
95II10,2501,148,47,52,37,151
95II11,2470,177,29,41,20,181
95II12,2435,198,33,41,19,206
95II13,2578,171,41,49,28,182
95II14,2473,188,26,46,22,195
