GeographyCode,QS608NI0001,QS608NI0002,QS608NI0003,QS608NI0004,QS608NI0005,QS608NI0006,QS608NI0007,QS608NI0008,QS608NI0009,QS608NI0010,QS608NI0011,QS608NI0012,QS608NI0013,QS608NI0014
95MM19,3044,245,61,184,761,415,279,351,447,383,135,73,62,28
95MM20,3358,192,59,133,673,479,249,389,569,582,195,104,91,30
95MM21,3381,363,92,271,735,389,439,326,454,526,135,88,47,14
95MM22,2472,268,50,218,755,319,292,202,266,226,111,74,37,33
95MM23,2476,140,11,129,447,299,159,195,404,380,347,185,162,105
95MM24,2503,117,42,75,278,188,171,217,412,613,448,318,130,59
95MM25,6354,365,113,252,1014,712,548,422,1185,990,1024,675,349,94
95MM26,3129,213,76,137,661,366,388,303,442,425,307,205,102,24
95MM27,3217,255,18,237,503,317,261,258,487,446,420,242,178,270
95MM28,2269,74,12,62,343,247,134,199,438,454,333,196,137,47
95MM29,3408,216,31,185,649,317,282,286,663,589,372,234,138,34
95MM30,2083,104,13,91,208,184,188,172,362,436,411,284,127,18
95NN01,3134,189,38,151,634,237,670,202,448,511,232,154,78,11
95NN02,2211,207,68,139,731,276,239,149,250,257,101,68,33,1
95NN03,2800,241,59,182,598,315,390,238,455,423,129,66,63,11
95NN04,2861,140,15,125,519,295,281,224,562,545,259,188,71,36
95NN05,2472,149,36,113,392,346,405,231,375,412,135,88,47,27
95NN06,3450,230,67,163,699,270,699,299,513,502,223,153,70,15
95NN07,3228,113,20,93,802,370,379,239,511,535,231,168,63,48
95NN08,3269,420,77,343,743,334,678,242,347,393,102,65,37,10
95NN09,2982,385,73,312,633,288,815,218,250,280,96,58,38,17
95NN10,3111,394,72,322,872,352,475,282,313,253,159,87,72,11
95NN11,3876,368,98,270,806,377,936,270,446,501,145,89,56,27
95NN12,2851,284,31,253,613,207,595,187,334,438,171,108,63,22
95NN13,3012,323,65,258,721,291,825,197,252,318,72,49,23,13
95NN14,3342,220,57,163,723,419,726,231,438,375,194,144,50,16
95NN15,2944,193,79,114,515,391,384,305,503,482,152,81,71,19
95NN16,3238,534,92,442,796,327,827,153,268,217,93,81,12,23
95NN17,2252,98,34,64,377,211,407,202,401,311,237,155,82,8
95NN18,2618,327,80,247,768,297,337,162,309,212,199,137,62,7
95NN19,3381,533,121,412,1017,438,457,246,341,259,67,46,21,23
95NN20,2980,303,62,241,639,306,847,218,271,311,73,58,15,12
95NN21,2680,288,45,243,565,248,555,198,307,321,162,118,44,36
95NN22,2685,319,68,251,665,263,645,155,266,285,66,45,21,21
95NN23,3337,333,61,272,609,239,931,235,355,422,189,96,93,24
95OO01,2546,141,46,95,320,176,760,193,311,470,167,143,24,8
95OO02,2166,155,46,109,357,139,664,169,235,308,134,98,36,5
95OO03,2621,209,68,141,372,190,608,229,392,467,149,117,32,5
95OO04,2507,195,46,149,409,167,634,183,264,438,191,167,24,26
95OO05,2688,107,26,81,308,168,200,265,655,682,279,208,71,24
95OO06,2860,226,54,172,449,219,789,218,315,482,145,110,35,17
95OO07,2510,137,25,112,350,203,794,226,277,408,98,81,17,17
95OO08,2674,260,43,217,467,179,770,174,234,459,115,88,27,16
95OO09,2223,98,21,77,329,124,696,130,373,314,148,111,37,11
95OO10,3460,192,48,144,632,266,635,226,494,577,405,340,65,33
95OO11,2485,78,7,71,342,170,289,207,405,648,311,220,91,35
95OO12,2788,214,54,160,502,203,454,237,360,544,249,171,78,25
95OO13,2667,213,62,151,428,250,219,208,601,611,103,60,43,34
95OO14,2588,251,66,185,502,166,736,165,251,390,117,80,37,10
95OO15,2353,107,33,74,316,159,260,209,483,539,221,162,59,59
95OO16,2114,143,40,103,315,154,432,184,346,376,147,112,35,17
95OO17,2724,249,90,159,455,253,654,208,321,494,68,43,25,22
95OO18,2891,316,56,260,539,225,326,222,574,531,125,81,44,33
95OO19,2989,331,69,262,658,225,575,244,354,483,100,80,20,19
95OO20,2155,243,45,198,387,196,305,207,366,374,64,39,25,13
95OO21,2351,167,39,128,458,181,311,153,452,465,147,102,45,17
95OO22,3102,250,85,165,525,242,823,194,345,469,222,173,49,32
95PP01,2586,210,63,147,501,322,546,241,331,314,101,81,20,20
95PP02,2541,141,24,117,449,179,719,158,323,376,192,149,43,4
95PP03,2512,163,33,130,332,158,668,206,355,412,214,131,83,4
95PP04,3171,243,73,170,584,286,908,208,410,365,143,118,25,24
95PP05,2329,134,28,106,288,178,763,165,284,378,123,95,28,16
95PP06,3793,323,66,257,772,483,469,359,691,516,166,106,60,14
95PP07,2728,223,44,179,537,234,688,265,320,278,179,144,35,4
95PP08,2678,155,50,105,413,140,649,325,335,506,136,118,18,19
95PP09,1607,57,14,43,174,134,139,175,352,395,165,100,65,16
95PP10,2387,142,29,113,348,124,615,221,367,392,165,119,46,13
95PP11,2553,207,46,161,413,266,291,247,513,386,204,157,47,26
95PP12,2602,179,45,134,398,175,750,246,304,360,177,135,42,13
95PP13,2585,191,34,157,482,180,310,221,471,464,255,177,78,11
95PP14,3601,253,40,213,569,380,856,318,462,557,199,140,59,7
95PP15,3182,238,60,178,626,365,635,280,475,442,101,70,31,20
95PP16,1877,202,54,148,370,226,379,135,244,237,67,49,18,17
95PP17,2486,128,10,118,339,149,327,236,553,496,226,171,55,32
95PP18,3117,189,58,131,463,306,795,310,451,435,158,129,29,10
95PP19,2502,121,36,85,323,154,534,169,387,561,229,153,76,24
95PP20,3103,231,33,198,677,360,408,290,513,400,195,127,68,29
95PP21,2167,91,21,70,267,146,668,86,290,426,183,153,30,10
95PP22,2442,246,53,193,478,252,316,192,470,353,115,81,34,20
95PP23,2515,176,20,156,444,207,725,153,306,338,146,119,27,20
95QQ01,1483,63,19,44,237,144,116,182,303,316,116,71,45,6
95QQ02,2582,284,91,193,639,260,425,318,308,290,37,17,20,21
95QQ03,1096,39,12,27,106,131,46,148,265,277,74,58,16,10
95QQ04,1635,63,30,33,241,204,133,203,327,344,116,78,38,4
95QQ05,2872,480,102,378,816,368,350,267,280,248,56,31,25,7
95QQ06,2005,109,30,79,253,196,404,191,362,350,129,96,33,11
95QQ07,1775,102,23,79,295,205,178,187,293,393,116,91,25,6
95QQ08,1455,56,17,39,191,150,73,222,349,343,66,54,12,5
95QQ09,1846,181,34,147,384,229,214,255,236,239,97,70,27,11
95QQ10,1851,197,40,157,286,115,512,160,280,235,63,44,19,3
95QQ11,2027,187,65,122,477,227,414,195,215,222,84,54,30,6
95QQ12,1697,134,40,94,391,238,141,193,287,218,82,49,33,13
95QQ13,2568,256,68,188,628,385,447,266,302,245,39,21,18,0
95QQ14,5430,481,141,340,1094,732,836,712,712,678,138,85,53,47
95QQ15,1592,72,12,60,220,187,136,292,306,297,72,42,30,10
95RR01,4367,373,109,264,915,673,711,377,602,457,215,114,101,44
