GeographyCode,QS408NI0001,QS408NI0002,QS408NI0003,QS408NI0004,QS408NI0005
95XX07,1278,1049,227,1,1
95XX08,1173,946,222,5,0
95XX09,1255,1014,233,6,2
95XX10,1842,1243,576,18,5
95XX11,2621,1860,734,18,9
95XX12,1002,860,141,1,0
95XX13,1176,1028,145,1,2
95XX14,955,799,151,4,1
95XX15,1192,920,262,7,3
95XX16,1392,1169,220,3,0
95XX17,1425,1122,286,13,4
95XX18,1348,1042,291,10,5
95XX19,1106,886,216,2,2
95XX20,1363,958,383,18,4
95XX21,1176,1010,160,5,1
95XX22,1010,778,225,4,3
95XX23,1451,1063,368,10,10
95XX24,1184,947,231,4,2
95XX25,1096,789,293,11,3
95YY01,861,616,228,17,0
95YY02,883,663,206,11,3
95YY03,991,677,301,8,5
95YY04,1270,854,393,17,6
95YY05,745,583,156,6,0
95YY06,858,567,270,18,3
95YY07,912,593,293,23,3
95YY08,789,530,241,13,5
95YY09,1014,793,206,8,7
95YY10,705,502,197,6,0
95YY11,820,587,216,14,3
95YY12,932,633,279,15,5
95YY13,1118,749,339,24,6
95YY14,1147,790,342,12,3
95YY15,889,612,247,26,4
95YY16,798,520,266,10,2
95YY17,746,446,279,16,5
95YY18,746,442,280,17,7
95YY19,707,515,173,13,6
95YY20,721,438,260,18,5
95YY21,791,506,264,16,5
95ZZ01,994,672,307,14,1
95ZZ02,751,479,258,12,2
95ZZ03,884,613,251,10,10
95ZZ04,911,637,255,17,2
95ZZ05,769,507,241,17,4
95ZZ06,786,551,207,22,6
95ZZ07,1010,650,335,17,8
95ZZ08,934,620,295,17,2
95ZZ09,881,595,267,13,6
95ZZ10,1262,896,349,12,5
95ZZ11,745,477,248,18,2
95ZZ12,868,591,251,23,3
95ZZ13,879,591,262,20,6
95ZZ14,1111,665,413,28,5
95ZZ15,804,552,238,12,2
95ZZ16,1228,792,418,14,4
