GeographyCode,QS221NI0001,QS221NI0002,QS221NI0003,QS221NI0004,QS221NI0005,QS221NI0006,QS221NI0007,QS221NI0008,QS221NI0009,QS221NI0010,QS221NI0011,QS221NI0012,QS221NI0013,QS221NI0014,QS221NI0015,QS221NI0016,QS221NI0017
95ZZ04,911,209,57,151,0,1,638,152,481,3,2,64,3,7,52,2,0
95ZZ05,769,210,97,111,1,1,513,234,278,0,1,46,4,7,33,2,0
95ZZ06,786,318,304,13,0,1,452,431,18,1,2,16,1,1,13,0,1
95ZZ07,1010,247,181,64,0,2,698,510,182,0,6,65,8,3,51,3,0
95ZZ08,934,270,182,82,1,5,616,419,196,0,1,48,4,5,38,1,0
95ZZ09,881,252,109,137,0,6,545,251,294,0,0,84,8,11,65,0,0
95ZZ10,1262,398,349,47,1,1,792,713,75,2,2,72,15,2,52,3,0
95ZZ11,745,183,126,57,0,0,530,358,169,1,2,32,4,4,24,0,0
95ZZ12,868,242,145,96,0,1,531,323,207,0,1,95,4,8,80,3,0
95ZZ13,879,182,27,152,1,2,590,105,479,0,6,107,4,22,71,10,0
95ZZ14,1111,215,194,19,1,1,834,805,29,0,0,62,21,2,36,3,0
95ZZ15,804,165,73,89,0,3,569,292,273,2,2,70,6,8,54,2,0
95ZZ16,1228,343,305,35,0,3,816,760,50,2,4,69,15,2,51,1,0
