GeographyCode,LC6502NI0001,LC6502NI0002,LC6502NI0003,LC6502NI0004,LC6502NI0005,LC6502NI0006,LC6502NI0007,LC6502NI0008,LC6502NI0009,LC6502NI0010,LC6502NI0011,LC6502NI0012,LC6502NI0013,LC6502NI0014,LC6502NI0015,LC6502NI0016,LC6502NI0017,LC6502NI0018,LC6502NI0019,LC6502NI0020,LC6502NI0021,LC6502NI0022,LC6502NI0023,LC6502NI0024,LC6502NI0025,LC6502NI0026,LC6502NI0027,LC6502NI0028,LC6502NI0029,LC6502NI0030,LC6502NI0031,LC6502NI0032,LC6502NI0033,LC6502NI0034,LC6502NI0035
N00000235,240,40,31,46,24,69,30,78,2,5,5,7,54,5,47,9,6,13,3,8,8,82,23,16,15,6,6,16,33,6,4,13,8,1,1
N00000236,204,61,28,34,29,37,15,46,2,4,5,7,26,2,40,6,5,8,12,7,2,85,40,13,11,8,2,11,33,13,6,10,2,2,0
N00000237,301,37,36,52,41,114,21,137,4,7,22,9,91,4,82,15,13,12,16,15,11,51,9,11,12,6,7,6,31,9,5,6,10,1,0
N00000238,237,22,24,39,29,110,13,121,2,5,14,11,86,3,62,13,9,10,6,18,6,35,4,8,8,7,5,3,19,3,2,7,5,1,1
N00000239,186,63,28,37,16,17,25,25,4,0,1,5,11,4,30,3,4,12,3,3,5,106,44,20,20,5,2,15,25,12,4,4,3,1,1
N00000240,240,68,38,53,34,24,23,36,5,2,10,7,11,1,43,5,7,16,6,4,5,116,40,20,22,15,5,14,45,18,9,5,6,4,3
N00000241,316,30,29,70,44,128,15,152,5,7,11,16,109,4,71,6,12,22,13,14,4,44,11,6,15,3,2,7,49,8,4,22,12,3,0
N00000242,273,33,41,53,41,88,17,113,2,10,16,16,64,5,70,11,16,13,9,14,7,52,12,12,8,8,7,5,38,8,3,16,8,3,0
N00000243,197,54,36,36,20,23,28,44,3,6,8,6,17,4,42,7,10,7,4,4,10,90,37,15,16,6,2,14,21,7,5,5,4,0,0
N00000244,200,93,38,29,19,11,10,24,4,4,5,5,5,1,36,9,7,9,7,3,1,103,56,20,13,7,1,6,37,24,7,2,0,2,2
