GeographyCode,LC6102NI0001,LC6102NI0002,LC6102NI0003,LC6102NI0004,LC6102NI0005,LC6102NI0006,LC6102NI0007,LC6102NI0008,LC6102NI0009,LC6102NI0010,LC6102NI0011,LC6102NI0012,LC6102NI0013,LC6102NI0014,LC6102NI0015,LC6102NI0016,LC6102NI0017,LC6102NI0018,LC6102NI0019,LC6102NI0020,LC6102NI0021,LC6102NI0022,LC6102NI0023,LC6102NI0024,LC6102NI0025,LC6102NI0026,LC6102NI0027
N00000041,225,3,28,11,40,26,29,78,10,151,1,21,6,26,16,17,54,10,74,2,7,5,14,10,12,24,0
N00000042,198,1,18,15,35,23,25,69,12,113,0,9,10,31,15,13,27,8,85,1,9,5,4,8,12,42,4
N00000043,547,10,45,42,117,66,63,182,22,389,6,33,30,96,40,47,119,18,158,4,12,12,21,26,16,63,4
N00000044,113,1,8,7,27,13,17,30,10,72,0,4,5,21,6,14,17,5,41,1,4,2,6,7,3,13,5
N00000045,269,25,25,37,45,9,39,79,10,163,8,20,24,24,5,25,52,5,106,17,5,13,21,4,14,27,5
N00000046,191,20,17,22,30,5,21,64,12,91,9,9,14,16,2,9,26,6,100,11,8,8,14,3,12,38,6
N00000047,184,9,20,14,35,24,19,57,6,79,1,12,3,20,9,11,21,2,105,8,8,11,15,15,8,36,4
N00000048,135,7,18,11,27,14,6,45,7,93,2,11,9,22,7,5,30,7,42,5,7,2,5,7,1,15,0
N00000049,120,5,12,11,26,11,14,38,3,77,2,9,10,23,6,8,19,0,43,3,3,1,3,5,6,19,3
N00000050,147,4,20,19,34,8,12,46,4,75,1,11,10,25,5,5,17,1,72,3,9,9,9,3,7,29,3
N00000051,110,2,18,4,28,13,9,31,5,74,0,9,4,23,7,7,20,4,36,2,9,0,5,6,2,11,1
N00000052,124,1,11,8,38,3,14,45,4,73,0,6,4,26,1,8,25,3,51,1,5,4,12,2,6,20,1
N00000053,112,2,21,4,33,7,12,27,6,80,1,17,3,24,6,7,17,5,32,1,4,1,9,1,5,10,1
N00000054,116,0,20,2,29,12,7,42,4,78,0,14,2,18,8,5,27,4,38,0,6,0,11,4,2,15,0
N00000055,113,0,26,2,26,14,7,36,2,61,0,16,0,19,6,5,15,0,52,0,10,2,7,8,2,21,2
N00000056,125,2,25,8,28,13,10,31,8,76,1,15,4,19,8,8,14,7,49,1,10,4,9,5,2,17,1
N00000057,106,1,15,7,34,8,12,25,4,72,1,9,6,25,6,8,14,3,34,0,6,1,9,2,4,11,1
N00000058,120,0,24,6,28,10,8,40,4,77,0,15,3,20,7,3,26,3,43,0,9,3,8,3,5,14,1
N00000059,99,1,13,2,40,8,11,21,3,73,1,8,2,29,7,8,16,2,26,0,5,0,11,1,3,5,1
N00000060,161,5,15,7,51,13,17,49,4,116,2,12,3,42,8,11,34,4,45,3,3,4,9,5,6,15,0
N00000061,124,1,17,6,29,10,21,37,3,59,1,10,3,16,8,10,10,1,65,0,7,3,13,2,11,27,2
N00000062,159,4,8,12,39,10,20,58,8,84,2,5,9,23,4,10,24,7,75,2,3,3,16,6,10,34,1
N00000063,146,3,14,9,42,19,14,34,11,95,2,10,5,35,14,10,12,7,51,1,4,4,7,5,4,22,4
N00000064,88,2,13,6,30,8,7,19,3,55,0,6,3,21,4,5,13,3,33,2,7,3,9,4,2,6,0
N00000065,192,2,15,10,39,18,18,79,11,102,1,7,7,30,9,9,34,5,90,1,8,3,9,9,9,45,6
