GeographyCode,LC4103NI0001,LC4103NI0002,LC4103NI0003,LC4103NI0004,LC4103NI0005,LC4103NI0006,LC4103NI0007,LC4103NI0008,LC4103NI0009,LC4103NI0010,LC4103NI0011,LC4103NI0012,LC4103NI0013,LC4103NI0014,LC4103NI0015,LC4103NI0016,LC4103NI0017,LC4103NI0018,LC4103NI0019,LC4103NI0020
N00003614,507,61,186,188,72,462,42,179,178,63,6,0,0,2,4,39,19,7,8,5
N00003615,361,68,102,134,57,283,28,84,127,44,27,9,11,2,5,51,31,7,5,8
N00003616,367,32,98,167,70,290,20,87,127,56,27,0,6,13,8,50,12,5,27,6
N00003617,323,67,80,125,51,223,38,57,97,31,69,18,19,24,8,31,11,4,4,12
N00003618,448,46,98,227,77,391,37,78,203,73,30,5,9,13,3,27,4,11,11,1
N00003619,420,52,103,170,95,348,31,97,143,77,23,7,0,9,7,49,14,6,18,11
N00003620,494,79,107,228,80,412,55,76,206,75,18,2,0,15,1,64,22,31,7,4
N00003621,427,65,109,198,55,352,19,93,192,48,0,0,0,0,0,75,46,16,6,7
N00003622,601,98,184,237,82,545,70,163,230,82,0,0,0,0,0,56,28,21,7,0
N00003623,301,29,89,118,65,188,11,52,79,46,63,5,15,29,14,50,13,22,10,5
N00003624,666,73,223,265,105,553,29,198,242,84,22,0,5,9,8,91,44,20,14,13
N00003625,431,58,123,185,65,246,15,56,134,41,130,24,59,32,15,55,19,8,19,9
N00003626,390,35,113,158,84,324,16,89,145,74,20,2,12,4,2,46,17,12,9,8
N00003627,340,61,106,101,72,180,23,57,52,48,117,21,35,43,18,43,17,14,6,6
N00003628,313,33,39,131,110,232,20,29,97,86,34,5,2,23,4,47,8,8,11,20
N00003629,247,26,26,128,67,212,12,24,117,59,0,0,0,0,0,35,14,2,11,8
N00003630,555,63,74,253,165,405,24,42,203,136,41,3,10,12,16,109,36,22,38,13
N00003631,205,49,33,67,56,92,7,19,42,24,75,27,9,16,23,38,15,5,9,9
N00003632,270,29,38,128,75,198,2,23,116,57,29,6,6,5,12,43,21,9,7,6
N00003633,259,56,75,86,42,33,0,7,12,14,204,50,61,73,20,22,6,7,1,8
N00003634,315,53,64,125,73,219,25,56,83,55,61,13,8,29,11,35,15,0,13,7
N00003635,335,53,99,105,78,284,32,95,98,59,19,0,0,5,14,32,21,4,2,5
