GeographyCode,LC2114NI0001,LC2114NI0002,LC2114NI0003,LC2114NI0004,LC2114NI0005,LC2114NI0006,LC2114NI0007,LC2114NI0008,LC2114NI0009,LC2114NI0010,LC2114NI0011,LC2114NI0012,LC2114NI0013,LC2114NI0014,LC2114NI0015
N00001446,300,26,274,64,2,62,43,2,41,100,9,91,93,13,80
N00001447,311,41,270,55,2,53,48,8,40,95,14,81,113,17,96
N00001448,341,32,309,98,4,94,56,4,52,139,12,127,48,12,36
N00001449,309,31,278,71,1,70,84,4,80,93,14,79,61,12,49
N00001450,256,25,231,51,0,51,36,0,36,84,10,74,85,15,70
N00001451,241,17,224,57,1,56,42,3,39,74,9,65,68,4,64
N00001452,312,36,276,85,0,85,55,8,47,106,13,93,66,15,51
N00001453,362,38,324,106,3,103,57,11,46,108,14,94,91,10,81
N00001454,316,25,291,91,4,87,48,1,47,114,9,105,63,11,52
N00001455,251,15,236,71,0,71,69,6,63,64,3,61,47,6,41
N00001456,327,35,292,84,2,82,93,8,85,93,19,74,57,6,51
N00001457,305,16,289,97,1,96,64,3,61,98,10,88,46,2,44
N00001458,365,28,337,70,3,67,99,9,90,73,8,65,123,8,115
N00001459,455,16,439,186,1,185,75,4,71,108,4,104,86,7,79
N00001460,570,47,523,139,2,137,196,10,186,130,15,115,105,20,85
N00001461,307,13,294,88,0,88,77,1,76,77,7,70,65,5,60
N00001462,343,34,309,83,4,79,99,4,95,87,14,73,74,12,62
N00001463,379,21,358,126,1,125,74,3,71,115,7,108,64,10,54
N00001464,337,23,314,93,0,93,76,4,72,124,11,113,44,8,36
N00001465,416,30,386,121,2,119,72,4,68,142,13,129,81,11,70
N00001466,272,8,264,129,3,126,62,1,61,44,3,41,37,1,36
N00001467,1493,105,1388,1274,94,1180,75,1,74,86,5,81,58,5,53
N00001468,278,18,260,172,12,160,71,3,68,17,1,16,18,2,16
N00001469,238,19,219,105,4,101,78,10,68,28,2,26,27,3,24
N00001470,347,25,322,238,16,222,83,7,76,20,2,18,6,0,6
N00001471,491,45,446,410,43,367,58,2,56,16,0,16,7,0,7
N00001472,855,96,759,436,63,373,179,5,174,157,19,138,83,9,74
N00001473,414,42,372,100,5,95,219,22,197,68,9,59,27,6,21
N00001474,333,26,307,101,3,98,75,3,72,93,11,82,64,9,55
N00001475,287,19,268,63,4,59,139,3,136,40,6,34,45,6,39
N00001476,263,21,242,74,2,72,99,13,86,56,1,55,34,5,29
N00001477,257,22,235,60,4,56,73,2,71,73,11,62,51,5,46
N00001478,286,15,271,74,1,73,115,5,110,61,5,56,36,4,32
N00001479,335,23,312,114,3,111,89,7,82,88,7,81,44,6,38
N00001480,462,31,431,83,1,82,113,14,99,126,9,117,140,7,133
N00001481,222,13,209,61,0,61,51,0,51,71,8,63,39,5,34
N00001482,297,16,281,75,1,74,115,10,105,67,2,65,40,3,37
N00001483,233,16,217,45,4,41,101,8,93,53,2,51,34,2,32
N00001484,204,18,186,45,3,42,81,6,75,57,8,49,21,1,20
N00001485,236,19,217,47,3,44,111,7,104,50,7,43,28,2,26
N00001486,348,20,328,87,2,85,84,5,79,101,7,94,76,6,70
N00001487,291,19,272,59,3,56,88,7,81,84,5,79,60,4,56
N00001488,267,14,253,80,1,79,97,7,90,65,4,61,25,2,23
N00001489,285,11,274,66,0,66,80,3,77,76,3,73,63,5,58
N00001490,179,10,169,45,0,45,72,5,67,27,3,24,35,2,33
N00001491,243,17,226,47,2,45,59,2,57,41,5,36,96,8,88
N00001492,215,20,195,64,4,60,80,10,70,55,5,50,16,1,15
N00001493,247,13,234,59,1,58,107,5,102,57,6,51,24,1,23
N00001494,188,21,167,52,4,48,73,10,63,38,2,36,25,5,20
N00001495,273,20,253,79,6,73,92,5,87,69,5,64,33,4,29
N00001496,243,12,231,36,0,36,128,4,124,48,2,46,31,6,25
N00001497,226,11,215,64,2,62,94,6,88,47,2,45,21,1,20
N00001498,432,32,400,148,5,143,154,8,146,88,13,75,42,6,36
N00001499,321,23,298,99,3,96,120,9,111,75,9,66,27,2,25
N00001500,211,13,198,28,0,28,108,4,104,54,3,51,21,6,15
N00001501,475,23,452,137,1,136,158,7,151,119,7,112,61,8,53
N00001502,395,28,367,120,2,118,156,13,143,75,9,66,44,4,40
N00001503,197,15,182,51,2,49,62,4,58,49,8,41,35,1,34
N00001504,259,9,250,103,0,103,65,2,63,68,4,64,23,3,20
N00001505,450,43,407,143,12,131,222,20,202,60,8,52,25,3,22
N00001506,226,16,210,54,1,53,99,6,93,45,6,39,28,3,25
N00001507,240,4,236,76,1,75,65,1,64,56,2,54,43,0,43
N00001508,446,34,412,166,12,154,200,13,187,66,9,57,14,0,14
N00001509,364,28,336,89,4,85,123,5,118,65,11,54,87,8,79
N00001510,203,16,187,47,2,45,80,5,75,50,4,46,26,5,21
N00001511,612,38,574,229,11,218,167,13,154,128,8,120,88,6,82
N00001512,284,12,272,76,0,76,141,7,134,40,1,39,27,4,23
N00001513,223,10,213,67,4,63,104,3,101,35,2,33,17,1,16
N00001514,235,16,219,63,3,60,73,5,68,55,3,52,44,5,39
N00001515,347,23,324,83,0,83,44,1,43,103,10,93,117,12,105
N00001516,268,24,244,50,2,48,32,2,30,58,3,55,128,17,111
