GeographyCode,LC6604NI0001,LC6604NI0002,LC6604NI0003,LC6604NI0004,LC6604NI0005,LC6604NI0006,LC6604NI0007,LC6604NI0008,LC6604NI0009,LC6604NI0010,LC6604NI0011,LC6604NI0012,LC6604NI0013,LC6604NI0014,LC6604NI0015,LC6604NI0016,LC6604NI0017,LC6604NI0018,LC6604NI0019,LC6604NI0020,LC6604NI0021,LC6604NI0022,LC6604NI0023,LC6604NI0024,LC6604NI0025,LC6604NI0026,LC6604NI0027,LC6604NI0028,LC6604NI0029,LC6604NI0030,LC6604NI0031,LC6604NI0032,LC6604NI0033,LC6604NI0034,LC6604NI0035,LC6604NI0036,LC6604NI0037,LC6604NI0038,LC6604NI0039,LC6604NI0040,LC6604NI0041,LC6604NI0042,LC6604NI0043,LC6604NI0044,LC6604NI0045
N00000107,93,25,68,11,1,10,18,1,17,37,15,22,27,8,19,50,6,44,4,0,4,16,1,15,13,2,11,17,3,14,43,19,24,7,1,6,2,0,2,24,13,11,10,5,5
N00000108,108,29,79,19,1,18,22,5,17,44,15,29,23,8,15,60,8,52,11,0,11,15,2,13,21,4,17,13,2,11,48,21,27,8,1,7,7,3,4,23,11,12,10,6,4
N00000109,264,66,198,38,4,34,47,3,44,126,38,88,53,21,32,132,11,121,16,1,15,39,1,38,52,7,45,25,2,23,132,55,77,22,3,19,8,2,6,74,31,43,28,19,9
N00000110,133,35,98,10,1,9,26,2,24,66,18,48,31,14,17,68,5,63,5,0,5,21,1,20,28,3,25,14,1,13,65,30,35,5,1,4,5,1,4,38,15,23,17,13,4
N00000111,182,48,134,50,10,40,44,6,38,71,25,46,17,7,10,96,11,85,22,2,20,33,2,31,34,6,28,7,1,6,86,37,49,28,8,20,11,4,7,37,19,18,10,6,4
N00000112,201,60,141,34,3,31,38,8,30,87,33,54,42,16,26,103,23,80,15,0,15,26,4,22,39,14,25,23,5,18,98,37,61,19,3,16,12,4,8,48,19,29,19,11,8
N00000113,160,48,112,34,6,28,26,3,23,71,25,46,29,14,15,80,10,70,13,0,13,20,2,18,31,5,26,16,3,13,80,38,42,21,6,15,6,1,5,40,20,20,13,11,2
N00000114,169,40,129,37,5,32,38,3,35,63,16,47,31,16,15,85,10,75,12,0,12,29,2,27,26,2,24,18,6,12,84,30,54,25,5,20,9,1,8,37,14,23,13,10,3
N00000115,119,38,81,13,1,12,29,5,24,54,19,35,23,13,10,61,11,50,7,0,7,22,2,20,19,3,16,13,6,7,58,27,31,6,1,5,7,3,4,35,16,19,10,7,3
N00000116,132,38,94,16,3,13,25,3,22,74,26,48,17,6,11,61,8,53,8,0,8,19,1,18,27,6,21,7,1,6,71,30,41,8,3,5,6,2,4,47,20,27,10,5,5
N00000117,46,17,29,4,0,4,8,2,6,18,9,9,16,6,10,23,3,20,2,0,2,5,0,5,7,2,5,9,1,8,23,14,9,2,0,2,3,2,1,11,7,4,7,5,2
N00000118,166,40,126,59,10,49,48,7,41,44,17,27,15,6,9,84,9,75,34,2,32,32,1,31,11,4,7,7,2,5,82,31,51,25,8,17,16,6,10,33,13,20,8,4,4
N00000119,120,33,87,50,9,41,22,5,17,41,17,24,7,2,5,67,10,57,32,3,29,14,2,12,16,3,13,5,2,3,53,23,30,18,6,12,8,3,5,25,14,11,2,0,2
