nameA,personA,yearsA,nameB,personB,yearsB,tokenOverlap,signal
Robert Dick Megaw,104295,1921-1925,Robert Megaw,107559,1989-1989,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Robert Harrison-Rice,104997,2014-2014,Robert Rice,108461,1973-2005,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Robert James Johnstone,104186,1929-1938,Robert Johnstone,93376,1997-1998,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Robert James Mitchell,9619,1969-1973,Robert Mitchell,52824,1977-1993,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Robert John Lynn,104261,1921-1925,Robert Lynn,104129,1918-1945,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Robert McFarland,100621,1977-2005,Robert McFarland Bingham,105741,1961-1962,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Captain Patrick Giles,101078,1948-1957,Patrick Giles,101237,1937-1944,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick Burke,101585,1927-1981,Patrick J Burke,100211,1944-1969,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick Byrne,101232,1923-1965,Patrick J. Byrne,105963,1969-1969,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick Byrne,101232,1923-1965,Patrick O'Byrne,110387,1922-1922,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick Cahill,110322,1948-1948,Patrick J Cahill,101238,1921-1943,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick Connor,102054,1961-1969,Patrick O'Connor,20119,1993-2001,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick Cummins,103580,1961-1965,Patrick J Cummins,110355,1969-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick Doherty,26409,1923-1992,Patrick O'Doherty,110388,2011-2011,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick Finnegan,112301,1997-1997,Patrick J Finnegan,112365,1992-1992,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick Flanagan,100556,1973-1993,Patrick O'Flanagan,108163,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick Hogan,100015,1921-1969,Patrick J Hogan,102060,1922-1933,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick Hogan,100015,1921-1969,Patrick K Hogan,110360,1923-1923,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Patrick M. Moore,106180,1921-1921,Patrick Moore,110379,2007-2007,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James Woods,106585,1985-1985,James Woods Gyle,104263,1925-1929,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James Woods,106585,1985-1985,Philip James Woods,103855,1923-1929,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Philip James Woods,103855,1923-1929,Philip Woods,106001,1929-1929,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Captain John Brooke,103830,1968-1969,John Brooke,45642,1973-1975,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Dr John Crowley,101107,1918-1923,John Crowley,107041,2005-2005,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Barry,67956,1927-2014,John Harold Barry,112529,1997-1997,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Blakiston-Houston,105938,1935-1945,John Houston,35117,1975-1975,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Campbell,101056,1921-2011,John Dermot Campbell,104244,1943-1943,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Clarke,103374,1948-1969,John Clarke Davison,104119,1925-1938,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Collins,11317,1945-1998,John Henry Collins,103838,1925-1929,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Donnellan,109652,1965-1965,John F Donnellan,109657,1969-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Fawcett Gordon,104189,1921-1938,John Gordon,25318,2022-2023,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Hassett,109674,1932-1932,John J Hassett,103391,1927-1927,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Henry,102977,1977-1981,John Henry Collins,103838,1925-1929,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Captain William Redmond,103138,1918-1923,William Redmond,102156,1927-1932,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John William Dickson,106125,1938-1938,William Dickson,72126,1977-2016,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John William Kennedy,102778,1973-1977,William Kennedy,103841,1945-1969,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John William McDowell,103980,1962-1965,William McDowell,108153,1985-1985,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Joseph William Morgan,105921,1958-1958,William Morgan,10816,1973-1975,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Prof William Magennis,103633,1923-1927,William Magennis,110971,1922-1922,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Prof William Stockley,103634,1921-1923,William Stockley,110992,1922-1922,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Sir William Whitla,110712,1918-1918,William Whitla,105822,1922-1922,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William Allen,31194,1922-1997,William J. Allen,103915,1922-1945,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William Croly,110944,1954-1954,William James Croly,110964,1948-1948,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William Donaldson,108452,1993-1993,William John Donaldson,105630,1933-1933,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William Frederick McCoy,104181,1945-1962,William McCoy,102772,1981-1985,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William Gregg,108272,1973-1973,William John Gregg,104138,1949-1949,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William Henry,106478,1973-1973,William Henry Cushley,104093,1962-1962,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William James Morgan,103810,1949-1969,William Morgan,10816,1973-1975,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William John Larmour,107882,1997-1997,William Larmour,49528,1993-1993,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William John Stewart,105659,1938-1938,William Stewart,104811,1918-1981,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
