GeographyCode,KS603NI0001,KS603NI0002,KS603NI0003,KS603NI0004,KS603NI0005,KS603NI0006,KS603NI0007,KS603NI0008,KS603NI0009,KS603NI0010,KS603NI0011,KS603NI0012,KS603NI0013,KS603NI0014,KS603NI0015,KS603NI0016,KS603NI0017,KS603NI0018,KS603NI0019,KS603NI0020,KS603NI0021,KS603NI0022,KS603NI0023,KS603NI0024,KS603NI0025,KS603NI0026,KS603NI0027,KS603NI0028,KS603NI0029,KS603NI0030,KS603NI0031
N00003790,127,30,29,4,6,2,15,9,12,10,10,9,2,0,0,3,23.62,22.83,3.15,4.72,1.57,11.81,7.09,9.45,7.87,7.87,7.09,33.33,0,0,50.00
N00003791,262,61,67,16,17,9,32,14,23,21,2,42,6,0,2,10,23.28,25.57,6.11,6.49,3.44,12.21,5.34,8.78,8.02,0.76,16.03,35.29,0,11.76,58.82
N00003792,109,26,25,3,4,3,16,6,17,5,4,17,2,1,1,2,23.85,22.94,2.75,3.67,2.75,14.68,5.50,15.60,4.59,3.67,15.60,50.00,25.00,25.00,50.00
N00003793,246,54,70,8,6,13,26,17,27,17,8,55,2,1,0,3,21.95,28.46,3.25,2.44,5.28,10.57,6.91,10.98,6.91,3.25,22.36,33.33,16.67,0,50.00
N00003794,149,30,30,4,2,7,15,16,17,18,10,14,1,0,0,1,20.13,20.13,2.68,1.34,4.70,10.07,10.74,11.41,12.08,6.71,9.40,50.00,0,0,50.00
N00003795,179,32,56,10,2,11,18,13,17,13,7,29,0,1,0,1,17.88,31.28,5.59,1.12,6.15,10.06,7.26,9.50,7.26,3.91,16.20,0,50.00,0,50.00
N00003796,206,52,67,10,5,4,19,15,18,12,4,45,1,0,1,2,25.24,32.52,4.85,2.43,1.94,9.22,7.28,8.74,5.83,1.94,21.84,20.00,0,20.00,40.00
N00003797,187,35,45,10,11,9,13,19,26,11,8,26,3,3,2,6,18.72,24.06,5.35,5.88,4.81,6.95,10.16,13.90,5.88,4.28,13.90,27.27,27.27,18.18,54.55
N00003798,176,44,37,8,14,11,9,8,22,15,8,20,2,4,1,9,25.00,21.02,4.55,7.95,6.25,5.11,4.55,12.50,8.52,4.55,11.36,14.29,28.57,7.14,64.29
N00003799,126,22,47,6,3,2,8,10,11,12,5,24,0,1,0,1,17.46,37.30,4.76,2.38,1.59,6.35,7.94,8.73,9.52,3.97,19.05,0,33.33,0,33.33
N00003800,164,37,47,5,4,7,22,20,15,6,1,33,2,1,0,1,22.56,28.66,3.05,2.44,4.27,13.41,12.20,9.15,3.66,0.61,20.12,50.00,25.00,0,25.00
N00003801,143,31,41,11,6,1,24,9,11,6,3,29,2,0,2,1,21.68,28.67,7.69,4.20,0.70,16.78,6.29,7.69,4.20,2.10,20.28,33.33,0,33.33,16.67
N00003802,107,30,32,4,2,0,11,8,12,4,4,26,0,0,0,1,28.04,29.91,3.74,1.87,0,10.28,7.48,11.21,3.74,3.74,24.30,0,0,0,50.00
N00003803,146,33,44,7,1,2,32,9,8,8,2,30,0,0,0,1,22.60,30.14,4.79,0.68,1.37,21.92,6.16,5.48,5.48,1.37,20.55,0,0,0,100.00
N00003804,161,37,45,9,4,3,20,13,15,12,3,27,1,1,0,1,22.98,27.95,5.59,2.48,1.86,12.42,8.07,9.32,7.45,1.86,16.77,25.00,25.00,0,25.00
N00003805,112,18,28,3,6,8,15,6,10,14,4,11,4,0,0,3,16.07,25.00,2.68,5.36,7.14,13.39,5.36,8.93,12.50,3.57,9.82,66.67,0,0,50.00
N00003806,146,26,30,3,4,5,28,10,13,20,7,17,2,0,2,0,17.81,20.55,2.05,2.74,3.42,19.18,6.85,8.90,13.70,4.79,11.64,50.00,0,50.00,0
