GeographyCode,KS208NI0001,KS208NI0002,KS208NI0003,KS208NI0004,KS208NI0005,KS208NI0006,KS208NI0007,KS208NI0008,KS208NI0009
N00000065,146,142,2,0,2,97.26,1.37,0,1.37
N00000066,110,106,1,1,2,96.36,0.91,0.91,1.82
N00000067,134,129,1,0,4,96.27,0.75,0,2.99
N00000068,124,116,5,0,3,93.55,4.03,0,2.42
N00000069,145,145,0,0,0,100.00,0,0,0
N00000070,104,103,0,1,0,99.04,0,0.96,0
N00000071,136,132,2,0,2,97.06,1.47,0,1.47
N00000072,634,581,13,1,39,91.64,2.05,0.16,6.15
N00000073,249,221,3,0,25,88.76,1.20,0,10.04
N00000074,386,367,3,2,14,95.08,0.78,0.52,3.63
N00000075,111,104,3,1,3,93.69,2.70,0.90,2.70
N00000076,114,108,1,0,5,94.74,0.88,0,4.39
N00000077,98,94,2,0,2,95.92,2.04,0,2.04
N00000078,161,152,3,1,5,94.41,1.86,0.62,3.11
N00000079,192,192,0,0,0,100.00,0,0,0
N00000080,146,146,0,0,0,100.00,0,0,0
N00000081,140,140,0,0,0,100.00,0,0,0
N00000082,132,131,0,1,0,99.24,0,0.76,0
N00000083,208,208,0,0,0,100.00,0,0,0
N00000084,153,153,0,0,0,100.00,0,0,0
N00000085,180,162,2,0,16,90.00,1.11,0,8.89
N00000086,142,132,0,0,10,92.96,0,0,7.04
N00000087,303,296,2,0,5,97.69,0.66,0,1.65
N00000088,136,134,1,0,1,98.53,0.74,0,0.74
N00000089,164,159,2,1,2,96.95,1.22,0.61,1.22
N00000090,138,132,2,0,4,95.65,1.45,0,2.90
N00000091,176,164,1,0,11,93.18,0.57,0,6.25
N00000092,168,167,1,0,0,99.40,0.60,0,0
N00000093,140,139,0,0,1,99.29,0,0,0.71
N00000094,161,160,1,0,0,99.38,0.62,0,0
N00000095,152,151,0,0,1,99.34,0,0,0.66
N00000096,158,158,0,0,0,100.00,0,0,0
N00000097,296,274,3,1,18,92.57,1.01,0.34,6.08
N00000098,446,390,8,4,44,87.44,1.79,0.90,9.87
N00000099,107,104,1,1,1,97.20,0.93,0.93,0.93
N00000100,164,153,2,0,9,93.29,1.22,0,5.49
N00000101,122,105,2,4,11,86.07,1.64,3.28,9.02
N00000102,125,114,3,1,7,91.20,2.40,0.80,5.60
N00000103,205,189,2,0,14,92.20,0.98,0,6.83
