GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
N00000037,279,275,0,0,4,0,0,0,0,0,0,0,0,0,98.57,0,0,1.43,0,0,0,0,0,0,0,0,0
N00000038,394,388,1,0,1,0,0,0,3,0,0,0,0,1,98.48,0.25,0,0.25,0,0,0,0.76,0,0,0,0,0.25
N00000039,1187,1161,1,0,16,0,0,0,0,0,0,6,0,3,97.81,0.08,0,1.35,0,0,0,0,0,0,0.51,0,0.25
N00000040,254,251,0,0,3,0,0,0,0,0,0,0,0,0,98.82,0,0,1.18,0,0,0,0,0,0,0,0,0
N00000041,439,425,5,0,9,0,0,0,0,0,0,0,0,0,96.81,1.14,0,2.05,0,0,0,0,0,0,0,0,0
N00000042,399,398,0,0,1,0,0,0,0,0,0,0,0,0,99.75,0,0,0.25,0,0,0,0,0,0,0,0,0
N00000043,1171,1139,10,0,12,1,2,0,2,0,0,0,1,4,97.27,0.85,0,1.02,0.09,0.17,0,0.17,0,0,0,0.09,0.34
N00000044,298,295,0,0,2,0,0,0,0,0,1,0,0,0,98.99,0,0,0.67,0,0,0,0,0,0.34,0,0,0
N00000045,496,494,2,0,0,0,0,0,0,0,0,0,0,0,99.60,0.40,0,0,0,0,0,0,0,0,0,0,0
N00000046,382,381,0,0,0,0,0,0,0,0,0,0,0,1,99.74,0,0,0,0,0,0,0,0,0,0,0,0.26
N00000047,362,360,0,1,0,0,0,0,0,0,0,0,0,1,99.45,0,0.28,0,0,0,0,0,0,0,0,0,0.28
N00000048,293,271,1,20,0,0,0,0,0,0,0,0,0,1,92.49,0.34,6.83,0,0,0,0,0,0,0,0,0,0.34
N00000049,245,231,3,2,0,0,5,0,0,0,0,0,0,4,94.29,1.22,0.82,0,0,2.04,0,0,0,0,0,0,1.63
N00000050,292,290,0,0,0,0,2,0,0,0,0,0,0,0,99.32,0,0,0,0,0.68,0,0,0,0,0,0,0
N00000051,297,283,0,0,1,0,2,0,2,0,0,0,0,9,95.29,0,0,0.34,0,0.67,0,0.67,0,0,0,0,3.03
N00000052,296,285,5,6,0,0,0,0,0,0,0,0,0,0,96.28,1.69,2.03,0,0,0,0,0,0,0,0,0,0
