GeographyCode,KS702NI0001,KS702NI0002,KS702NI0003,KS702NI0004,KS702NI0005,KS702NI0006,KS702NI0007,KS702NI0008,KS702NI0009,KS702NI0010,KS702NI0011,KS702NI0012,KS702NI0013,KS702NI0014,KS702NI0015,KS702NI0016,KS702NI0017,KS702NI0018,KS702NI0019,KS702NI0020,KS702NI0021,KS702NI0022,KS702NI0023,KS702NI0024,KS702NI0025,KS702NI0026,KS702NI0027,KS702NI0028,KS702NI0029
N00000091,331,23,2,22,2,143,47,27,2,2,58,3,297,22,34,2,6.95,0.60,6.65,0.60,43.20,14.20,8.16,0.60,0.60,17.52,0.91,7.41,5.88
N00000092,332,44,5,49,3,145,55,22,2,0,3,4,323,50,9,4,13.25,1.51,14.76,0.90,43.67,16.57,6.63,0.60,0,0.90,1.20,15.48,44.44
N00000093,263,29,1,39,0,114,36,29,3,2,6,4,257,39,5,1,11.03,0.38,14.83,0,43.35,13.69,11.03,1.14,0.76,2.28,1.52,15.18,20.00
N00000094,352,43,8,46,3,183,41,15,4,0,8,1,352,54,0,0,12.22,2.27,13.07,0.85,51.99,11.65,4.26,1.14,0,2.27,0.28,15.34,0
N00000095,337,32,3,34,0,159,68,28,2,1,8,2,335,36,2,1,9.50,0.89,10.09,0,47.18,20.18,8.31,0.59,0.30,2.37,0.59,10.75,50.00
N00000096,302,40,0,20,1,173,37,24,0,0,5,2,302,20,0,0,13.25,0,6.62,0.33,57.28,12.25,7.95,0,0,1.66,0.66,6.62,0
N00000097,631,45,10,42,2,286,128,41,21,11,42,3,589,42,42,10,7.13,1.58,6.66,0.32,45.32,20.29,6.50,3.33,1.74,6.66,0.48,7.13,23.81
N00000098,870,77,18,47,0,402,130,93,25,14,60,4,832,61,38,4,8.85,2.07,5.40,0,46.21,14.94,10.69,2.87,1.61,6.90,0.46,7.33,10.53
N00000099,145,17,4,12,0,37,13,11,6,5,40,0,113,12,32,4,11.72,2.76,8.28,0,25.52,8.97,7.59,4.14,3.45,27.59,0,10.62,12.50
N00000100,213,19,4,20,0,83,17,12,8,2,47,1,176,19,37,5,8.92,1.88,9.39,0,38.97,7.98,5.63,3.76,0.94,22.07,0.47,10.80,13.51
N00000101,164,16,2,15,0,45,21,10,16,3,34,2,115,12,49,5,9.76,1.22,9.15,0,27.44,12.80,6.10,9.76,1.83,20.73,1.22,10.43,10.20
N00000102,219,15,4,24,1,100,34,14,7,2,17,1,196,19,23,9,6.85,1.83,10.96,0.46,45.66,15.53,6.39,3.20,0.91,7.76,0.46,9.69,39.13
N00000103,373,44,7,36,2,142,56,19,14,7,45,1,316,32,53,8,11.80,1.88,9.65,0.54,38.07,15.01,5.09,3.75,1.88,12.06,0.27,10.13,15.09
N00000104,219,22,2,18,1,81,31,18,13,3,30,0,185,16,34,4,10.05,0.91,8.22,0.46,36.99,14.16,8.22,5.94,1.37,13.70,0,8.65,11.76
N00000105,203,18,3,22,0,76,25,12,8,3,36,0,151,19,52,6,8.87,1.48,10.84,0,37.44,12.32,5.91,3.94,1.48,17.73,0,12.58,11.54
N00000106,108,7,3,13,0,31,11,9,6,1,26,1,76,8,32,8,6.48,2.78,12.04,0,28.70,10.19,8.33,5.56,0.93,24.07,0.93,10.53,25.00
N00000107,143,17,0,7,2,42,18,11,6,3,34,3,108,4,35,3,11.89,0,4.90,1.40,29.37,12.59,7.69,4.20,2.10,23.78,2.10,3.70,8.57
N00000108,142,6,5,10,0,68,24,9,2,0,17,1,130,12,12,3,4.23,3.52,7.04,0,47.89,16.90,6.34,1.41,0,11.97,0.70,9.23,25.00
N00000109,319,37,3,23,1,109,37,32,12,4,61,0,254,12,65,14,11.60,0.94,7.21,0.31,34.17,11.60,10.03,3.76,1.25,19.12,0,4.72,21.54
N00000110,167,14,1,10,2,67,18,13,2,2,38,0,139,9,28,2,8.38,0.60,5.99,1.20,40.12,10.78,7.78,1.20,1.20,22.75,0,6.47,7.14
N00000111,246,22,1,16,0,116,38,13,6,0,34,0,241,16,5,1,8.94,0.41,6.50,0,47.15,15.45,5.28,2.44,0,13.82,0,6.64,20.00
N00000112,298,19,5,29,2,105,33,31,8,3,58,5,251,26,47,8,6.38,1.68,9.73,0.67,35.23,11.07,10.40,2.68,1.01,19.46,1.68,10.36,17.02
N00000113,209,13,0,28,1,90,34,13,7,1,21,1,181,17,28,11,6.22,0,13.40,0.48,43.06,16.27,6.22,3.35,0.48,10.05,0.48,9.39,39.29
N00000114,219,14,1,23,3,98,36,19,7,2,14,2,210,24,9,0,6.39,0.46,10.50,1.37,44.75,16.44,8.68,3.20,0.91,6.39,0.91,11.43,0
N00000115,163,10,2,16,2,49,37,8,6,0,31,2,130,12,33,6,6.13,1.23,9.82,1.23,30.06,22.70,4.91,3.68,0,19.02,1.23,9.23,18.18
N00000116,181,17,0,13,1,70,33,7,8,3,28,1,153,8,28,5,9.39,0,7.18,0.55,38.67,18.23,3.87,4.42,1.66,15.47,0.55,5.23,17.86
N00000117,76,11,1,4,0,20,10,0,3,1,26,0,41,4,35,1,14.47,1.32,5.26,0,26.32,13.16,0,3.95,1.32,34.21,0,9.76,2.86
N00000118,208,23,1,26,0,108,17,14,9,0,9,1,190,25,17,2,11.06,0.48,12.50,0,51.92,8.17,6.73,4.33,0,4.33,0.48,13.16,11.76
N00000119,150,14,3,23,1,78,9,14,0,0,7,1,148,26,2,0,9.33,2.00,15.33,0.67,52.00,6.00,9.33,0,0,4.67,0.67,17.57,0
N00000120,192,23,3,36,0,80,26,16,0,1,6,1,189,38,3,1,11.98,1.56,18.75,0,41.67,13.54,8.33,0,0.52,3.13,0.52,20.11,33.33
N00000121,161,28,0,19,1,65,24,11,3,0,7,3,149,17,12,2,17.39,0,11.80,0.62,40.37,14.91,6.83,1.86,0,4.35,1.86,11.41,16.67
N00000122,324,38,2,37,0,152,50,24,3,1,9,8,320,39,4,0,11.73,0.62,11.42,0,46.91,15.43,7.41,0.93,0.31,2.78,2.47,12.19,0
N00000123,213,20,0,31,0,99,29,18,2,1,13,0,212,31,1,0,9.39,0,14.55,0,46.48,13.62,8.45,0.94,0.47,6.10,0,14.62,0
N00000124,191,15,1,9,1,113,32,17,2,0,0,1,187,9,4,1,7.85,0.52,4.71,0.52,59.16,16.75,8.90,1.05,0,0,0.52,4.81,25.00
N00000125,321,29,2,63,0,142,52,25,3,0,5,0,315,65,6,0,9.03,0.62,19.63,0,44.24,16.20,7.79,0.93,0,1.56,0,20.63,0
N00000126,327,37,0,72,0,127,46,28,2,0,13,2,321,72,6,0,11.31,0,22.02,0,38.84,14.07,8.56,0.61,0,3.98,0.61,22.43,0
N00000127,266,30,2,32,0,101,51,16,1,1,30,2,254,34,12,0,11.28,0.75,12.03,0,37.97,19.17,6.02,0.38,0.38,11.28,0.75,13.39,0
N00000128,689,87,1,104,0,303,103,65,1,1,16,8,662,100,27,5,12.63,0.15,15.09,0,43.98,14.95,9.43,0.15,0.15,2.32,1.16,15.11,18.52
N00000129,175,28,1,36,0,43,21,8,3,0,33,2,128,22,47,15,16.00,0.57,20.57,0,24.57,12.00,4.57,1.71,0,18.86,1.14,17.19,31.91
