GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
N00000177,323,41,113,47,11,10,8,63,30,12.69,34.98,14.55,3.41,3.10,2.48,19.50,9.29
N00000178,667,86,240,103,13,56,12,112,45,12.89,35.98,15.44,1.95,8.40,1.80,16.79,6.75
N00000179,852,66,306,106,39,60,21,171,83,7.75,35.92,12.44,4.58,7.04,2.46,20.07,9.74
N00000180,280,15,144,44,8,14,2,34,19,5.36,51.43,15.71,2.86,5.00,0.71,12.14,6.79
N00000181,274,16,115,32,8,21,6,52,24,5.84,41.97,11.68,2.92,7.66,2.19,18.98,8.76
N00000182,228,5,123,25,6,20,1,34,14,2.19,53.95,10.96,2.63,8.77,0.44,14.91,6.14
N00000183,293,14,106,40,7,22,11,69,24,4.78,36.18,13.65,2.39,7.51,3.75,23.55,8.19
N00000184,372,19,151,56,15,22,0,78,31,5.11,40.59,15.05,4.03,5.91,0,20.97,8.33
N00000185,211,3,110,29,16,16,0,26,11,1.42,52.13,13.74,7.58,7.58,0,12.32,5.21
N00000186,299,10,111,41,19,33,5,60,20,3.34,37.12,13.71,6.35,11.04,1.67,20.07,6.69
N00000187,255,15,94,56,6,18,2,46,18,5.88,36.86,21.96,2.35,7.06,0.78,18.04,7.06
N00000188,347,8,160,49,20,18,1,67,24,2.31,46.11,14.12,5.76,5.19,0.29,19.31,6.92
N00000189,341,3,202,23,11,45,2,50,5,0.88,59.24,6.74,3.23,13.20,0.59,14.66,1.47
N00000190,304,0,159,38,19,23,2,44,19,0,52.30,12.50,6.25,7.57,0.66,14.47,6.25
N00000191,303,9,137,59,26,24,6,38,4,2.97,45.21,19.47,8.58,7.92,1.98,12.54,1.32
N00000192,302,21,140,43,8,16,3,61,10,6.95,46.36,14.24,2.65,5.30,0.99,20.20,3.31
