GeographyCode,KS204NI0001,KS204NI0002,KS204NI0003,KS204NI0004,KS204NI0005,KS204NI0006,KS204NI0007,KS204NI0008,KS204NI0009,KS204NI0010,KS204NI0011,KS204NI0012,KS204NI0013,KS204NI0014,KS204NI0015,KS204NI0016,KS204NI0017
95GG02S1,1745,1673,31,6,1,15,0,1,18,95.87,1.78,0.34,0.06,0.86,0,0.06,1.03
95GG02S2,2018,1935,28,9,0,14,6,5,21,95.89,1.39,0.45,0,0.69,0.30,0.25,1.04
95GG02S3,2224,2109,42,7,2,33,5,11,15,94.83,1.89,0.31,0.09,1.48,0.22,0.49,0.67
95GG03S1,2003,1700,92,30,5,37,19,14,106,84.87,4.59,1.50,0.25,1.85,0.95,0.70,5.29
95GG03S2,1833,1555,85,22,3,42,17,13,96,84.83,4.64,1.20,0.16,2.29,0.93,0.71,5.24
95GG03S3,2103,1781,97,16,4,32,21,40,112,84.69,4.61,0.76,0.19,1.52,1.00,1.90,5.33
95GG04S1,1708,1526,35,8,5,42,12,10,70,89.34,2.05,0.47,0.29,2.46,0.70,0.59,4.10
95GG04S2,1564,1494,21,6,1,15,3,14,10,95.52,1.34,0.38,0.06,0.96,0.19,0.90,0.64
95GG04S3,1636,1399,37,26,0,11,21,87,55,85.51,2.26,1.59,0,0.67,1.28,5.32,3.36
95GG05S1,1813,1409,70,15,5,83,11,76,144,77.72,3.86,0.83,0.28,4.58,0.61,4.19,7.94
95GG05S2,2009,1458,102,20,2,93,29,148,157,72.57,5.08,1.00,0.10,4.63,1.44,7.37,7.81
95GG05S3,2106,1521,108,21,3,82,47,105,219,72.22,5.13,1.00,0.14,3.89,2.23,4.99,10.40
95GG06S1,1925,1781,46,21,5,4,8,20,40,92.52,2.39,1.09,0.26,0.21,0.42,1.04,2.08
95GG06S2,1779,1648,35,5,1,16,9,25,40,92.64,1.97,0.28,0.06,0.90,0.51,1.41,2.25
95GG06S3,1922,1770,48,16,5,7,8,17,51,92.09,2.50,0.83,0.26,0.36,0.42,0.88,2.65
95GG07S1,1862,1605,24,6,0,38,1,19,169,86.20,1.29,0.32,0,2.04,0.05,1.02,9.08
95GG07S2,1922,1744,26,3,3,44,1,14,87,90.74,1.35,0.16,0.16,2.29,0.05,0.73,4.53
95GG07S3,1701,1607,23,6,0,23,7,19,16,94.47,1.35,0.35,0,1.35,0.41,1.12,0.94
95GG08S1,1394,1291,36,5,0,28,3,7,24,92.61,2.58,0.36,0,2.01,0.22,0.50,1.72
95GG08S2,1730,1527,49,21,3,26,3,69,32,88.27,2.83,1.21,0.17,1.50,0.17,3.99,1.85
95GG08S3,1786,1553,64,16,6,25,10,67,45,86.95,3.58,0.90,0.34,1.40,0.56,3.75,2.52
95GG09S1,2151,1958,76,21,5,25,10,5,51,91.03,3.53,0.98,0.23,1.16,0.46,0.23,2.37
95GG09S2,1896,1707,55,18,3,26,10,20,57,90.03,2.90,0.95,0.16,1.37,0.53,1.05,3.01
95GG09S3,2118,1887,87,34,2,9,13,43,43,89.09,4.11,1.61,0.09,0.42,0.61,2.03,2.03
95GG10S1,1826,1453,67,22,3,10,20,171,80,79.57,3.67,1.20,0.16,0.55,1.10,9.36,4.38
95GG10S2,2172,1781,103,25,5,16,28,120,94,82.00,4.74,1.15,0.23,0.74,1.29,5.52,4.33
95GG11S1,1895,1554,66,19,2,20,20,158,56,82.01,3.48,1.00,0.11,1.06,1.06,8.34,2.96
95GG11S2,1687,1460,90,17,4,25,17,41,33,86.54,5.33,1.01,0.24,1.48,1.01,2.43,1.96
95GG11S3,1871,1529,62,24,4,27,16,145,64,81.72,3.31,1.28,0.21,1.44,0.86,7.75,3.42
95GG12S1,1555,1088,104,17,2,81,29,41,193,69.97,6.69,1.09,0.13,5.21,1.86,2.64,12.41
95GG12S2,1958,1529,118,17,7,99,21,51,116,78.09,6.03,0.87,0.36,5.06,1.07,2.60,5.92
95GG12S3,1488,1112,76,8,4,64,36,49,139,74.73,5.11,0.54,0.27,4.30,2.42,3.29,9.34
95GG12S4,1703,1132,102,17,5,82,54,91,220,66.47,5.99,1.00,0.29,4.82,3.17,5.34,12.92
95GG12S5,2241,1861,75,13,3,56,34,86,113,83.04,3.35,0.58,0.13,2.50,1.52,3.84,5.04
