GeographyCode,KS609NI0001,KS609NI0002,KS609NI0003,KS609NI0004,KS609NI0005,KS609NI0006,KS609NI0007,KS609NI0008,KS609NI0009,KS609NI0010,KS609NI0011,KS609NI0012,KS609NI0013,KS609NI0014,KS609NI0015,KS609NI0016,KS609NI0017,KS609NI0018,KS609NI0019
95FF02W1,730,59,67,41,22,367,12,30,93,39,8.08,9.18,5.62,3.01,50.27,1.64,4.11,12.74,5.34
95FF03W1,749,52,65,94,80,146,22,59,142,89,6.94,8.68,12.55,10.68,19.49,2.94,7.88,18.96,11.88
95FF04W1,686,88,74,33,34,273,6,31,92,55,12.83,10.79,4.81,4.96,39.80,0.87,4.52,13.41,8.02
95FF05W1,578,79,81,65,38,118,12,35,79,71,13.67,14.01,11.25,6.57,20.42,2.08,6.06,13.67,12.28
95FF06S1,509,57,74,71,48,93,11,28,72,55,11.20,14.54,13.95,9.43,18.27,2.16,5.50,14.15,10.81
95FF06S2,554,74,77,71,53,124,5,39,60,51,13.36,13.90,12.82,9.57,22.38,0.90,7.04,10.83,9.21
95FF07W1,529,46,42,49,44,140,16,28,93,71,8.70,7.94,9.26,8.32,26.47,3.02,5.29,17.58,13.42
95FF08W1,507,50,68,50,53,114,16,37,65,54,9.86,13.41,9.86,10.45,22.49,3.16,7.30,12.82,10.65
95FF09W1,571,43,59,50,35,142,14,24,122,82,7.53,10.33,8.76,6.13,24.87,2.45,4.20,21.37,14.36
95FF10W1,921,98,136,78,71,293,17,45,117,66,10.64,14.77,8.47,7.71,31.81,1.85,4.89,12.70,7.17
95FF11W1,711,48,90,43,38,286,7,27,118,54,6.75,12.66,6.05,5.34,40.23,0.98,3.80,16.60,7.59
95FF12W1,715,84,96,77,48,189,11,32,106,72,11.75,13.43,10.77,6.71,26.43,1.54,4.48,14.83,10.07
95FF13W1,695,79,86,59,39,209,12,40,114,57,11.37,12.37,8.49,5.61,30.07,1.73,5.76,16.40,8.20
95FF14W1,657,107,113,58,45,187,14,30,60,43,16.29,17.20,8.83,6.85,28.46,2.13,4.57,9.13,6.54
95FF15W1,615,50,49,55,38,171,12,47,104,89,8.13,7.97,8.94,6.18,27.80,1.95,7.64,16.91,14.47
95FF16W1,588,65,86,66,63,131,13,38,73,53,11.05,14.63,11.22,10.71,22.28,2.21,6.46,12.41,9.01
95FF17W1,368,33,26,36,30,77,10,22,75,59,8.97,7.07,9.78,8.15,20.92,2.72,5.98,20.38,16.03
95GG01S1,312,26,38,39,35,51,10,34,29,50,8.33,12.18,12.50,11.22,16.35,3.21,10.90,9.29,16.03
95GG01S2,241,16,33,18,22,49,9,28,31,35,6.64,13.69,7.47,9.13,20.33,3.73,11.62,12.86,14.52
95GG01S3,282,16,32,28,31,61,10,31,30,43,5.67,11.35,9.93,10.99,21.63,3.55,10.99,10.64,15.25
95GG02S1,229,13,21,14,18,47,11,24,28,53,5.68,9.17,6.11,7.86,20.52,4.80,10.48,12.23,23.14
95GG02S2,243,8,11,19,24,40,21,21,34,65,3.29,4.53,7.82,9.88,16.46,8.64,8.64,13.99,26.75
95GG02S3,236,11,13,12,29,38,17,41,26,49,4.66,5.51,5.08,12.29,16.10,7.20,17.37,11.02,20.76
95GG03S1,502,56,155,80,64,56,12,18,25,36,11.16,30.88,15.94,12.75,11.16,2.39,3.59,4.98,7.17
95GG03S2,484,53,141,74,48,57,11,44,29,27,10.95,29.13,15.29,9.92,11.78,2.27,9.09,5.99,5.58
95GG03S3,553,60,130,78,60,67,21,44,42,51,10.85,23.51,14.10,10.85,12.12,3.80,7.96,7.59,9.22
95GG04S1,272,14,64,23,28,29,11,21,29,53,5.15,23.53,8.46,10.29,10.66,4.04,7.72,10.66,19.49
95GG04S2,207,8,12,18,19,50,8,19,19,54,3.86,5.80,8.70,9.18,24.15,3.86,9.18,9.18,26.09
95GG04S3,325,19,33,17,37,45,20,31,49,74,5.85,10.15,5.23,11.38,13.85,6.15,9.54,15.08,22.77
95GG05S1,525,50,136,83,66,50,16,38,25,61,9.52,25.90,15.81,12.57,9.52,3.05,7.24,4.76,11.62
95GG05S2,615,41,175,88,62,69,29,43,37,71,6.67,28.46,14.31,10.08,11.22,4.72,6.99,6.02,11.54
95GG05S3,641,47,175,76,63,63,22,52,44,99,7.33,27.30,11.86,9.83,9.83,3.43,8.11,6.86,15.44
95GG06S1,331,12,16,26,36,62,16,36,61,66,3.63,4.83,7.85,10.88,18.73,4.83,10.88,18.43,19.94
95GG06S2,403,12,24,32,34,87,19,35,73,87,2.98,5.96,7.94,8.44,21.59,4.71,8.68,18.11,21.59
95GG06S3,439,34,52,41,32,106,11,35,57,71,7.74,11.85,9.34,7.29,24.15,2.51,7.97,12.98,16.17
95GG07S1,337,17,48,23,39,41,39,33,36,61,5.04,14.24,6.82,11.57,12.17,11.57,9.79,10.68,18.10
95GG07S2,266,17,27,19,33,35,24,17,34,60,6.39,10.15,7.14,12.41,13.16,9.02,6.39,12.78,22.56
95GG07S3,297,13,20,24,32,57,11,31,42,67,4.38,6.73,8.08,10.77,19.19,3.70,10.44,14.14,22.56
95GG08S1,322,32,65,24,46,40,15,32,36,32,9.94,20.19,7.45,14.29,12.42,4.66,9.94,11.18,9.94
95GG08S2,320,21,37,23,29,57,15,18,51,69,6.56,11.56,7.19,9.06,17.81,4.69,5.63,15.94,21.56
95GG08S3,392,32,69,45,38,51,15,25,58,59,8.16,17.60,11.48,9.69,13.01,3.83,6.38,14.80,15.05
95GG09S1,505,83,166,79,50,39,7,33,20,28,16.44,32.87,15.64,9.90,7.72,1.39,6.53,3.96,5.54
95GG09S2,470,56,86,68,72,67,7,34,39,41,11.91,18.30,14.47,15.32,14.26,1.49,7.23,8.30,8.72
95GG09S3,458,49,77,62,42,54,7,36,56,75,10.70,16.81,13.54,9.17,11.79,1.53,7.86,12.23,16.38
95GG10S1,454,22,64,37,39,60,11,54,51,116,4.85,14.10,8.15,8.59,13.22,2.42,11.89,11.23,25.55
95GG10S2,513,34,69,54,44,69,26,50,55,112,6.63,13.45,10.53,8.58,13.45,5.07,9.75,10.72,21.83
95GG11S1,425,26,57,45,54,57,16,38,63,69,6.12,13.41,10.59,12.71,13.41,3.76,8.94,14.82,16.24
95GG11S2,426,46,110,62,52,65,9,17,27,38,10.80,25.82,14.55,12.21,15.26,2.11,3.99,6.34,8.92
95GG11S3,501,38,77,66,63,77,12,52,39,77,7.58,15.37,13.17,12.57,15.37,2.40,10.38,7.78,15.37
95GG12S1,431,25,132,50,38,19,12,80,9,66,5.80,30.63,11.60,8.82,4.41,2.78,18.56,2.09,15.31
95GG12S2,543,22,101,33,49,39,18,144,9,128,4.05,18.60,6.08,9.02,7.18,3.31,26.52,1.66,23.57
95GG12S3,385,14,100,40,33,37,13,89,5,54,3.64,25.97,10.39,8.57,9.61,3.38,23.12,1.30,14.03
95GG12S4,482,21,106,45,51,34,15,102,21,87,4.36,21.99,9.34,10.58,7.05,3.11,21.16,4.36,18.05
95GG12S5,426,21,72,47,45,60,9,65,24,83,4.93,16.90,11.03,10.56,14.08,2.11,15.26,5.63,19.48
95GG13S1,268,19,28,21,19,37,12,33,49,50,7.09,10.45,7.84,7.09,13.81,4.48,12.31,18.28,18.66
95GG13S2,384,50,112,53,33,42,5,22,31,36,13.02,29.17,13.80,8.59,10.94,1.30,5.73,8.07,9.38
95GG13S3,318,33,53,36,24,46,9,22,40,55,10.38,16.67,11.32,7.55,14.47,2.83,6.92,12.58,17.30
95GG14S1,396,38,87,52,44,72,5,37,27,34,9.60,21.97,13.13,11.11,18.18,1.26,9.34,6.82,8.59
95GG14S2,391,52,133,43,36,38,7,40,19,23,13.30,34.02,11.00,9.21,9.72,1.79,10.23,4.86,5.88
95GG14S3,405,55,86,44,40,54,10,28,42,46,13.58,21.23,10.86,9.88,13.33,2.47,6.91,10.37,11.36
95GG15S1,427,86,141,59,43,41,7,20,18,12,20.14,33.02,13.82,10.07,9.60,1.64,4.68,4.22,2.81
