GeographyCode,QS113NI0001,QS113NI0002,QS113NI0003,QS113NI0004,QS113NI0005,QS113NI0006,QS113NI0007,QS113NI0008,QS113NI0009,QS113NI0010,QS113NI0011,QS113NI0012
95GG50S2,972,384,122,262,588,111,178,51,110,12,39,87
95GG50S3,917,381,123,258,536,72,170,65,79,14,31,105
95GG51S1,683,291,98,193,392,81,105,72,61,6,16,51
95GG51S2,710,324,128,196,386,74,78,83,54,8,25,64
95GG51S3,688,328,117,211,360,74,80,62,62,5,21,56
95HH01W1,890,292,129,163,598,47,134,150,109,17,38,103
95HH02S1,522,110,57,53,412,26,85,78,87,15,33,88
95HH02S2,541,62,14,48,479,30,99,40,126,22,63,99
95HH03W1,726,207,123,84,519,28,114,155,73,13,33,103
95HH04S1,645,124,48,76,521,30,124,72,107,18,41,129
95HH04S2,515,90,54,36,425,12,100,69,64,13,40,127
95HH05W1,908,254,88,166,654,126,160,68,126,29,39,106
95HH06S1,762,133,38,95,629,37,125,51,179,38,67,132
95HH06S2,920,169,59,110,751,49,173,93,169,39,86,142
95HH07W1,733,313,104,209,420,67,95,80,53,13,31,81
95HH08W1,1083,310,103,207,773,55,195,146,141,20,59,157
95HH09W1,1423,731,292,439,692,70,226,137,113,9,27,110
95HH10W1,945,188,80,108,757,49,158,146,162,42,66,134
95HH11W1,655,252,113,139,403,74,96,70,74,8,18,63
95HH12W1,626,130,58,72,496,59,122,95,75,10,31,104
95HH13W1,614,188,48,140,426,96,104,51,80,11,25,59
95HH14W1,764,319,138,181,445,63,118,97,55,11,22,79
95HH15W1,1083,334,180,154,749,65,185,119,129,24,67,160
95HH16W1,917,286,146,140,631,33,134,138,111,26,56,133
95HH17W1,928,182,78,104,746,59,167,111,152,27,80,150
95II01S1,626,144,65,79,482,27,120,106,80,14,46,89
95II01S2,634,163,80,83,471,8,115,122,63,20,30,113
95II02S1,507,110,25,85,397,9,82,37,107,36,56,70
95II02S2,678,191,63,128,487,40,115,72,101,33,56,70
95II02S3,726,340,138,202,386,23,117,75,64,12,27,68
95II03S1,575,98,31,67,477,16,96,23,135,35,70,102
95II03S2,729,187,50,137,542,24,133,112,111,15,36,111
95II04S1,864,171,53,118,693,32,201,71,179,31,54,125
95II04S2,808,230,67,163,578,54,145,94,125,24,46,90
95II05S1,527,90,45,45,437,10,60,87,64,25,59,132
95II05S2,774,265,154,111,509,37,121,77,106,31,40,97
95II06S1,533,107,45,62,426,9,81,62,98,32,57,87
95II06S2,752,177,71,106,575,36,165,89,119,31,35,100
95II07W1,991,436,202,234,555,66,131,96,93,23,47,99
95II08W1,1073,393,179,214,680,37,165,130,130,26,57,135
95II09S1,865,305,141,164,560,18,159,101,137,20,36,89
95II09S2,552,130,68,62,422,24,105,61,100,17,43,72
95II10W1,1144,395,169,226,749,86,168,132,126,19,63,155
95II11W1,1055,259,118,141,796,34,208,169,150,32,64,139
95II12W1,1007,267,153,114,740,20,154,178,164,28,59,137
95II13W1,1253,445,204,241,808,87,206,174,152,29,44,116
95II14W1,1026,251,135,116,775,19,157,208,151,28,53,159
95II15S1,660,138,43,95,522,15,151,43,146,32,51,84
95II15S2,659,178,111,67,481,11,110,140,74,25,35,86
95II16W1,890,257,151,106,633,43,128,142,98,22,61,139
95II17W1,1190,450,197,253,740,58,190,178,128,20,52,114
95II18W1,1090,453,206,247,637,66,153,157,98,16,42,105
95II19S1,633,106,63,43,527,13,104,93,87,27,86,117
95II19S2,756,163,75,88,593,28,118,130,103,18,56,140
95II20W1,1211,392,156,236,819,48,233,160,159,30,61,128
95II21W1,1045,331,111,220,714,117,159,107,129,23,42,137
95II22W1,990,315,152,163,675,47,162,151,116,24,46,129
95II23W1,910,273,137,136,637,34,139,127,111,27,55,144
95JJ01W1,892,167,77,90,725,26,152,133,134,40,72,168
95JJ02W1,1074,369,139,230,705,59,195,158,88,36,45,124
95JJ03S1,596,181,32,149,415,104,102,34,62,24,25,64
95JJ03S2,427,118,30,88,309,55,73,32,65,14,23,47
95JJ04S1,610,145,70,75,465,40,101,85,86,25,32,96
95JJ04S2,669,195,81,114,474,38,104,111,84,17,34,86
95JJ05W1,892,397,199,198,495,45,159,90,65,12,35,89
95JJ06W1,1063,386,120,266,677,102,150,83,140,27,62,113
95JJ07W1,1092,316,117,199,776,146,197,83,144,38,46,122
95JJ08S1,540,135,73,62,405,13,68,88,63,14,42,117
95JJ08S2,647,150,51,99,497,41,102,70,87,30,42,125
95JJ09W1,839,240,138,102,599,12,135,166,69,30,49,138
95JJ10W1,1027,284,153,131,743,61,111,129,129,70,77,166
95JJ11S1,724,176,80,96,548,47,122,116,101,26,45,91
95JJ11S2,818,242,93,149,576,47,142,119,104,29,54,81
95JJ12W1,1002,237,106,131,765,68,155,126,122,56,89,149
95JJ13S1,779,159,33,126,620,56,125,64,145,45,59,126
95JJ13S2,678,138,59,79,540,29,117,96,98,18,50,132
95JJ14W1,849,171,82,89,678,34,138,120,122,36,68,160
95JJ15W1,779,227,102,125,552,35,144,148,84,12,32,97
95JJ16W1,916,436,197,239,480,40,142,106,64,18,18,92
95JJ17W1,824,161,88,73,663,14,119,108,113,57,93,159
95JJ18W1,975,464,182,282,511,36,145,104,69,14,47,96
95JJ19S1,652,169,84,85,483,18,103,127,46,22,32,135
95JJ19S2,476,131,73,58,345,11,58,62,31,11,21,151
95JJ20S1,833,189,50,139,644,47,152,102,142,41,56,104
95JJ20S2,785,199,91,108,586,36,148,104,93,18,60,127
95JJ21W1,962,289,126,163,673,60,164,123,82,32,47,165
95JJ22W1,1088,244,132,112,844,41,191,193,131,40,84,164
95KK01W1,836,172,72,100,664,31,97,86,136,58,92,164
95KK02W1,722,164,85,79,558,25,111,86,109,39,59,129
95KK03W1,704,130,67,63,574,23,73,65,80,78,95,160
95KK04W1,974,188,61,127,786,89,150,75,148,49,94,181
95KK05W1,803,153,77,76,650,32,87,62,121,50,102,196
95KK06W1,737,199,74,125,538,52,117,83,73,22,61,130
95KK07W1,682,139,68,71,543,14,80,88,82,53,66,160
95KK08W1,967,215,77,138,752,61,175,115,152,67,63,119
95KK09W1,947,330,146,184,617,71,163,95,101,20,50,117
95KK10W1,699,147,83,64,552,19,81,68,88,61,96,139
95KK11W1,982,303,127,176,679,84,147,96,128,37,47,140
95KK12W1,776,189,72,117,587,33,101,67,96,51,86,153
95KK13W1,642,143,66,77,499,14,79,108,83,36,50,129
95KK14W1,703,161,69,92,542,47,84,77,66,40,72,156
95KK15W1,921,166,64,102,755,36,119,81,154,74,119,172
95KK16W1,809,224,104,120,585,44,107,83,72,37,63,179
95LL01S1,802,141,56,85,661,24,93,84,131,60,102,167
95LL01S2,777,112,49,63,665,33,106,68,143,71,79,165
95LL02S1,623,152,58,94,471,29,118,61,113,29,34,87
95LL02S2,744,364,122,242,380,52,106,47,85,6,14,70
95LL03W1,1092,403,167,236,689,110,159,104,141,28,43,104
95LL04W1,1090,243,121,122,847,76,167,125,151,45,97,186
95LL05S1,826,161,67,94,665,32,130,83,161,45,67,147
95LL05S2,628,136,51,85,492,27,101,78,85,27,61,113
95LL06S1,654,159,60,99,495,51,104,85,100,17,45,93
95LL06S2,754,242,113,129,512,58,113,106,82,11,32,110
95LL07W1,1001,400,184,216,601,86,113,136,99,20,38,109
95LL08S1,605,168,61,107,437,76,73,29,76,26,70,87
95LL08S2,721,262,63,199,459,82,108,41,76,17,30,105
95LL09S1,657,273,105,168,384,70,79,40,63,10,37,85
95LL09S2,738,332,148,184,406,59,75,79,58,22,32,81
95LL10S1,974,138,51,87,836,59,134,77,167,55,134,210
95LL10S2,767,126,50,76,641,27,118,66,108,58,89,175
95LL11S1,585,125,50,75,460,23,101,82,97,16,44,97
95LL11S2,839,128,40,88,711,45,156,81,193,44,69,123
95LL12S1,1043,204,47,157,839,149,172,59,189,64,76,130
95LL12S2,449,98,28,70,351,65,55,30,53,22,53,73
95LL13S1,539,122,32,90,417,46,96,51,98,19,36,71
95LL13S2,558,187,52,135,371,46,74,47,81,22,29,72
95LL14S1,475,132,58,74,343,39,56,56,35,11,52,94
