GeographyCode,QS403NI0001,QS403NI0002,QS403NI0003,QS403NI0004,QS403NI0005,QS403NI0006,QS403NI0007,QS403NI0008,QS403NI0009,QS403NI0010,QS403NI0011,QS403NI0012,QS403NI0013,QS403NI0014
95HH06S1,2231,2027,421,1597,9,27,27,0,153,135,0,16,2,24
95HH06S2,2557,2159,458,1691,10,166,35,131,218,197,0,19,2,14
95HH07W1,1493,865,309,550,6,447,404,43,147,134,0,12,1,34
95HH08W1,2553,2042,716,1316,10,169,168,1,318,295,0,23,0,24
95HH09W1,2543,1326,547,765,14,452,260,192,702,660,4,37,1,63
95HH10W1,2488,2254,777,1477,0,61,61,0,151,139,0,6,6,22
95HH11W1,1366,686,239,423,24,509,444,65,151,117,0,29,5,20
95HH12W1,1552,1222,431,772,19,178,170,8,136,122,2,12,0,16
95HH13W1,1407,794,195,577,22,359,343,16,234,219,0,15,0,20
95HH14W1,1530,845,315,513,17,421,412,9,227,205,0,22,0,37
95HH15W1,2585,1959,558,1379,22,273,204,69,327,288,2,36,1,26
95HH16W1,2159,1773,748,1020,5,95,73,22,257,218,18,21,0,34
95HH17W1,2477,2189,821,1343,25,59,59,0,212,194,0,16,2,17
95II01S1,1532,1295,490,805,0,115,113,2,111,94,0,15,2,11
95II01S2,1534,1436,686,744,6,11,10,1,72,69,0,3,0,15
95II02S1,1485,1347,355,991,1,31,10,21,84,76,0,7,1,23
95II02S2,1700,1261,405,851,5,280,128,152,133,122,0,11,0,26
95II02S3,1415,859,345,507,7,436,412,24,97,82,0,14,1,23
95II03S1,1739,1607,332,1269,6,16,16,0,110,102,2,6,0,6
95II03S2,1784,1578,543,1019,16,16,14,2,179,163,2,11,3,11
95II04S1,2293,2011,517,1474,20,81,77,4,175,158,4,13,0,26
95II04S2,1952,1364,362,989,13,397,395,2,153,143,0,10,0,38
95II05S1,1586,1485,510,972,3,3,0,3,94,79,0,15,0,4
95II05S2,1826,1453,429,991,33,149,111,38,200,178,2,18,2,24
95II06S1,1519,1440,440,993,7,18,11,7,53,50,0,3,0,8
95II06S2,1879,1551,417,1101,33,33,25,8,287,274,0,13,0,8
95II07W1,2077,1041,313,691,37,730,607,123,232,187,2,43,0,74
95II08W1,2417,1874,723,1120,31,252,222,30,270,246,2,18,4,21
95II09S1,1934,1524,533,990,1,93,13,80,292,227,40,17,8,25
95II09S2,1413,1206,320,875,11,44,10,34,156,149,0,7,0,7
95II10W1,2592,1621,462,1117,42,776,738,38,144,128,2,9,5,51
95II11W1,2555,2156,886,1266,4,58,15,43,317,298,0,19,0,24
95II12W1,2481,2286,913,1360,13,29,17,12,145,141,0,4,0,21
95II13W1,2701,1578,563,991,24,693,620,73,380,359,2,16,3,50
95II14W1,2521,2290,996,1290,4,7,7,0,210,195,0,12,3,14
95II15S1,1793,1531,342,1183,6,69,34,35,182,175,0,7,0,11
