Geography,GeographyCode,AllHouseholds
Crotlieve_A,N21000719,963
Crotlieve_B,N21000720,847
Crotlieve_C,N21000721,1006
Crotlieve_D,N21000722,640
Crotlieve_E,N21000723,773
Crotlieve_F,N21000724,813
Crotlieve_G,N21000725,992
Crotlieve_H,N21000726,1114
Crotlieve_J,N21000727,685
Crotlieve_K,N21000728,1321
Crotlieve_L,N21000729,1043
The_Mournes_A,N21000730,795
The_Mournes_B,N21000731,811
The_Mournes_C,N21000732,630
The_Mournes_D,N21000733,1180
The_Mournes_E,N21000734,927
The_Mournes_F,N21000735,757
The_Mournes_G,N21000736,1210
The_Mournes_H,N21000737,810
The_Mournes_J,N21000738,745
The_Mournes_K,N21000739,987
The_Mournes_L,N21000740,688
The_Mournes_N,N21000741,835
The_Mournes_P,N21000742,1168
Slieve_Croob_A,N21000743,966
Slieve_Croob_B,N21000744,537
Slieve_Croob_C,N21000745,955
Slieve_Croob_D,N21000746,1036
Slieve_Croob_E,N21000747,887
Slieve_Croob_F,N21000748,752
Slieve_Croob_G,N21000749,925
Slieve_Croob_H,N21000750,694
Slieve_Croob_J,N21000751,1029
Rowallane_A,N21000752,762
Rowallane_B,N21000753,752
Rowallane_C,N21000754,809
Rowallane_D,N21000755,890
Rowallane_E,N21000756,1007
Rowallane_F,N21000757,1181
Rowallane_G,N21000758,1210
Rowallane_H,N21000759,1252
Rowallane_J,N21000760,813
Downpatrick_A,N21000761,921
Downpatrick_B,N21000762,828
Downpatrick_C,N21000763,1031
Downpatrick_D,N21000764,848
Downpatrick_E,N21000765,1066
Downpatrick_F,N21000766,684
Downpatrick_G,N21000767,968
Downpatrick_H,N21000768,852
Downpatrick_J,N21000769,688
Downpatrick_K,N21000770,643
Comber_A,N21000771,925
Comber_B,N21000772,1103
Comber_C,N21000773,1173
Comber_D,N21000774,1079
Comber_E,N21000775,517
Comber_F,N21000776,1301
Comber_G,N21000777,1246
Comber_H,N21000778,883
Newtownards_A,N21000779,917
Newtownards_B,N21000780,651
Newtownards_C,N21000781,909
Newtownards_D,N21000782,719
Newtownards_E,N21000783,631
Newtownards_F,N21000784,767
Newtownards_G,N21000785,838
Newtownards_H,N21000786,965
Newtownards_J,N21000787,984
Newtownards_K,N21000788,634
Newtownards_L,N21000789,701
Newtownards_N,N21000790,921
Newtownards_P,N21000791,817
Newtownards_Q,N21000792,707
Newtownards_R,N21000793,712
Newtownards_S,N21000794,981
Holywood_and_Clandeboye_A,N21000795,616
Holywood_and_Clandeboye_B,N21000796,533
Holywood_and_Clandeboye_C,N21000797,548
Holywood_and_Clandeboye_D,N21000798,666
