Geography,GeographyCode,AverageHouseholdSize
Ballymoney_G,N21000392,2.8637873754152823
Ballymoney_H,N21000393,2.8712255772646538
Ballymoney_J,N21000394,2.33648393194707
Ballymoney_K,N21000395,2.857142857142857
Ballymoney_L,N21000396,2.5625
The_Moor_A,N21000397,2.5024437927663734
The_Moor_B,N21000398,2.223914699162224
The_Moor_C,N21000399,1.4140526976160601
The_Moor_D,N21000400,2.5927240461401952
The_Moor_E,N21000401,2.382039573820396
The_Moor_F,N21000402,2.065481758652947
The_Moor_G,N21000403,1.8223404255319149
The_Moor_H,N21000404,2.9158345221112696
Foyleside_A,N21000405,2.566086956521739
Foyleside_B,N21000406,2.382284382284382
Foyleside_C,N21000407,2.5690021231422504
Foyleside_D,N21000408,2.0978915662650603
Foyleside_E,N21000409,2.8003327787021632
Foyleside_F,N21000410,1.5423387096774193
Foyleside_G,N21000411,2.1846652267818576
Ballyarnett_A,N21000412,2.932926829268293
Ballyarnett_B,N21000413,2.6374133949191685
Ballyarnett_C,N21000414,2.7923809523809524
Ballyarnett_D,N21000415,2.7324955116696588
Ballyarnett_E,N21000416,2.7043941411451398
Ballyarnett_F,N21000417,2.4584795321637425
Ballyarnett_G,N21000418,2.431122448979592
Ballyarnett_H,N21000419,2.6666666666666665
Ballyarnett_J,N21000420,2.5605875152998774
Ballyarnett_K,N21000421,2.5993623804463337
Ballyarnett_L,N21000422,2.37392138063279
Waterside_A,N21000423,2.3928215353938187
Waterside_B,N21000424,2.0897571277719114
Waterside_C,N21000425,2.517892644135189
Waterside_D,N21000426,2.1988950276243093
Waterside_E,N21000427,2.0386138613861386
Waterside_F,N21000428,2.2056737588652484
Waterside_G,N21000429,2.151758793969849
Waterside_H,N21000430,2.6066666666666665
Waterside_J,N21000431,2.457843137254902
Waterside_K,N21000432,2.3754045307443366
Waterside_L,N21000433,2.2272272272272273
Waterside_N,N21000434,2.5095238095238095
Waterside_P,N21000435,2.6050516647531574
Faughan_A,N21000436,2.6106106106106104
Faughan_B,N21000437,2.24950884086444
Faughan_C,N21000438,2.8541176470588234
Faughan_D,N21000439,2.6151315789473686
Faughan_E,N21000440,2.8499156829679597
Faughan_F,N21000441,2.521505376344086
Faughan_G,N21000442,2.5083892617449663
Faughan_H,N21000443,2.46309963099631
Sperrin_A,N21000444,2.8483221476510066
Sperrin_B,N21000445,2.6780575539568345
Sperrin_C,N21000446,2.503992015968064
Sperrin_D,N21000447,2.6921641791044775
Sperrin_E,N21000448,1.9266943291839558
Sperrin_F,N21000449,2.9139579349904396
Sperrin_G,N21000450,2.200487012987013
Sperrin_H,N21000451,2.2321981424148607
Sperrin_J,N21000452,2.616122840690979
Sperrin_K,N21000453,2.868869936034115
Derg_A,N21000454,2.9652777777777777
Derg_B,N21000455,2.2224719101123593
Derg_C,N21000456,2.7193763919821827
Derg_D,N21000457,2.5204755614266845
Derg_E,N21000458,2.2583201267828845
Derg_F,N21000459,2.2447876447876447
Derg_G,N21000460,2.656121045392022
Derg_H,N21000461,2.7277676950998186
Erne_East_A,N21000462,2.8393939393939394
Erne_East_B,N21000463,2.797230464886251
Erne_East_C,N21000464,2.4532467532467535
Erne_East_D,N21000465,2.315251572327044
Erne_East_E,N21000466,2.782565130260521
Erne_East_F,N21000467,2.544190665342602
Erne_West_A,N21000468,2.565118912797282
Erne_West_B,N21000469,2.4089506172839505
Erne_West_C,N21000470,2.697584541062802
Erne_West_D,N21000471,2.7548918640576727
Erne_West_E,N21000472,2.7039045553145336
Erne_West_F,N21000473,2.824324324324324
Enniskillen_A,N21000474,2.4647137150466047
Enniskillen_B,N21000475,2.148861646234676
Enniskillen_C,N21000476,2.529479768786127
Enniskillen_D,N21000477,2.313376987839102
Enniskillen_E,N21000478,1.7059447983014862
Enniskillen_F,N21000479,2.360621761658031
Enniskillen_G,N21000480,2.570666666666667
Enniskillen_H,N21000481,2.2587890625
Erne_North_A,N21000482,2.334723670490094
Erne_North_B,N21000483,2.3881019830028327
Erne_North_C,N21000484,2.7336377473363775
Erne_North_D,N21000485,2.2142857142857144
Erne_North_E,N21000486,2.3197278911564627
Erne_North_F,N21000487,2.8790849673202614
Erne_North_G,N21000488,2.4027149321266967
West_Tyrone_A,N21000489,2.6973969631236443
West_Tyrone_B,N21000490,2.6467817896389323
West_Tyrone_C,N21000491,2.9415384615384617
West_Tyrone_D,N21000492,2.09106529209622
West_Tyrone_E,N21000493,2.8
West_Tyrone_F,N21000494,2.853585657370518
West_Tyrone_G,N21000495,2.685185185185185
Omagh_A,N21000496,2.3875851627554883
Omagh_B,N21000497,2.282003710575139
Omagh_C,N21000498,2.2475409836065574
Omagh_D,N21000499,1.7003293084522502
Omagh_E,N21000500,2.200966183574879
Omagh_F,N21000501,2.2367088607594936
Omagh_G,N21000502,2.413214990138067
Omagh_H,N21000503,2.500418410041841
Mid_Tyrone_A,N21000504,2.94240317775571
Mid_Tyrone_B,N21000505,2.795
Mid_Tyrone_C,N21000506,2.7058823529411766
Mid_Tyrone_D,N21000507,2.9655913978494626
Mid_Tyrone_E,N21000508,3.0455445544554456
Mid_Tyrone_F,N21000509,2.829953198127925
Mid_Tyrone_G,N21000510,2.5853658536585367
Downshire_West_A,N21000511,2.119712689545092
Downshire_West_B,N21000512,2.627134724857685
Downshire_West_C,N21000513,2.5755182625863773
Downshire_West_D,N21000514,2.094835680751174
Downshire_West_E,N21000515,2.208128078817734
Downshire_West_F,N21000516,2.08
Downshire_West_G,N21000517,2.7786131996658314
Killultagh_A,N21000518,2.951632406287787
Killultagh_B,N21000519,2.8583420776495276
Killultagh_C,N21000520,2.809734513274336
Killultagh_D,N21000521,2.8929936305732484
Killultagh_E,N21000522,2.465045592705167
Killultagh_F,N21000523,2.6925837320574164
Killultagh_G,N21000524,2.6954933008526187
Killultagh_H,N21000525,2.757255936675462
Lisburn_South_A,N21000526,2.4945454545454546
Lisburn_South_B,N21000527,2.471356783919598
Lisburn_South_C,N21000528,2.4968833481745327
Lisburn_South_D,N21000529,2.238403451995685
Lisburn_South_E,N21000530,2.813717848791894
Lisburn_South_F,N21000531,2.239870340356564
Lisburn_South_G,N21000532,2.455021834061135
Lisburn_South_H,N21000533,2.230703259005146
Lisburn_South_J,N21000534,2.1157495256166983
Lisburn_South_K,N21000535,2.3204225352112675
Lisburn_North_A,N21000536,1.5229142185663924
Lisburn_North_B,N21000537,2.5357142857142856
Lisburn_North_C,N21000538,2.253365003958828
Lisburn_North_D,N21000539,2.4559710494571774
Lisburn_North_E,N21000540,2.5049875311720697
Lisburn_North_F,N21000541,2.2680334092634777
Lisburn_North_G,N21000542,2.491472868217054
Lisburn_North_H,N21000543,2.459367945823928
Lisburn_North_J,N21000544,2.163583252190847
Lisburn_North_K,N21000545,1.9057412167952015
Downshire_East_A,N21000546,2.5660377358490565
Downshire_East_B,N21000547,2.330188679245283
Downshire_East_C,N21000548,2.4629878869448185
Downshire_East_D,N21000549,2.7269585253456223
Downshire_East_E,N21000550,2.5825545171339566
Downshire_East_F,N21000551,2.7236180904522613
Downshire_East_G,N21000552,2.594423320659062
Castlereagh_South_A,N21000553,2.278730703259005
Castlereagh_South_B,N21000554,2.3898695318495777
Castlereagh_South_C,N21000555,2.2376873661670236
Castlereagh_South_D,N21000556,2.453728661275831
Castlereagh_South_E,N21000557,2.8207326578332035
Castlereagh_South_F,N21000558,2.4528650646950094
Castlereagh_South_G,N21000559,2.480232558139535
Castlereagh_South_H,N21000560,2.39648033126294
Castlereagh_South_J,N21000561,2.739247311827957
Castlereagh_East_A,N21000562,2.4959266802443993
Castlereagh_East_B,N21000563,2.61228813559322
Castlereagh_East_C,N21000564,2.326592517694641
Castlereagh_East_D,N21000565,2.0945054945054946
Castlereagh_East_E,N21000566,2.059009483667018
Castlereagh_East_F,N21000567,2.107074569789675
Castlereagh_East_G,N21000568,2.224448897795591
Castlereagh_East_H,N21000569,2.4818548387096775
Castlereagh_East_J,N21000570,2.5210084033613445
Castlereagh_East_K,N21000571,2.486739469578783
Bannside_A,N21000572,2.621965317919075
Bannside_B,N21000573,2.2066390041493777
Bannside_C,N21000574,2.8103666245259165
Bannside_D,N21000575,2.323679727427598
Bannside_E,N21000576,2.4384615384615387
Bannside_F,N21000577,2.408974358974359
Bannside_G,N21000578,2.4254062038404727
Bannside_H,N21000579,3.116154873164219
Bannside_J,N21000580,2.8015350877192984
Ballymena_A,N21000581,2.377008652657602
Ballymena_B,N21000582,2.321256038647343
Ballymena_C,N21000583,2.4252199413489737
Ballymena_D,N21000584,2.4184782608695654
Ballymena_E,N21000585,2.3978599221789882
Ballymena_F,N21000586,2.368705035971223
Ballymena_G,N21000587,2.20460358056266
Ballymena_H,N21000588,2.2424547283702214
Ballymena_J,N21000589,2.0365217391304347
Ballymena_K,N21000590,2.460304054054054
Braid_A,N21000591,2.7401129943502824
Braid_B,N21000592,2.837618403247632
Braid_C,N21000593,2.6965408805031448
Braid_D,N21000594,2.1624605678233437
Braid_E,N21000595,2.312332439678284
Braid_F,N21000596,2.7774774774774773
Braid_G,N21000597,2.198522622345337
Braid_H,N21000598,2.6547711404189296
Braid_J,N21000599,2.126984126984127
Braid_K,N21000600,2.406356413166856
Coast_Road_A,N21000601,2.375409836065574
Coast_Road_B,N21000602,2.4015444015444016
Coast_Road_C,N21000603,2.5
Coast_Road_D,N21000604,2.3653421633554084
Coast_Road_E,N21000605,1.9633663366336633
Coast_Road_F,N21000606,2.392039800995025
Coast_Road_G,N21000607,2.122844827586207
Coast_Road_H,N21000608,2.0823293172690764
Coast_Road_J,N21000609,1.8846153846153846
Larne_Lough_A,N21000610,2.1461675579322637
Larne_Lough_B,N21000611,1.8545780969479353
Larne_Lough_C,N21000612,2.5463659147869673
Larne_Lough_D,N21000613,2.672093023255814
Larne_Lough_E,N21000614,2.3701149425287356
Larne_Lough_F,N21000615,2.3606870229007635
Larne_Lough_G,N21000616,2.4208809135399676
Larne_Lough_H,N21000617,1.875
Larne_Lough_J,N21000618,2.314977973568282
Carrick_Castle_A,N21000619,2.8426573426573425
Carrick_Castle_B,N21000620,2.268263473053892
Carrick_Castle_C,N21000621,2.766700924974306
Carrick_Castle_D,N21000622,2.2516483516483516
Carrick_Castle_E,N21000623,2.5541264737406215
Carrick_Castle_F,N21000624,2.107142857142857
Carrick_Castle_G,N21000625,1.7239635995955511
Carrick_Castle_H,N21000626,2.0793157076205286
Carrick_Castle_J,N21000627,1.70926517571885
Knockagh_A,N21000628,2.7001763668430336
Knockagh_B,N21000629,2.3585164835164836
Knockagh_C,N21000630,2.4096638655462184
Knockagh_D,N21000631,2.217125382262997
Knockagh_E,N21000632,2.2551020408163267
Knockagh_F,N21000633,2.341125541125541
Knockagh_G,N21000634,2.6601607347876004
Knockagh_H,N21000635,2.0429009193054135
Knockagh_J,N21000636,2.1865284974093266
Carntogher_A,N21000637,2.7284287011807447
Carntogher_B,N21000638,3.038961038961039
Carntogher_C,N21000639,3.0634057971014492
Carntogher_D,N21000640,3.241289198606272
Carntogher_E,N21000641,2.873762376237624
