GeographyCode,LC2211NI0001,LC2211NI0002,LC2211NI0003,LC2211NI0004,LC2211NI0005,LC2211NI0006,LC2211NI0007,LC2211NI0008,LC2211NI0009,LC2211NI0010,LC2211NI0011,LC2211NI0012
95LL20,2289,949,1242,98,205,193,9,3,2084,756,1233,95
95LL21,3753,2011,1533,209,445,415,16,14,3308,1596,1517,195
95LL22,3502,3183,208,111,654,645,3,6,2848,2538,205,105
95LL23,2058,280,1625,153,92,54,34,4,1966,226,1591,149
95LL24,3574,1229,2211,134,352,323,20,9,3222,906,2191,125
95LL25,4341,374,3688,279,96,66,23,7,4245,308,3665,272
95LL26,3559,3290,191,78,845,828,5,12,2714,2462,186,66
95MM01,4620,1856,2573,191,364,303,51,10,4256,1553,2522,181
95MM02,3167,2939,175,53,731,719,9,3,2436,2220,166,50
95MM03,3338,2303,953,82,514,477,28,9,2824,1826,925,73
95MM04,2091,2003,55,33,381,368,5,8,1710,1635,50,25
95MM05,2399,2272,107,20,425,407,9,9,1974,1865,98,11
95MM06,2500,2345,124,31,346,336,4,6,2154,2009,120,25
95MM07,2491,448,1936,107,123,71,48,4,2368,377,1888,103
95MM08,2855,1874,927,54,349,335,12,2,2506,1539,915,52
95MM09,3412,2467,879,66,384,371,12,1,3028,2096,867,65
95MM10,2633,2527,84,22,410,406,1,3,2223,2121,83,19
95MM11,2188,2128,48,12,336,331,4,1,1852,1797,44,11
95MM12,5563,5115,373,75,852,829,16,7,4711,4286,357,68
95MM13,8451,7886,452,113,1452,1406,33,13,6999,6480,419,100
95MM14,2459,1147,1201,111,222,196,23,3,2237,951,1178,108
95MM15,4234,2187,1895,152,339,293,39,7,3895,1894,1856,145
95MM16,5397,3579,1528,290,594,544,37,13,4803,3035,1491,277
95MM17,3622,3338,229,55,665,641,14,10,2957,2697,215,45
95MM18,4932,3250,1527,155,577,543,29,5,4355,2707,1498,150
95MM19,2904,1045,1712,147,198,150,40,8,2706,895,1672,139
95MM20,3259,710,2395,154,128,85,39,4,3131,625,2356,150
95MM21,3277,1256,1925,96,271,243,19,9,3006,1013,1906,87
95MM22,2424,2272,102,50,478,466,7,5,1946,1806,95,45
95MM23,2442,2132,205,105,419,389,13,17,2023,1743,192,88
95MM24,2406,2352,38,16,400,394,2,4,2006,1958,36,12
95MM25,6022,5763,186,73,1044,1023,13,8,4978,4740,173,65
95MM26,3021,2929,58,34,575,570,1,4,2446,2359,57,30
95MM27,3724,3045,426,253,802,710,60,32,2922,2335,366,221
95MM28,2276,1848,351,77,348,323,10,15,1928,1525,341,62
95MM29,3214,2348,747,119,498,467,15,16,2716,1881,732,103
95MM30,2020,1911,71,38,380,374,3,3,1640,1537,68,35
95NN01,3047,2627,344,76,393,376,12,5,2654,2251,332,71
95NN02,2143,1895,187,61,302,295,4,3,1841,1600,183,58
95NN03,2763,511,2051,201,82,53,26,3,2681,458,2025,198
