GeographyCode,LC2120NI0001,LC2120NI0002,LC2120NI0003,LC2120NI0004,LC2120NI0005,LC2120NI0006,LC2120NI0007,LC2120NI0008,LC2120NI0009,LC2120NI0010,LC2120NI0011,LC2120NI0012,LC2120NI0013,LC2120NI0014,LC2120NI0015,LC2120NI0016,LC2120NI0017,LC2120NI0018,LC2120NI0019,LC2120NI0020,LC2120NI0021,LC2120NI0022,LC2120NI0023,LC2120NI0024,LC2120NI0025,LC2120NI0026,LC2120NI0027,LC2120NI0028,LC2120NI0029,LC2120NI0030,LC2120NI0031,LC2120NI0032,LC2120NI0033,LC2120NI0034,LC2120NI0035,LC2120NI0036
95OO20,1674,441,1163,70,795,219,541,35,879,222,622,35,984,271,682,31,491,133,345,13,493,138,337,18,690,170,481,39,304,86,196,22,386,84,285,17
95OO21,1870,1610,201,59,918,792,92,34,952,818,109,25,878,773,74,31,436,381,35,20,442,392,39,11,992,837,127,28,482,411,57,14,510,426,70,14
95OO22,2374,2256,109,9,1209,1148,54,7,1165,1108,55,2,1208,1160,46,2,604,578,24,2,604,582,22,0,1166,1096,63,7,605,570,30,5,561,526,33,2
95PP01,1998,412,1532,54,1009,219,758,32,989,193,774,22,1178,224,923,31,584,105,461,18,594,119,462,13,820,188,609,23,425,114,297,14,395,74,312,9
95PP02,2029,1708,270,51,1054,874,148,32,975,834,122,19,1122,931,161,30,561,456,85,20,561,475,76,10,907,777,109,21,493,418,63,12,414,359,46,9
95PP03,1998,1432,522,44,999,699,275,25,999,733,247,19,1036,706,309,21,518,349,157,12,518,357,152,9,962,726,213,23,481,350,118,13,481,376,95,10
95PP04,2447,1330,1059,58,1229,677,523,29,1218,653,536,29,1422,729,657,36,708,359,328,21,714,370,329,15,1025,601,402,22,521,318,195,8,504,283,207,14
95PP05,1828,754,1032,42,932,375,536,21,896,379,496,21,1046,411,620,15,523,199,318,6,523,212,302,9,782,343,412,27,409,176,218,15,373,167,194,12
95PP06,2976,1533,1314,129,1373,708,595,70,1603,825,719,59,1568,812,693,63,782,395,354,33,786,417,339,30,1408,721,621,66,591,313,241,37,817,408,380,29
95PP07,2121,1261,782,78,1070,634,395,41,1051,627,387,37,1218,725,445,48,606,359,221,26,612,366,224,22,903,536,337,30,464,275,174,15,439,261,163,15
