GeographyCode,LC2301NI0001,LC2301NI0002,LC2301NI0003,LC2301NI0004,LC2301NI0005,LC2301NI0006,LC2301NI0007,LC2301NI0008,LC2301NI0009,LC2301NI0010,LC2301NI0011,LC2301NI0012,LC2301NI0013,LC2301NI0014,LC2301NI0015,LC2301NI0016,LC2301NI0017,LC2301NI0018,LC2301NI0019,LC2301NI0020,LC2301NI0021,LC2301NI0022,LC2301NI0023,LC2301NI0024,LC2301NI0025,LC2301NI0026,LC2301NI0027,LC2301NI0028,LC2301NI0029,LC2301NI0030,LC2301NI0031,LC2301NI0032
95KK14,2041,856,999,493,349,157,186,52,966,429,469,225,161,83,68,32,594,227,310,166,99,45,57,13,481,200,220,102,89,29,61,7
95KK15,2946,1862,858,296,444,118,226,76,1545,980,444,171,213,60,121,43,917,588,256,74,143,39,73,23,484,294,158,51,88,19,32,10
95KK16,2216,1458,385,132,186,67,373,154,936,672,121,43,55,23,143,69,715,471,131,42,64,25,113,54,565,315,133,47,67,19,117,31
95LL01,4931,3923,436,117,197,122,572,315,2646,2121,224,62,102,60,301,179,1464,1156,136,37,60,39,172,90,821,646,76,18,35,23,99,46
95LL02,3042,651,1718,376,826,516,673,359,1373,291,775,182,336,257,307,161,1001,238,524,117,265,142,239,128,668,122,419,77,225,117,127,70
95LL03,2436,198,1768,272,1071,425,470,279,951,97,655,109,374,172,199,126,845,70,601,90,380,131,174,110,640,31,512,73,317,122,97,43
95LL04,2985,2229,404,77,184,143,352,114,1361,1034,180,45,70,65,147,51,919,677,129,18,64,47,113,45,705,518,95,14,50,31,92,18
95LL05,4119,739,2712,753,1181,778,668,375,2143,364,1435,401,581,453,344,184,1284,225,819,213,390,216,240,149,692,150,458,139,210,109,84,42
95LL06,3372,331,2445,442,1242,761,596,352,1349,166,947,176,441,330,236,154,1264,111,913,163,500,250,240,133,759,54,585,103,301,181,120,65
95LL07,2131,217,1422,282,772,368,492,297,748,95,467,91,255,121,186,117,731,97,435,73,233,129,199,134,652,25,520,118,284,118,107,46
95LL08,3320,2352,276,39,159,78,692,230,1422,1014,104,15,65,24,304,69,1084,744,90,16,48,26,250,116,814,594,82,8,46,28,138,45
95LL09,3150,2453,312,68,156,88,385,154,1128,939,51,11,25,15,138,57,953,728,94,22,49,23,131,57,1069,786,167,35,82,50,116,40
95LL10,5475,4598,441,50,160,231,436,177,2923,2498,204,18,67,119,221,79,1614,1319,155,18,60,77,140,62,938,781,82,14,33,35,75,36
95LL11,3989,307,2989,1133,1071,785,693,453,2168,210,1598,613,544,441,360,254,1207,61,904,356,328,220,242,147,614,36,487,164,199,124,91,52
95LL12,4212,3381,210,47,125,38,621,270,1982,1618,83,12,58,13,281,117,1250,988,66,14,41,11,196,94,980,775,61,21,26,14,144,59
95LL13,2745,1462,612,169,317,126,671,350,1149,628,217,44,129,44,304,152,901,477,196,63,90,43,228,126,695,357,199,62,98,39,139,72
