GeographyCode,KS601NI0001,KS601NI0002,KS601NI0003,KS601NI0004,KS601NI0005,KS601NI0006,KS601NI0007,KS601NI0008,KS601NI0009,KS601NI0010,KS601NI0011,KS601NI0012,KS601NI0013,KS601NI0014,KS601NI0015,KS601NI0016,KS601NI0017,KS601NI0018,KS601NI0019,KS601NI0020,KS601NI0021,KS601NI0022,KS601NI0023,KS601NI0024,KS601NI0025,KS601NI0026,KS601NI0027,KS601NI0028,KS601NI0029,KS601NI0030,KS601NI0031
95RR03,1089,134,227,42,115,21,120,90,73,168,99,82,29,14,21,59,12.30,20.84,3.86,10.56,1.93,11.02,8.26,6.70,15.43,9.09,7.53,25.22,12.17,18.26,51.30
95RR04,1467,156,370,150,130,33,161,142,106,138,81,219,31,22,22,64,10.63,25.22,10.22,8.86,2.25,10.97,9.68,7.23,9.41,5.52,14.93,23.85,16.92,16.92,49.23
95RR05,1830,229,554,103,131,55,239,139,115,184,81,225,46,22,21,53,12.51,30.27,5.63,7.16,3.01,13.06,7.60,6.28,10.05,4.43,12.30,35.11,16.79,16.03,40.46
95RR06,1603,177,420,236,121,43,166,127,99,131,83,202,31,20,17,60,11.04,26.20,14.72,7.55,2.68,10.36,7.92,6.18,8.17,5.18,12.60,25.62,16.53,14.05,49.59
95RR07,1828,234,584,217,104,42,241,147,78,122,59,219,28,24,12,47,12.80,31.95,11.87,5.69,2.30,13.18,8.04,4.27,6.67,3.23,11.98,26.92,23.08,11.54,45.19
95RR08,1545,185,478,227,83,37,179,95,78,121,62,218,22,16,8,35,11.97,30.94,14.69,5.37,2.39,11.59,6.15,5.05,7.83,4.01,14.11,26.51,19.28,9.64,42.17
95RR09,2708,303,1056,226,200,86,222,162,138,221,94,323,56,21,26,102,11.19,39.00,8.35,7.39,3.18,8.20,5.98,5.10,8.16,3.47,11.93,28.00,10.50,13.00,51.00
95RR10,982,105,211,31,123,17,154,65,67,133,76,76,43,16,39,57,10.69,21.49,3.16,12.53,1.73,15.68,6.62,6.82,13.54,7.74,7.74,34.96,13.01,31.71,46.34
95RR11,1823,178,450,183,67,26,209,91,53,170,396,234,11,12,5,36,9.76,24.68,10.04,3.68,1.43,11.46,4.99,2.91,9.33,21.72,12.84,16.42,17.91,7.46,53.73
95RR12,1151,133,351,77,64,21,254,74,48,92,37,192,26,11,15,25,11.56,30.50,6.69,5.56,1.82,22.07,6.43,4.17,7.99,3.21,16.68,40.63,17.19,23.44,39.06
95RR13,1042,117,282,56,89,11,201,59,38,145,44,133,26,14,17,40,11.23,27.06,5.37,8.54,1.06,19.29,5.66,3.65,13.92,4.22,12.76,29.21,15.73,19.10,44.94
95RR14,1427,156,426,185,85,38,170,110,89,103,65,220,28,14,14,36,10.93,29.85,12.96,5.96,2.66,11.91,7.71,6.24,7.22,4.56,15.42,32.94,16.47,16.47,42.35
95RR15,1716,214,490,262,107,40,144,156,129,110,64,319,32,17,14,46,12.47,28.55,15.27,6.24,2.33,8.39,9.09,7.52,6.41,3.73,18.59,29.91,15.89,13.08,42.99
95SS01,3821,470,1516,459,79,97,413,182,123,166,316,702,25,9,11,33,12.30,39.68,12.01,2.07,2.54,10.81,4.76,3.22,4.34,8.27,18.37,31.65,11.39,13.92,41.77
95SS02,3066,462,1224,234,77,137,502,196,103,91,40,626,29,14,11,37,15.07,39.92,7.63,2.51,4.47,16.37,6.39,3.36,2.97,1.30,20.42,37.66,18.18,14.29,48.05
95SS03,2505,343,799,462,43,96,451,148,71,62,30,625,12,10,5,15,13.69,31.90,18.44,1.72,3.83,18.00,5.91,2.83,2.48,1.20,24.95,27.91,23.26,11.63,34.88
95SS04,5541,819,2572,389,197,196,473,276,181,352,86,799,54,38,23,97,14.78,46.42,7.02,3.56,3.54,8.54,4.98,3.27,6.35,1.55,14.42,27.41,19.29,11.68,49.24
95SS05,2538,341,1075,213,103,71,402,102,75,100,56,455,26,21,12,36,13.44,42.36,8.39,4.06,2.80,15.84,4.02,2.96,3.94,2.21,17.93,25.24,20.39,11.65,34.95
95SS06,3942,531,727,155,364,183,199,435,436,676,236,334,139,46,106,170,13.47,18.44,3.93,9.23,4.64,5.05,11.04,11.06,17.15,5.99,8.47,38.19,12.64,29.12,46.70
95SS07,6303,1037,2545,446,298,245,469,400,297,423,143,827,95,43,66,128,16.45,40.38,7.08,4.73,3.89,7.44,6.35,4.71,6.71,2.27,13.12,31.88,14.43,22.15,42.95
95SS08,3363,466,1281,450,101,91,462,208,130,110,64,677,35,27,10,45,13.86,38.09,13.38,3.00,2.71,13.74,6.18,3.87,3.27,1.90,20.13,34.65,26.73,9.90,44.55
95SS09,2454,307,914,402,54,67,384,152,93,48,33,579,15,15,4,18,12.51,37.25,16.38,2.20,2.73,15.65,6.19,3.79,1.96,1.34,23.59,27.78,27.78,7.41,33.33
95SS10,3257,431,1423,244,122,182,327,266,96,123,43,623,36,24,14,46,13.23,43.69,7.49,3.75,5.59,10.04,8.17,2.95,3.78,1.32,19.13,29.51,19.67,11.48,37.70
95SS11,3978,578,1657,469,142,189,379,211,131,155,67,697,41,27,20,65,14.53,41.65,11.79,3.57,4.75,9.53,5.30,3.29,3.90,1.68,17.52,28.87,19.01,14.08,45.77
