GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
95II14,1026,79,462,398,73,14,1537,7.70,45.03,38.79,7.12,1.36
95II15,1319,86,594,553,66,20,1980,6.52,45.03,41.93,5.00,1.52
95II16,890,242,412,193,36,7,934,27.19,46.29,21.69,4.04,0.79
95II17,1190,284,577,273,41,15,1314,23.87,48.49,22.94,3.45,1.26
95II18,1090,341,555,169,20,5,974,31.28,50.92,15.50,1.83,0.46
95II19,1389,111,467,552,170,89,2481,7.99,33.62,39.74,12.24,6.41
95II20,1211,191,610,356,44,10,1495,15.77,50.37,29.40,3.63,0.83
95II21,1045,349,490,175,25,6,940,33.40,46.89,16.75,2.39,0.57
95II22,990,212,460,256,53,9,1170,21.41,46.46,25.86,5.35,0.91
95II23,910,192,433,246,33,6,1050,21.10,47.58,27.03,3.63,0.66
95JJ01,892,62,291,378,104,57,1623,6.95,32.62,42.38,11.66,6.39
95JJ02,1074,250,466,292,43,23,1288,23.28,43.39,27.19,4.00,2.14
95JJ03,1023,419,429,142,28,5,817,40.96,41.94,13.88,2.74,0.49
95JJ04,1279,198,576,380,92,33,1763,15.48,45.04,29.71,7.19,2.58
95JJ05,892,455,349,73,9,6,546,51.01,39.13,8.18,1.01,0.67
95JJ06,1063,455,456,126,23,3,791,42.80,42.90,11.85,2.16,0.28
95JJ07,1092,445,488,127,29,3,843,40.75,44.69,11.63,2.66,0.27
95JJ08,1187,141,451,439,112,44,1859,11.88,37.99,36.98,9.44,3.71
95JJ09,839,92,332,303,76,36,1330,10.97,39.57,36.11,9.06,4.29
95JJ10,1027,161,426,291,103,46,1527,15.68,41.48,28.33,10.03,4.48
95JJ11,1542,254,686,493,90,19,2028,16.47,44.49,31.97,5.84,1.23
95JJ12,1002,174,399,300,76,53,1470,17.37,39.82,29.94,7.58,5.29
95JJ13,1457,125,712,481,116,23,2119,8.58,48.87,33.01,7.96,1.58
95JJ14,849,101,304,292,107,45,1421,11.90,35.81,34.39,12.60,5.30
95JJ15,779,140,407,190,31,11,927,17.97,52.25,24.39,3.98,1.41
95JJ16,916,307,431,148,26,4,824,33.52,47.05,16.16,2.84,0.44
95JJ17,824,61,279,343,101,40,1445,7.40,33.86,41.63,12.26,4.85
95JJ18,975,353,406,173,33,10,894,36.21,41.64,17.74,3.38,1.03
95JJ19,1128,139,496,361,96,36,1655,12.32,43.97,32.00,8.51,3.19
95JJ20,1618,222,748,526,103,19,2199,13.72,46.23,32.51,6.37,1.17
95JJ21,962,312,425,190,28,7,924,32.43,44.18,19.75,2.91,0.73
95JJ22,1088,120,475,406,73,14,1571,11.03,43.66,37.32,6.71,1.29
95KK01,836,98,331,280,74,53,1349,11.72,39.59,33.49,8.85,6.34
95KK02,722,84,257,262,72,47,1200,11.63,35.60,36.29,9.97,6.51
95KK03,704,60,221,266,94,63,1327,8.52,31.39,37.78,13.35,8.95
95KK04,974,211,445,243,52,23,1182,21.66,45.69,24.95,5.34,2.36
95KK05,803,74,269,289,102,69,1454,9.22,33.50,35.99,12.70,8.59
95KK06,737,152,330,187,56,12,922,20.62,44.78,25.37,7.60,1.63
95KK07,682,52,232,263,89,46,1233,7.62,34.02,38.56,13.05,6.74
95KK08,967,135,409,331,53,39,1396,13.96,42.30,34.23,5.48,4.03
95KK09,947,275,414,206,36,16,1000,29.04,43.72,21.75,3.80,1.69
95KK10,699,60,214,263,98,64,1323,8.58,30.62,37.63,14.02,9.16
95KK11,982,251,456,206,50,19,1103,25.56,46.44,20.98,5.09,1.93
95KK12,776,121,275,258,78,44,1236,15.59,35.44,33.25,10.05,5.67
95KK13,642,51,233,239,79,40,1122,7.94,36.29,37.23,12.31,6.23
95KK14,703,107,261,212,77,46,1125,15.22,37.13,30.16,10.95,6.54
95KK15,921,66,316,354,116,69,1686,7.17,34.31,38.44,12.60,7.49
95KK16,809,163,361,197,61,27,1055,20.15,44.62,24.35,7.54,3.34
95LL01,1579,104,564,657,169,85,2770,6.59,35.72,41.61,10.70,5.38
95LL02,1367,469,563,272,47,16,1312,34.31,41.19,19.90,3.44,1.17
95LL03,1092,377,506,169,30,10,977,34.52,46.34,15.48,2.75,0.92
95LL04,1090,287,481,257,52,13,1210,26.33,44.13,23.58,4.77,1.19
95LL05,1454,79,518,641,161,55,2536,5.43,35.63,44.09,11.07,3.78
