GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
95FF09,2522,913,408,583,44,189,17,212,156,36.20,16.18,23.12,1.74,7.49,0.67,8.41,6.19
95FF10,3473,434,1428,503,57,450,21,430,150,12.50,41.12,14.48,1.64,12.96,0.60,12.38,4.32
95FF11,2582,725,1109,204,6,246,25,187,80,28.08,42.95,7.90,0.23,9.53,0.97,7.24,3.10
95FF12,2724,1373,393,361,52,175,21,203,146,50.40,14.43,13.25,1.91,6.42,0.77,7.45,5.36
95FF13,2708,890,772,436,25,240,16,192,137,32.87,28.51,16.10,0.92,8.86,0.59,7.09,5.06
95FF14,2432,310,856,497,59,352,21,221,116,12.75,35.20,20.44,2.43,14.47,0.86,9.09,4.77
95FF15,2740,983,999,227,8,180,18,175,150,35.88,36.46,8.28,0.29,6.57,0.66,6.39,5.47
95FF16,2374,476,712,608,59,169,7,239,104,20.05,29.99,25.61,2.49,7.12,0.29,10.07,4.38
95FF17,1724,553,376,336,39,127,14,184,95,32.08,21.81,19.49,2.26,7.37,0.81,10.67,5.51
95GG01,4907,4244,14,14,0,13,12,163,447,86.49,0.29,0.29,0,0.26,0.24,3.32,9.11
95GG02,5987,4872,19,30,17,25,10,144,870,81.38,0.32,0.50,0.28,0.42,0.17,2.41,14.53
95GG03,5939,755,1369,984,309,633,98,1421,370,12.71,23.05,16.57,5.20,10.66,1.65,23.93,6.23
95GG04,4908,2154,674,594,192,176,63,467,588,43.89,13.73,12.10,3.91,3.59,1.28,9.52,11.98
95GG05,5928,2628,413,369,109,201,135,1476,597,44.33,6.97,6.22,1.84,3.39,2.28,24.90,10.07
95GG06,5626,251,1647,1378,533,489,71,748,509,4.46,29.27,24.49,9.47,8.69,1.26,13.30,9.05
95GG07,5485,4538,31,52,1,51,31,215,566,82.73,0.57,0.95,0.02,0.93,0.57,3.92,10.32
95GG08,4910,2790,459,304,162,169,45,521,460,56.82,9.35,6.19,3.30,3.44,0.92,10.61,9.37
95GG09,6165,392,1808,1333,450,617,54,1151,360,6.36,29.33,21.62,7.30,10.01,0.88,18.67,5.84
95GG10,3998,399,863,921,338,262,66,705,444,9.98,21.59,23.04,8.45,6.55,1.65,17.63,11.11
95GG11,5453,584,1232,918,287,543,71,1184,634,10.71,22.59,16.83,5.26,9.96,1.30,21.71,11.63
95GG12,8945,4484,514,389,86,249,305,1811,1107,50.13,5.75,4.35,0.96,2.78,3.41,20.25,12.38
95GG13,4722,1561,941,630,359,241,46,601,343,33.06,19.93,13.34,7.60,5.10,0.97,12.73,7.26
95GG14,4820,2459,771,423,195,142,40,477,313,51.02,16.00,8.78,4.05,2.95,0.83,9.90,6.49
95GG15,5920,653,1887,1044,361,489,45,1130,311,11.03,31.87,17.64,6.10,8.26,0.76,19.09,5.25
95GG16,5452,3471,243,210,58,115,80,732,543,63.66,4.46,3.85,1.06,2.11,1.47,13.43,9.96
95GG17,5330,3367,368,376,126,115,30,421,527,63.17,6.90,7.05,2.36,2.16,0.56,7.90,9.89
95GG18,4975,4004,14,24,20,25,29,174,685,80.48,0.28,0.48,0.40,0.50,0.58,3.50,13.77
95GG19,4582,320,1391,1379,333,254,23,397,485,6.98,30.36,30.10,7.27,5.54,0.50,8.66,10.58
95GG20,4901,817,1315,701,323,311,88,764,582,16.67,26.83,14.30,6.59,6.35,1.80,15.59,11.88
95GG21,5184,3962,53,32,12,48,111,203,763,76.43,1.02,0.62,0.23,0.93,2.14,3.92,14.72
95GG22,5343,4604,16,20,2,21,28,226,426,86.17,0.30,0.37,0.04,0.39,0.52,4.23,7.97
