GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
95WW07,3386,609,2777,2844,464,2380,356,103,253,76,17,59,110,25,85
95WW08,2085,289,1796,1776,225,1551,182,48,134,38,5,33,89,11,78
95WW09,2096,267,1829,1719,186,1533,219,63,156,59,11,48,99,7,92
95WW10,2284,298,1986,1876,215,1661,232,62,170,65,5,60,111,16,95
95WW11,2439,403,2036,1996,279,1717,280,84,196,62,22,40,101,18,83
95WW12,1923,159,1764,1630,115,1515,129,21,108,54,7,47,110,16,94
95WW13,2894,472,2422,2420,350,2070,301,96,205,70,11,59,103,15,88
95WW14,1791,114,1677,1526,85,1441,87,13,74,67,11,56,111,5,106
95WW15,2625,351,2274,2187,244,1943,253,72,181,63,13,50,122,22,100
95WW16,2374,251,2123,2028,191,1837,198,40,158,55,7,48,93,13,80
95WW17,1886,247,1639,1562,185,1377,189,43,146,51,7,44,84,12,72
95WW18,1845,250,1595,1548,192,1356,169,41,128,51,7,44,77,10,67
95WW19,4777,978,3799,3942,711,3231,593,217,376,100,24,76,142,26,116
95WW20,6289,956,5333,5325,712,4613,701,191,510,110,29,81,153,24,129
95WW21,2682,329,2353,2319,264,2055,194,44,150,56,7,49,113,14,99
95WW22,2357,305,2052,1960,221,1739,210,51,159,65,10,55,122,23,99
95WW23,4231,995,3236,3659,822,2837,407,137,270,56,14,42,109,22,87
95WW24,2794,285,2509,2416,230,2186,183,32,151,60,9,51,135,14,121
95WW25,1768,178,1590,1514,128,1386,118,34,84,40,5,35,96,11,85
95XX01,4122,704,3418,3420,535,2885,476,129,347,103,20,83,123,20,103
95XX02,2154,519,1635,1805,383,1422,265,114,151,28,7,21,56,15,41
95XX03,2240,393,1847,1834,290,1544,275,70,205,57,18,39,74,15,59
95XX04,2932,457,2475,2433,335,2098,334,101,233,70,10,60,95,11,84
95XX05,2274,370,1904,1922,277,1645,222,66,156,51,11,40,79,16,63
95XX06,2916,405,2511,2469,303,2166,273,73,200,60,11,49,114,18,96
95XX07,2409,476,1933,1971,360,1611,293,93,200,56,10,46,89,13,76
95XX08,2221,389,1832,1850,292,1558,254,83,171,45,9,36,72,5,67
95XX09,2378,401,1977,2000,290,1710,252,95,157,45,6,39,81,10,71
95XX10,3597,491,3106,3113,393,2720,282,63,219,73,11,62,129,24,105
95XX11,4796,652,4144,4134,520,3614,401,99,302,89,7,82,172,26,146
95XX12,2157,587,1570,1811,449,1362,231,89,142,46,21,25,69,28,41
95XX13,2312,505,1807,1885,366,1519,304,113,191,40,13,27,83,13,70
95XX14,2060,502,1558,1721,377,1344,249,96,153,42,15,27,48,14,34
