GeographyCode,LC4302NI0001,LC4302NI0002,LC4302NI0003,LC4302NI0004,LC4302NI0005,LC4302NI0006,LC4302NI0007,LC4302NI0008,LC4302NI0009,LC4302NI0010,LC4302NI0011,LC4302NI0012
95SS16S1,1427,289,1138,1277,232,1045,68,49,19,82,8,74
95SS16S2,1687,493,1194,898,219,679,690,242,448,99,32,67
95SS17S1,2675,404,2271,1973,262,1711,294,91,203,408,51,357
95SS17S2,1549,371,1178,870,141,729,403,173,230,276,57,219
95SS18S1,1415,327,1088,743,158,585,545,143,402,127,26,101
95SS18S2,1526,437,1089,892,194,698,368,200,168,266,43,223
95SS19S1,1305,264,1041,977,160,817,158,68,90,170,36,134
95SS19S2,1432,290,1142,825,158,667,464,110,354,143,22,121
95SS20W1,2605,567,2038,2247,490,1757,34,17,17,324,60,264
95SS21S1,2332,312,2020,2173,274,1899,15,10,5,144,28,116
95SS21S2,2382,370,2012,2139,327,1812,36,8,28,207,35,172
95SS22S1,1603,225,1378,937,178,759,98,22,76,568,25,543
95SS22S2,1642,302,1340,1497,258,1239,44,26,18,101,18,83
95SS23S1,2155,320,1835,1804,255,1549,82,35,47,269,30,239
95SS23S2,1658,283,1375,1355,206,1149,207,61,146,96,16,80
95SS24S1,2757,356,2401,2249,268,1981,94,35,59,414,53,361
95SS24S2,2317,353,1964,1879,253,1626,120,49,71,318,51,267
95SS25W1,2589,663,1926,961,214,747,1363,380,983,265,69,196
95SS26S1,1986,515,1471,914,214,700,970,273,697,102,28,74
95SS26S2,1795,345,1450,1466,287,1179,229,44,185,100,14,86
95SS27W1,2471,644,1827,1586,324,1262,570,253,317,315,67,248
95SS28W1,2557,636,1921,1500,379,1121,634,178,456,423,79,344
95SS29S1,1261,355,906,684,192,492,505,146,359,72,17,55
95SS29S2,1386,435,951,792,229,563,485,170,315,109,36,73
95SS30S1,640,98,542,525,81,444,30,10,20,85,7,78
95SS30S2,2230,321,1909,1770,294,1476,20,4,16,440,23,417
95TT01W1,2748,438,2310,2469,389,2080,34,6,28,245,43,202
95TT02W1,2685,497,2188,2171,388,1783,134,37,97,380,72,308
95TT03S1,1586,292,1294,1037,167,870,193,53,140,356,72,284
95TT03S2,1707,267,1440,1310,204,1106,26,13,13,371,50,321
95TT04W1,2984,571,2413,2368,418,1950,204,75,129,412,78,334
95TT05S1,1749,238,1511,1210,159,1051,5,2,3,534,77,457
95TT05S2,1269,333,936,594,138,456,327,144,183,348,51,297
95TT06W1,2723,496,2227,2283,355,1928,188,80,108,252,61,191
95TT07W1,2704,443,2261,2421,378,2043,44,17,27,239,48,191
95TT08W1,2724,478,2246,2446,396,2050,63,27,36,215,55,160
95TT09S1,1438,246,1192,1317,207,1110,27,12,15,94,27,67
95TT09S2,1479,217,1262,1392,204,1188,7,1,6,80,12,68
95TT10W1,2852,554,2298,1678,309,1369,399,123,276,775,122,653
95TT11S1,1641,264,1377,1461,219,1242,34,5,29,146,40,106
95TT11S2,1592,239,1353,1381,197,1184,70,19,51,141,23,118
95TT12W1,2641,512,2129,2306,429,1877,115,46,69,220,37,183
95TT13S1,1520,274,1246,1050,171,879,163,45,118,307,58,249
95TT13S2,1398,317,1081,727,159,568,277,85,192,394,73,321
95TT14W1,2211,461,1750,1510,279,1231,258,97,161,443,85,358
95TT15W1,2480,509,1971,2028,379,1649,168,61,107,284,69,215
95TT16W1,2691,461,2230,2236,360,1876,134,48,86,321,53,268
95UU06W1,1452,275,1177,1052,186,866,130,42,88,270,47,223
95UU09W1,1688,280,1408,1344,204,1140,90,26,64,254,50,204
95UU14W1,1723,370,1353,1089,216,873,269,99,170,365,55,310
95UU99C1,2042,427,1615,1477,260,1217,277,98,179,288,69,219
