GeographyCode,LC4103NI0001,LC4103NI0002,LC4103NI0003,LC4103NI0004,LC4103NI0005,LC4103NI0006,LC4103NI0007,LC4103NI0008,LC4103NI0009,LC4103NI0010,LC4103NI0011,LC4103NI0012,LC4103NI0013,LC4103NI0014,LC4103NI0015,LC4103NI0016,LC4103NI0017,LC4103NI0018,LC4103NI0019,LC4103NI0020
95WW19S2,2047,124,795,978,150,1962,114,752,952,144,10,0,9,0,1,75,10,34,26,5
95WW19S3,2306,106,629,1265,306,2123,54,572,1199,298,20,0,8,11,1,163,52,49,55,7
95WW20S1,1827,194,467,881,285,1656,147,422,833,254,51,5,14,13,19,120,42,31,35,12
95WW20S2,4574,1322,1775,1316,161,4122,1088,1640,1254,140,17,5,5,3,4,435,229,130,59,17
95WW20S3,1937,240,523,1011,163,1749,171,455,966,157,17,0,10,6,1,171,69,58,39,5
95WW21S1,1481,341,382,465,293,777,108,214,296,159,510,160,101,136,113,194,73,67,33,21
95WW21S2,2026,551,720,610,145,1435,296,596,443,100,330,123,65,112,30,261,132,59,55,15
95WW22S1,1414,202,319,699,194,1197,126,266,635,170,52,11,9,21,11,165,65,44,43,13
95WW22S2,1571,371,342,593,265,822,130,177,379,136,553,143,130,166,114,196,98,35,48,15
95WW23S1,2042,439,509,730,364,1331,161,349,560,261,298,75,39,110,74,413,203,121,60,29
95WW23S2,1398,128,273,681,316,1240,52,230,654,304,2,0,1,1,0,156,76,42,26,12
95WW24S1,1498,266,400,505,327,940,105,298,327,210,243,60,43,77,63,315,101,59,101,54
95WW24S2,1926,595,433,594,304,941,181,222,350,188,626,180,155,200,91,359,234,56,44,25
95WW25W1,2071,380,400,766,525,1085,181,242,424,238,771,137,124,273,237,215,62,34,69,50
95XX01S1,1730,144,413,934,239,1604,101,361,910,232,12,2,8,0,2,114,41,44,24,5
95XX01S2,1930,199,720,931,80,1801,146,666,911,78,25,4,15,4,2,104,49,39,16,0
95XX01S3,1599,235,421,771,172,1424,169,378,709,168,31,0,8,22,1,144,66,35,40,3
95XX02W1,2573,174,601,1256,542,2245,105,490,1145,505,28,6,0,13,9,300,63,111,98,28
95XX03S1,1246,96,277,561,312,1179,85,248,541,305,0,0,0,0,0,67,11,29,20,7
95XX03S2,1475,168,286,773,248,1349,128,247,734,240,8,5,0,2,1,118,35,39,37,7
95XX04S1,1687,148,449,847,243,1578,119,409,822,228,20,3,17,0,0,89,26,23,25,15
95XX04S2,1934,274,603,828,229,1718,181,548,768,221,6,6,0,0,0,210,87,55,60,8
95XX05W1,2591,342,461,1070,718,1851,132,283,863,573,218,34,43,67,74,522,176,135,140,71
95XX06S1,1724,381,405,631,307,1031,114,237,477,203,374,130,71,101,72,319,137,97,53,32
95XX06S2,2054,447,641,737,229,1560,266,518,628,148,262,80,53,69,60,232,101,70,40,21
95XX07S1,1420,135,219,682,384,1237,82,185,609,361,2,0,2,0,0,181,53,32,73,23
