GeographyCode,LC3303NI0001,LC3303NI0002,LC3303NI0003,LC3303NI0004,LC3303NI0005,LC3303NI0006,LC3303NI0007,LC3303NI0008,LC3303NI0009,LC3303NI0010,LC3303NI0011,LC3303NI0012,LC3303NI0013,LC3303NI0014,LC3303NI0015,LC3303NI0016,LC3303NI0017,LC3303NI0018,LC3303NI0019,LC3303NI0020,LC3303NI0021,LC3303NI0022,LC3303NI0023,LC3303NI0024,LC3303NI0025,LC3303NI0026,LC3303NI0027
95GG02S3,2224,1489,735,1512,988,524,712,501,211,1479,964,515,103,72,31,1376,892,484,745,525,220,609,429,180,136,96,40
95GG03S1,1952,228,1724,1638,138,1500,314,90,224,1660,147,1513,107,26,81,1553,121,1432,292,81,211,207,64,143,85,17,68
95GG03S2,1833,219,1614,1503,117,1386,330,102,228,1532,130,1402,110,31,79,1422,99,1323,301,89,212,220,71,149,81,18,63
95GG03S3,2072,412,1660,1680,269,1411,392,143,249,1669,262,1407,88,26,62,1581,236,1345,403,150,253,304,117,187,99,33,66
95GG04S1,1708,810,898,1200,514,686,508,296,212,1180,495,685,84,37,47,1096,458,638,528,315,213,424,259,165,104,56,48
95GG04S2,1564,701,863,1110,457,653,454,244,210,1117,452,665,84,33,51,1033,419,614,447,249,198,370,211,159,77,38,39
95GG04S3,1636,927,709,1120,592,528,516,335,181,1077,560,517,82,50,32,995,510,485,559,367,192,434,285,149,125,82,43
95GG05S1,1777,508,1269,1501,392,1109,276,116,160,1488,375,1113,66,20,46,1422,355,1067,289,133,156,210,96,114,79,37,42
95GG05S2,2009,541,1468,1747,442,1305,262,99,163,1735,433,1302,82,22,60,1653,411,1242,274,108,166,180,77,103,94,31,63
95GG05S3,2106,893,1213,1741,661,1080,365,232,133,1701,653,1048,81,57,24,1620,596,1024,405,240,165,284,175,109,121,65,56
95GG06S1,1866,655,1211,1398,477,921,468,178,290,1357,446,911,78,28,50,1279,418,861,509,209,300,390,150,240,119,59,60
95GG06S2,1779,493,1286,1313,307,1006,466,186,280,1284,299,985,91,28,63,1193,271,922,495,194,301,375,158,217,120,36,84
95GG06S3,1922,357,1565,1529,235,1294,393,122,271,1516,222,1294,93,22,71,1423,200,1223,406,135,271,300,100,200,106,35,71
95GG07S1,1844,732,1112,1359,476,883,485,256,229,1343,464,879,86,38,48,1257,426,831,501,268,233,399,218,181,102,50,52
95GG07S2,1922,1139,783,1405,810,595,517,329,188,1387,791,596,87,52,35,1300,739,561,535,348,187,430,277,153,105,71,34
95GG07S3,1701,766,935,1236,534,702,465,232,233,1225,524,701,85,40,45,1140,484,656,476,242,234,380,192,188,96,50,46
95GG08S1,1394,167,1227,1089,100,989,305,67,238,1102,96,1006,78,11,67,1024,85,939,292,71,221,227,56,171,65,15,50
95GG08S2,1730,644,1086,1269,412,857,461,232,229,1250,403,847,86,35,51,1164,368,796,480,241,239,375,197,178,105,44,61
95GG08S3,1786,411,1375,1429,280,1149,357,131,226,1401,265,1136,72,17,55,1329,248,1081,385,146,239,285,114,171,100,32,68
95GG09S1,2089,115,1974,1759,61,1698,330,54,276,1790,65,1725,120,8,112,1670,57,1613,299,50,249,210,46,164,89,4,85
95GG09S2,1856,261,1595,1453,151,1302,403,110,293,1480,148,1332,117,26,91,1363,122,1241,376,113,263,286,84,202,90,29,61
