GeographyCode,QS605NI0001,QS605NI0002,QS605NI0003,QS605NI0004,QS605NI0005,QS605NI0006,QS605NI0007,QS605NI0008,QS605NI0009,QS605NI0010,QS605NI0011,QS605NI0012,QS605NI0013,QS605NI0014,QS605NI0015,QS605NI0016,QS605NI0017,QS605NI0018,QS605NI0019,QS605NI0020,QS605NI0021,QS605NI0022,QS605NI0023,QS605NI0024,QS605NI0025,QS605NI0026,QS605NI0027,QS605NI0028,QS605NI0029,QS605NI0030,QS605NI0031,QS605NI0032,QS605NI0033,QS605NI0034,QS605NI0035
N00002089,169,15,8,7,47,7,15,21,4,15,3,0,4,3,5,35,26,9,12,2,4,5,1,17,16,1,14,13,1,6,4,2,8,0,8
N00002090,200,10,8,2,38,5,12,12,9,13,2,5,1,3,2,19,14,5,38,10,6,18,4,18,16,2,20,18,2,24,16,8,20,11,9
N00002091,367,24,13,11,45,9,15,10,11,25,0,5,2,1,17,37,31,6,111,29,30,44,8,37,25,12,15,15,0,33,10,23,40,15,25
N00002092,176,12,6,6,24,4,12,4,4,12,1,1,0,3,7,23,19,4,42,9,8,22,3,20,13,7,13,12,1,15,9,6,15,4,11
N00002093,244,11,8,3,38,3,15,12,8,15,3,2,0,1,9,31,25,6,70,6,17,36,11,24,19,5,21,18,3,15,6,9,19,7,12
N00002094,317,20,12,8,48,5,11,16,16,19,5,2,0,3,9,39,31,8,67,8,16,28,15,32,29,3,23,22,1,36,15,21,33,13,20
N00002095,206,18,9,9,27,4,9,7,7,16,4,0,0,6,6,25,18,7,48,7,15,17,9,20,16,4,15,13,2,19,11,8,18,9,9
N00002096,213,24,14,10,24,5,8,5,6,21,6,3,3,1,8,23,16,7,58,21,7,19,11,14,12,2,16,16,0,21,11,10,12,3,9
N00002097,177,13,7,6,21,3,6,4,8,11,1,2,3,0,5,25,20,5,43,13,13,12,5,18,13,5,16,15,1,13,7,6,17,3,14
N00002098,160,4,3,1,17,1,5,7,4,7,2,2,0,0,3,13,8,5,45,17,14,14,0,22,19,3,17,15,2,21,7,14,14,9,5
N00002099,201,12,10,2,39,2,12,16,9,7,3,1,0,0,3,22,14,8,57,15,18,19,5,12,11,1,12,11,1,19,9,10,21,7,14
N00002100,200,19,13,6,27,4,6,9,8,8,0,2,0,1,5,26,22,4,54,18,12,19,5,14,12,2,16,15,1,23,5,18,13,6,7
N00002101,257,16,12,4,30,5,9,12,4,15,1,3,0,2,9,28,24,4,65,19,27,14,5,20,18,2,26,25,1,24,10,14,33,19,14
N00002102,173,15,9,6,18,3,9,5,1,8,1,0,0,2,5,24,10,14,47,15,10,18,4,13,11,2,11,10,1,22,5,17,15,5,10
N00002103,341,23,11,12,48,10,14,13,11,23,3,2,3,4,11,35,23,12,74,2,21,28,23,28,23,5,31,30,1,33,23,10,46,16,30
N00002104,99,4,3,1,3,0,0,1,2,7,1,0,0,1,5,12,9,3,20,0,2,9,9,11,10,1,13,11,2,11,8,3,18,7,11
N00002105,182,12,7,5,16,3,8,1,4,8,0,3,0,1,4,20,14,6,36,1,10,12,13,11,8,3,31,30,1,17,14,3,31,7,24
N00002106,168,14,7,7,19,3,5,8,3,11,2,2,0,2,5,19,9,10,35,1,11,9,14,15,12,3,12,12,0,22,17,5,21,7,14
N00002107,267,20,11,9,45,8,13,8,16,22,2,1,2,4,13,31,26,5,37,1,11,16,9,24,21,3,32,30,2,26,16,10,30,7,23
N00002108,126,9,6,3,12,2,2,5,3,5,0,0,0,2,3,15,12,3,18,3,7,7,1,11,9,2,16,15,1,17,11,6,23,6,17
N00002109,215,12,6,6,40,10,11,10,9,14,4,1,0,2,7,22,21,1,62,16,10,28,8,17,15,2,13,13,0,21,12,9,14,3,11
N00002110,201,19,14,5,28,3,10,10,5,10,3,2,0,0,5,27,19,8,51,10,12,22,7,14,8,6,13,11,2,17,10,7,22,7,15
N00002111,237,15,12,3,51,7,15,15,14,9,1,1,0,2,5,23,21,2,53,25,7,16,5,25,19,6,15,13,2,21,10,11,25,6,19
N00002112,205,17,11,6,31,2,19,2,8,9,1,2,0,0,6,27,24,3,58,13,20,20,5,16,12,4,16,16,0,17,6,11,14,4,10
N00002113,246,13,6,7,48,2,15,21,10,15,2,0,0,3,10,19,16,3,75,22,25,22,6,19,16,3,13,13,0,18,12,6,26,9,17
N00002114,150,13,11,2,15,3,8,3,1,4,0,2,0,0,2,15,12,3,33,6,7,8,12,13,10,3,17,17,0,15,8,7,25,9,16
N00002115,106,7,5,2,10,1,3,3,3,10,3,0,1,1,5,7,5,2,16,1,5,7,3,13,10,3,7,6,1,19,14,5,17,6,11
N00002116,103,4,4,0,6,0,2,1,3,5,2,0,0,1,2,4,1,3,15,1,6,5,3,16,10,6,9,8,1,24,18,6,20,5,15
N00002117,145,17,11,6,23,2,5,10,6,15,2,0,0,3,10,11,9,2,15,1,5,2,7,17,14,3,19,12,7,9,5,4,19,7,12
N00002118,188,14,5,9,16,3,2,5,6,8,0,2,1,1,4,16,10,6,28,0,15,7,6,18,10,8,26,24,2,31,21,10,31,9,22
N00002119,102,8,6,2,9,2,2,2,3,5,1,1,0,0,3,19,14,5,12,1,3,7,1,11,9,2,7,7,0,13,7,6,18,8,10
N00002120,114,6,6,0,13,1,5,3,4,8,1,1,0,1,5,15,13,2,27,10,8,5,4,8,5,3,13,12,1,14,4,10,10,1,9
N00002121,207,20,12,8,29,3,10,10,6,8,0,0,0,2,6,26,20,6,45,16,13,11,5,20,13,7,15,14,1,26,13,13,18,9,9
N00002122,250,16,13,3,35,6,11,7,11,15,2,3,0,1,9,21,18,3,69,30,18,9,12,23,18,5,20,20,0,31,12,19,20,9,11
N00002123,207,14,11,3,37,6,7,11,13,10,3,1,0,1,5,14,9,5,48,21,12,11,4,15,10,5,20,20,0,32,7,25,17,9,8
N00002124,172,15,12,3,22,4,7,6,5,8,1,1,0,0,6,22,15,7,43,11,14,15,3,14,8,6,18,16,2,17,8,9,13,6,7
N00002125,594,52,31,21,89,14,22,33,20,48,10,6,1,10,21,53,40,13,137,35,33,49,20,62,51,11,40,39,1,62,27,35,51,20,31
N00002126,199,18,14,4,31,3,8,10,10,16,2,2,1,1,10,28,20,8,30,2,18,8,2,15,14,1,18,18,0,24,8,16,19,4,15
N00002127,368,31,20,11,49,7,11,14,17,27,2,5,1,3,16,42,33,9,68,6,20,28,14,32,26,6,35,34,1,51,26,25,33,8,25
N00002128,367,26,18,8,40,1,11,16,12,16,5,2,1,0,8,50,36,14,67,5,29,7,26,28,19,9,35,34,1,46,28,18,59,17,42
N00002129,407,39,24,15,39,7,13,13,6,23,7,2,0,5,9,40,31,9,67,1,13,22,31,28,19,9,47,46,1,61,39,22,63,19,44
N00002130,184,13,13,0,28,4,10,6,8,8,2,2,1,0,3,10,7,3,38,3,8,8,19,13,10,3,17,13,4,34,28,6,23,6,17
N00002131,197,21,11,10,35,8,9,12,6,9,3,0,0,2,4,18,15,3,51,19,18,7,7,10,9,1,20,18,2,15,6,9,18,7,11
N00002132,175,11,9,2,12,4,2,4,2,10,0,0,0,0,10,20,14,6,52,14,17,12,9,13,8,5,18,17,1,16,9,7,23,7,16
N00002133,256,20,13,7,48,8,19,14,7,14,2,1,0,0,11,25,19,6,69,23,28,12,6,16,12,4,22,20,2,19,6,13,23,7,16
N00002134,169,11,6,5,26,5,7,7,7,8,1,0,0,1,6,10,7,3,32,19,5,7,1,14,9,5,26,25,1,24,15,9,18,10,8
N00002135,236,10,7,3,38,3,14,13,8,9,3,3,0,1,2,34,25,9,70,19,22,25,4,19,14,5,12,12,0,24,9,15,20,7,13
N00002136,126,7,5,2,13,4,2,3,4,7,3,0,0,1,3,13,13,0,17,0,9,3,5,7,5,2,25,23,2,18,13,5,19,5,14
N00002137,125,4,3,1,9,0,4,4,1,8,2,1,0,1,4,17,11,6,17,0,8,4,5,11,9,2,21,18,3,13,7,6,25,5,20
N00002138,113,14,7,7,6,1,0,4,1,5,0,1,0,1,3,15,13,2,20,0,6,5,9,9,5,4,15,13,2,12,5,7,17,6,11
N00002139,344,28,18,10,47,6,13,17,11,24,2,4,1,4,13,43,25,18,55,1,21,17,16,23,19,4,44,40,4,45,33,12,35,8,27
N00002140,122,19,10,9,32,2,10,12,8,5,2,1,0,0,2,12,7,5,15,2,4,5,4,10,7,3,13,13,0,7,2,5,9,3,6
N00002141,84,1,1,0,6,2,2,2,0,1,1,0,0,0,0,8,8,0,13,2,6,4,1,8,7,1,18,18,0,10,7,3,19,2,17
N00002142,80,1,0,1,0,0,0,0,0,3,0,1,0,0,2,8,5,3,16,0,6,2,8,9,7,2,21,18,3,5,3,2,17,5,12
N00002143,190,8,3,5,23,2,6,7,8,9,4,1,0,1,3,20,18,2,54,12,18,15,9,13,11,2,12,12,0,23,9,14,28,8,20
N00002144,248,18,11,7,43,7,16,12,8,11,3,3,1,0,4,21,17,4,59,14,19,17,9,24,20,4,23,21,2,25,13,12,24,5,19
N00002145,216,14,8,6,41,6,19,8,8,17,3,4,0,0,10,21,15,6,58,22,16,18,2,13,12,1,11,10,1,19,7,12,22,10,12
N00002146,175,12,10,2,30,2,8,12,8,14,6,0,2,1,5,15,11,4,44,16,6,18,4,21,15,6,14,14,0,12,7,5,13,2,11
N00002147,147,5,4,1,16,5,6,4,1,12,3,2,1,0,6,18,16,2,37,3,14,13,7,13,10,3,13,12,1,16,12,4,17,8,9
N00002148,200,19,14,5,29,4,8,11,6,13,2,4,0,1,6,15,11,4,59,27,16,13,3,12,9,3,15,14,1,23,9,14,15,5,10
N00002149,189,26,14,12,25,5,3,11,6,12,3,2,0,2,5,12,12,0,46,20,10,12,4,17,14,3,16,15,1,21,12,9,14,4,10
N00002150,145,14,6,8,25,4,6,9,6,10,2,0,2,1,5,19,18,1,26,10,5,5,6,9,7,2,18,16,2,13,8,5,11,5,6
N00002151,134,15,8,7,14,4,5,3,2,7,1,1,1,0,4,7,3,4,26,9,6,5,6,15,13,2,8,8,0,20,10,10,22,6,16
N00002152,138,10,10,0,6,2,1,2,1,15,3,1,0,5,6,7,6,1,23,7,4,10,2,9,7,2,28,27,1,18,10,8,22,8,14
N00002153,237,16,10,6,33,2,11,10,10,14,4,2,0,2,6,24,19,5,60,32,11,13,4,32,25,7,11,10,1,19,11,8,28,12,16
N00002154,174,11,5,6,20,5,6,8,1,9,3,1,0,0,5,27,23,4,43,16,12,9,6,13,11,2,18,17,1,18,9,9,15,4,11
N00002155,221,13,9,4,43,5,15,16,7,14,1,0,0,1,12,22,14,8,57,17,24,11,5,16,13,3,19,18,1,16,8,8,21,14,7
N00002156,141,10,5,5,19,4,2,6,7,8,2,0,0,0,6,17,13,4,25,4,10,9,2,18,17,1,12,9,3,23,13,10,9,3,6
N00002157,81,4,4,0,8,0,5,2,1,5,2,1,0,1,1,4,3,1,12,0,4,5,3,16,13,3,9,9,0,11,6,5,12,6,6
N00002158,213,16,12,4,28,7,12,5,4,12,2,1,0,0,9,29,22,7,57,18,15,21,3,17,14,3,13,12,1,20,4,16,21,3,18
N00002159,257,15,13,2,49,5,17,18,9,16,6,1,0,2,7,21,17,4,61,20,13,23,5,20,14,6,27,25,2,26,7,19,22,8,14
N00002160,174,15,11,4,37,3,15,14,5,12,1,0,0,0,11,17,15,2,41,13,9,11,8,20,12,8,11,11,0,13,6,7,8,4,4
N00002161,212,18,8,10,43,4,11,22,6,15,2,0,0,0,13,20,16,4,52,17,15,14,6,20,15,5,8,7,1,17,5,12,19,7,12
N00002162,208,9,5,4,47,4,18,13,12,9,2,3,0,0,4,25,22,3,50,14,5,26,5,8,7,1,16,16,0,26,12,14,18,5,13
N00002163,280,18,14,4,49,5,20,13,11,19,2,3,0,3,11,42,35,7,48,4,17,20,7,34,23,11,12,10,2,22,9,13,36,10,26
N00002164,123,8,4,4,10,1,3,4,2,12,2,3,1,0,6,12,8,4,25,2,8,8,7,13,7,6,15,15,0,15,9,6,13,2,11
N00002165,169,18,12,6,24,3,8,4,9,17,4,4,0,1,8,21,17,4,26,3,9,9,5,12,9,3,22,22,0,15,8,7,14,1,13
N00002166,151,15,8,7,25,5,4,7,9,9,2,1,0,1,5,14,9,5,26,0,5,10,11,13,8,5,18,18,0,15,6,9,16,4,12
N00002167,131,11,6,5,23,7,2,7,7,6,1,3,0,0,2,13,9,4,20,0,5,9,6,11,10,1,12,12,0,16,13,3,19,7,12
N00002168,151,12,6,6,18,2,3,11,2,7,0,3,0,1,3,14,12,2,19,1,1,7,10,21,16,5,12,11,1,25,13,12,23,9,14
N00002169,223,20,12,8,33,7,10,5,11,18,7,2,0,1,8,16,16,0,47,1,18,10,18,23,13,10,19,19,0,21,14,7,26,5,21
N00002170,116,10,5,5,10,2,1,3,4,6,1,2,0,0,3,13,11,2,18,3,2,9,4,11,9,2,16,14,2,15,7,8,17,5,12
N00002171,269,17,13,4,48,7,17,9,15,17,4,3,0,2,8,38,29,9,50,11,17,17,5,20,15,5,24,21,3,28,14,14,27,9,18
N00002172,305,20,9,11,52,14,11,17,10,17,1,5,2,2,7,52,46,6,50,4,18,21,7,30,26,4,30,25,5,24,7,17,30,8,22
N00002173,240,34,17,17,62,12,19,15,16,21,4,0,1,1,15,31,24,7,34,9,13,9,3,16,11,5,14,13,1,12,6,6,16,3,13
N00002174,232,24,16,8,38,9,7,10,12,23,1,5,1,6,10,33,24,9,42,19,8,13,2,11,9,2,19,18,1,20,7,13,22,8,14
N00002175,376,36,23,13,79,11,17,34,17,38,8,4,2,3,21,55,42,13,51,7,18,14,12,28,18,10,29,25,4,21,10,11,39,6,33
N00002176,287,25,20,5,46,6,10,18,12,20,3,1,0,5,11,46,42,4,39,4,15,12,8,25,17,8,26,22,4,30,23,7,30,7,23
N00002177,296,35,24,11,67,9,17,25,16,21,5,4,0,5,7,32,25,7,52,14,19,19,0,24,19,5,19,18,1,26,8,18,20,4,16
N00002178,224,11,7,4,45,8,10,13,14,15,2,3,0,1,9,27,19,8,41,8,9,18,6,26,16,10,24,22,2,20,8,12,15,6,9
N00002179,167,14,11,3,21,4,7,5,5,9,2,0,1,2,4,25,21,4,18,1,8,6,3,20,14,6,13,11,2,26,20,6,21,6,15
N00002180,101,7,4,3,8,2,0,4,2,7,2,2,0,0,3,10,10,0,9,0,2,4,3,13,9,4,10,9,1,21,18,3,16,2,14
N00002181,359,31,21,10,72,17,19,21,15,44,8,5,2,7,22,55,48,7,43,3,15,12,13,31,24,7,19,17,2,33,18,15,31,6,25
N00002182,176,20,16,4,27,6,7,8,6,18,1,0,1,5,11,16,15,1,31,7,13,3,8,23,15,8,19,15,4,10,4,6,12,1,11
N00002183,124,6,4,2,12,0,7,1,4,6,1,0,1,0,4,10,9,1,14,0,4,4,6,8,5,3,9,7,2,41,37,4,18,11,7
N00002184,72,8,6,2,6,1,1,1,3,4,1,0,0,2,1,4,4,0,8,0,4,2,2,6,5,1,5,4,1,21,15,6,10,1,9
N00002185,166,10,8,2,15,3,5,1,6,8,3,1,2,0,2,13,11,2,20,1,5,5,9,5,3,2,18,11,7,53,50,3,24,13,11
N00002186,108,8,4,4,8,5,2,1,0,7,4,0,0,3,0,7,6,1,11,1,1,3,6,6,3,3,7,7,0,33,30,3,21,9,12
N00002187,129,5,3,2,18,8,4,4,2,9,3,2,1,0,3,13,10,3,11,0,3,4,4,6,5,1,12,10,2,32,25,7,23,13,10
N00002188,52,3,3,0,2,1,0,0,1,1,0,0,0,0,1,3,3,0,8,1,5,1,1,2,2,0,7,7,0,12,9,3,14,5,9
N00002189,85,3,2,1,8,3,5,0,0,5,2,2,0,0,1,8,7,1,9,0,1,2,6,5,4,1,11,8,3,22,13,9,14,4,10
N00002190,220,17,14,3,17,2,8,2,5,19,4,4,0,2,9,13,13,0,25,0,13,9,3,22,15,7,31,26,5,51,35,16,25,8,17
N00002191,67,4,3,1,2,0,0,0,2,8,5,0,1,2,0,0,0,0,8,2,3,2,1,10,7,3,2,2,0,21,15,6,12,5,7
N00002192,240,16,11,5,35,8,13,9,5,21,7,2,1,4,7,42,31,11,35,6,9,14,6,22,17,5,20,15,5,22,13,9,27,12,15
N00002193,85,4,4,0,3,0,1,2,0,4,1,0,0,1,2,6,6,0,15,0,2,3,10,11,10,1,7,6,1,20,13,7,15,6,9
N00002194,82,5,3,2,3,0,2,0,1,6,1,0,2,2,1,6,4,2,8,0,4,3,1,8,6,2,12,11,1,20,14,6,14,4,10
N00002195,138,10,6,4,16,3,2,7,4,9,3,3,0,0,3,14,11,3,28,8,4,12,4,12,11,1,14,11,3,22,14,8,13,3,10
N00002196,288,29,16,13,56,10,10,19,17,21,3,1,2,3,12,49,43,6,36,6,15,7,8,25,18,7,23,22,1,26,14,12,23,6,17
N00002197,315,11,6,5,44,9,17,8,10,22,6,0,0,0,16,31,25,6,52,12,14,18,8,40,33,7,39,33,6,42,24,18,34,11,23
N00002198,105,0,0,0,8,0,3,3,2,5,1,0,0,1,3,10,7,3,14,0,2,7,5,12,6,6,18,17,1,15,13,2,23,5,18
N00002199,127,6,4,2,8,2,2,2,2,6,0,3,0,0,3,6,6,0,16,0,6,7,3,18,14,4,21,17,4,20,14,6,26,7,19
N00002200,153,7,6,1,17,0,5,9,3,3,1,0,0,1,1,17,13,4,20,2,5,7,6,23,15,8,13,10,3,22,11,11,31,7,24
N00002201,61,3,1,2,7,0,4,0,3,5,1,1,0,0,3,9,7,2,3,1,1,1,0,5,5,0,6,6,0,12,10,2,11,2,9
N00002202,179,11,9,2,23,0,13,8,2,12,0,0,0,0,12,18,10,8,22,0,5,12,5,18,11,7,27,20,7,22,15,7,26,5,21
N00002203,597,81,53,28,134,17,42,33,42,65,9,7,2,6,41,84,63,21,58,5,18,22,13,49,41,8,60,52,8,36,20,16,30,7,23
N00002204,221,34,17,17,45,7,5,21,12,23,2,4,0,4,13,25,20,5,31,12,5,8,6,17,12,5,17,17,0,17,10,7,12,3,9
N00002205,402,39,23,16,95,19,31,24,21,51,10,5,1,3,32,55,43,12,42,6,15,10,11,24,19,5,38,34,4,33,22,11,25,7,18
N00002206,168,15,13,2,32,8,11,6,7,19,3,1,0,1,14,20,15,5,21,1,10,8,2,21,18,3,9,7,2,14,11,3,17,4,13
N00002207,147,13,10,3,21,3,6,10,2,17,2,2,0,2,11,15,12,3,21,3,8,6,4,14,12,2,19,17,2,11,7,4,16,4,12
N00002208,131,15,7,8,12,2,3,3,4,4,0,0,0,1,3,14,7,7,27,6,11,6,4,8,5,3,18,16,2,20,11,9,13,6,7
N00002209,164,17,12,5,19,6,7,3,3,8,1,3,1,0,3,23,19,4,27,0,13,9,5,23,17,6,17,13,4,18,6,12,12,3,9
N00002210,200,19,7,12,38,6,12,13,7,22,2,1,1,3,15,20,14,6,38,8,7,20,3,21,17,4,21,17,4,10,3,7,11,3,8
N00002211,96,4,1,3,10,4,2,3,1,7,2,0,0,1,4,10,10,0,19,3,5,5,6,11,7,4,12,11,1,13,10,3,10,2,8
N00002212,113,9,9,0,10,0,5,2,3,13,4,2,2,2,3,16,12,4,14,0,5,6,3,11,8,3,8,8,0,17,11,6,15,4,11
N00002213,361,29,15,14,43,7,16,12,8,34,9,9,3,5,8,45,37,8,62,7,26,14,15,36,27,9,28,22,6,40,25,15,44,13,31
N00002214,169,10,7,3,26,8,6,8,4,14,1,6,0,2,5,23,18,5,16,0,4,4,8,13,10,3,19,19,0,18,9,9,30,2,28
N00002215,113,5,5,0,8,1,3,2,2,7,2,4,0,1,0,14,12,2,15,0,2,8,5,9,8,1,18,17,1,25,16,9,12,4,8
N00002216,118,5,4,1,14,3,3,3,5,7,1,1,1,1,3,15,9,6,15,2,2,4,7,8,6,2,18,18,0,23,14,9,13,2,11
N00002217,98,5,3,2,16,3,5,6,2,6,3,1,0,1,1,15,15,0,13,0,5,6,2,13,7,6,11,11,0,7,3,4,12,0,12
N00002218,99,5,3,2,10,1,3,3,3,9,1,2,0,1,5,12,10,2,11,2,6,2,1,10,7,3,13,11,2,18,11,7,11,2,9
N00002219,92,4,2,2,3,1,2,0,0,9,1,2,0,1,5,11,9,2,11,1,3,3,4,10,8,2,12,11,1,17,9,8,15,3,12
N00002220,218,12,9,3,24,4,12,3,5,20,5,2,4,0,9,35,29,6,24,1,10,7,6,22,19,3,26,20,6,26,19,7,29,10,19
N00002221,154,4,1,3,9,1,4,2,2,8,3,2,1,2,0,16,13,3,22,3,8,8,3,18,17,1,23,22,1,25,17,8,29,8,21
N00002222,120,4,4,0,6,2,1,1,2,3,0,1,0,1,1,8,7,1,17,3,6,4,4,9,8,1,13,12,1,28,20,8,32,11,21
N00002223,57,3,2,1,5,1,2,0,2,3,1,0,0,1,1,5,4,1,8,0,3,3,2,8,8,0,6,6,0,12,8,4,7,3,4
N00002224,85,6,5,1,3,1,1,0,1,4,0,1,1,0,2,10,7,3,4,0,1,0,3,8,7,1,9,8,1,25,21,4,16,6,10
N00002225,104,6,5,1,6,1,3,1,1,2,1,0,0,1,0,10,10,0,16,0,5,8,3,5,3,2,18,16,2,22,12,10,19,3,16
N00002226,67,2,0,2,2,1,1,0,0,5,2,1,0,0,2,4,2,2,10,1,6,2,1,13,9,4,9,6,3,12,8,4,10,4,6
N00002227,81,3,2,1,7,3,2,0,2,3,1,0,1,1,0,3,3,0,17,0,3,4,10,10,10,0,9,8,1,16,10,6,13,3,10
N00002228,88,3,2,1,3,1,1,0,1,2,1,0,0,0,1,13,8,5,16,1,7,3,5,9,8,1,6,6,0,17,13,4,19,3,16
N00002229,464,24,13,11,49,8,13,14,14,26,2,8,4,3,9,41,35,6,48,2,18,16,12,50,43,7,41,37,4,114,90,24,71,22,49
N00002230,97,3,1,2,4,1,1,1,1,6,1,0,1,1,3,10,6,4,7,0,2,1,4,7,5,2,10,8,2,21,15,6,29,11,18
N00002231,77,1,1,0,7,1,2,2,2,5,0,2,0,1,2,4,3,1,8,0,3,1,4,11,10,1,9,9,0,14,14,0,18,5,13
N00002232,331,14,7,7,22,5,7,6,4,12,4,1,2,0,5,43,36,7,32,3,13,5,11,23,15,8,30,27,3,74,59,15,81,34,47
N00002233,162,5,4,1,8,2,3,1,2,10,1,2,0,0,7,12,8,4,14,1,5,4,4,15,14,1,23,19,4,40,37,3,35,13,22
N00002234,108,6,1,5,10,3,2,3,2,4,1,2,0,0,1,9,9,0,11,0,3,2,6,8,6,2,10,9,1,27,22,5,23,15,8
N00002235,100,4,3,1,4,0,3,1,0,2,1,1,0,0,0,11,11,0,10,2,1,2,5,9,8,1,11,10,1,27,24,3,22,7,15
N00002236,184,11,7,4,9,2,0,5,2,11,6,1,1,1,2,18,15,3,16,0,4,8,4,14,10,4,32,31,1,38,27,11,35,10,25
N00002237,144,9,3,6,8,1,4,2,1,5,2,1,0,0,2,13,12,1,21,0,7,8,6,15,10,5,20,20,0,22,15,7,31,8,23
N00002238,95,1,0,1,3,0,1,2,0,4,1,1,0,1,1,12,11,1,9,0,3,3,3,15,14,1,17,17,0,20,18,2,14,2,12
N00002239,86,3,3,0,3,1,0,2,0,2,0,1,0,0,1,4,2,2,16,0,7,5,4,11,9,2,9,6,3,18,11,7,20,4,16
N00002240,118,6,3,3,12,4,1,3,4,7,0,0,2,1,4,19,17,2,18,0,7,7,4,13,10,3,14,10,4,12,10,2,17,4,13
N00002241,98,12,6,6,6,0,0,2,4,6,1,1,0,1,3,7,6,1,9,0,5,0,4,6,6,0,11,10,1,23,22,1,18,8,10
N00002242,114,10,4,6,5,2,1,0,2,6,0,2,0,2,2,20,20,0,15,0,4,6,5,9,5,4,14,14,0,16,14,2,19,5,14
N00002243,71,4,2,2,6,0,2,2,2,6,1,0,0,1,4,4,3,1,10,0,6,2,2,8,6,2,7,6,1,17,10,7,9,3,6
N00002244,108,10,5,5,20,3,6,5,6,2,0,0,0,0,2,16,13,3,12,3,1,5,3,12,9,3,5,3,2,18,13,5,13,1,12
N00002245,23,1,0,1,4,0,2,2,0,1,0,0,0,0,1,5,5,0,0,0,0,0,0,3,3,0,3,2,1,4,2,2,2,1,1
N00002246,226,18,15,3,45,4,10,19,12,11,4,3,0,1,3,38,32,6,22,1,8,11,2,18,16,2,28,27,1,26,12,14,20,2,18
N00002247,211,22,12,10,25,5,4,11,5,23,2,8,0,5,8,29,26,3,17,1,5,9,2,21,16,5,25,19,6,24,15,9,25,6,19
N00002248,375,30,20,10,64,19,15,20,10,35,4,5,1,6,19,58,50,8,44,3,18,12,11,30,23,7,24,22,2,58,37,21,32,11,21
N00002249,304,26,17,9,76,11,18,29,18,26,8,4,0,2,12,37,31,6,23,2,7,8,6,28,16,12,37,34,3,24,16,8,27,7,20
N00002250,167,9,8,1,23,6,8,4,5,8,1,0,0,1,6,24,17,7,21,2,9,6,4,19,15,4,18,15,3,23,12,11,22,4,18
N00002251,202,24,15,9,26,7,8,6,5,12,4,1,0,1,6,17,14,3,20,2,9,6,3,25,18,7,26,22,4,23,18,5,29,5,24
N00002252,418,39,23,16,52,8,18,14,12,32,3,5,3,2,19,48,39,9,77,21,21,26,9,32,24,8,50,49,1,34,19,15,54,16,38
N00002253,189,19,11,8,38,7,10,13,8,17,5,2,0,2,8,16,13,3,30,5,10,10,5,15,9,6,12,12,0,21,12,9,21,13,8
N00002254,293,34,13,21,41,6,16,5,14,21,5,4,1,3,8,48,40,8,37,6,9,17,5,22,15,7,22,20,2,36,25,11,32,10,22
N00002255,255,25,16,9,51,7,15,17,12,17,2,0,1,4,10,44,35,9,33,8,4,12,9,26,19,7,20,18,2,23,11,12,16,3,13
N00002256,252,19,9,10,46,11,10,14,11,32,8,1,2,4,17,29,23,6,52,17,15,14,6,23,15,8,18,16,2,18,9,9,15,1,14
N00002257,154,13,6,7,23,4,10,7,2,14,4,1,3,1,5,23,18,5,15,2,6,5,2,17,14,3,16,13,3,19,10,9,14,3,11
N00002258,188,15,11,4,40,13,11,9,7,18,1,3,1,3,10,19,16,3,44,11,10,4,19,10,5,5,16,15,1,13,8,5,13,6,7
N00002259,167,13,11,2,22,3,7,8,4,15,2,0,0,5,8,28,23,5,20,0,5,9,6,18,13,5,11,10,1,18,5,13,22,3,19
N00002260,414,38,24,14,91,21,34,19,17,55,7,7,2,4,35,48,36,12,48,8,13,23,4,43,31,12,29,25,4,35,16,19,27,8,19
N00002261,344,39,27,12,62,9,22,18,13,38,8,3,6,4,17,47,41,6,38,10,11,9,8,32,22,10,28,27,1,34,14,20,26,2,24
N00002262,227,27,19,8,57,7,19,18,13,16,4,4,1,1,6,29,24,5,35,8,8,10,9,15,12,3,19,17,2,12,6,6,17,4,13
N00002263,244,34,25,9,44,10,13,14,7,27,0,3,1,2,21,28,22,6,35,16,6,10,3,16,15,1,28,25,3,17,8,9,15,4,11
N00002264,305,18,10,8,17,3,4,4,6,20,6,3,1,2,8,36,27,9,37,0,17,9,11,44,32,12,35,32,3,52,30,22,46,11,35
N00002265,272,16,11,5,31,4,8,10,9,14,3,2,1,1,7,35,30,5,26,0,9,9,8,30,19,11,31,30,1,45,32,13,44,12,32
N00002266,86,5,4,1,9,3,3,2,1,5,2,1,0,1,1,8,5,3,6,0,4,1,1,9,6,3,6,6,0,13,8,5,25,12,13
N00002267,161,12,9,3,13,3,3,2,5,12,1,2,0,3,6,23,17,6,20,3,3,6,8,18,13,5,17,16,1,27,20,7,19,5,14
N00002268,346,26,21,5,38,7,12,10,9,23,7,0,1,2,13,41,35,6,34,1,13,12,8,38,29,9,59,53,6,56,33,23,31,6,25
N00002269,89,3,0,3,8,1,2,2,3,1,0,0,0,0,1,11,11,0,8,1,1,1,5,9,7,2,9,9,0,15,11,4,25,3,22
N00002270,103,8,7,1,2,0,1,0,1,2,0,0,0,0,2,10,8,2,8,0,4,3,1,9,7,2,24,20,4,20,17,3,20,4,16
