GeographyCode,QS109NI0001,QS109NI0002,QS109NI0003,QS109NI0004,QS109NI0005,QS109NI0006,QS109NI0007,QS109NI0008,QS109NI0009,QS109NI0010,QS109NI0011,QS109NI0012,QS109NI0013,QS109NI0014,QS109NI0015,QS109NI0016,QS109NI0017
N00001703,613,113,46,39,28,237,122,56,59,88,45,41,2,175,123,51,1
N00001704,450,94,43,24,27,132,64,29,39,62,32,30,0,162,111,51,0
N00001705,118,37,14,11,12,43,20,5,18,17,8,8,1,21,15,6,0
N00001706,166,16,3,6,7,84,5,16,63,32,3,27,2,34,9,25,0
N00001707,145,12,4,1,7,82,12,19,51,21,3,17,1,30,12,18,0
N00001708,241,38,7,10,21,138,17,27,94,27,5,20,2,38,17,20,1
N00001709,120,26,10,5,11,39,10,9,20,13,4,9,0,42,17,24,1
N00001710,136,1,0,0,1,44,4,11,29,33,4,28,1,58,13,45,0
N00001711,137,4,1,2,1,69,10,15,44,27,6,17,4,37,12,25,0
N00001712,158,41,8,12,21,57,19,19,19,22,10,10,2,38,20,18,0
N00001713,110,3,2,0,1,19,4,4,11,22,9,13,0,66,42,23,1
N00001714,260,54,11,10,33,100,34,27,39,38,14,21,3,68,41,27,0
N00001715,127,49,11,4,34,42,12,8,22,16,5,10,1,20,10,10,0
N00001716,124,12,3,3,6,41,2,14,25,29,6,22,1,42,9,33,0
N00001717,132,20,0,9,11,66,5,28,33,23,3,19,1,23,6,17,0
N00001718,125,8,1,3,4,36,4,9,23,34,7,26,1,47,19,28,0
N00001719,123,42,9,6,27,58,8,18,32,11,3,7,1,12,7,5,0
N00001720,122,15,4,1,10,36,8,15,13,32,9,19,4,39,17,22,0
N00001721,117,29,6,5,18,50,12,19,19,17,4,12,1,21,12,8,1
N00001722,148,47,8,7,32,53,21,13,19,20,7,12,1,28,14,12,2
N00001723,127,38,7,6,25,49,11,13,25,13,7,6,0,27,10,17,0
N00001724,105,41,9,6,26,44,13,10,21,11,4,6,1,9,1,8,0
N00001725,117,35,11,7,17,47,14,13,20,14,6,7,1,21,11,9,1
N00001726,119,15,3,5,7,46,11,12,23,19,6,12,1,39,27,12,0
N00001727,114,19,5,5,9,19,4,9,6,20,5,15,0,56,25,30,1
N00001728,137,32,9,7,16,56,25,11,20,25,10,13,2,24,9,14,1
N00001729,136,30,4,5,21,52,8,15,29,15,5,8,2,39,23,15,1
N00001730,133,18,6,7,5,48,29,7,12,28,17,11,0,39,25,14,0
