GeographyCode,DC6301NI0001,DC6301NI0002,DC6301NI0003,DC6301NI0004,DC6301NI0005,DC6301NI0006,DC6301NI0007,DC6301NI0008,DC6301NI0009,DC6301NI0010,DC6301NI0011,DC6301NI0012,DC6301NI0013,DC6301NI0014,DC6301NI0015
95LL25S1,1995,364,1631,1738,289,1449,168,61,107,39,8,31,50,6,44
95LL25S2,1556,301,1255,1260,221,1039,216,66,150,27,3,24,53,11,42
95LL26S1,1294,107,1187,1140,88,1052,78,15,63,22,1,21,54,3,51
95LL26S2,1681,238,1443,1451,195,1256,146,33,113,29,5,24,55,5,50
95MM01S1,1182,104,1078,1037,83,954,60,13,47,31,3,28,54,5,49
95MM01S2,1313,205,1108,1125,157,968,117,36,81,28,3,25,43,9,34
95MM01S3,1302,209,1093,1095,156,939,128,35,93,34,6,28,45,12,33
95MM02S1,1365,234,1131,1147,181,966,133,38,95,32,8,24,53,7,46
95MM02S2,1373,336,1037,1162,260,902,149,56,93,19,3,16,43,17,26
95MM03W1,2617,420,2197,2254,319,1935,200,76,124,63,11,52,100,14,86
95MM04W1,1822,232,1590,1512,164,1348,118,41,77,64,10,54,128,17,111
95MM05W1,1955,209,1746,1671,158,1513,112,32,80,74,12,62,98,7,91
95MM06S1,1071,117,954,922,93,829,57,14,43,33,6,27,59,4,55
95MM06S2,944,79,865,823,63,760,54,11,43,28,2,26,39,3,36
95MM07W1,2105,290,1815,1773,204,1569,174,57,117,70,14,56,88,15,73
95MM08S1,1033,109,924,863,91,772,79,14,65,26,0,26,65,4,61
95MM08S2,1375,265,1110,1169,202,967,118,45,73,34,11,23,54,7,47
95MM09S1,1176,161,1015,1031,130,901,68,16,52,31,7,24,46,8,38
95MM09S2,1487,221,1266,1260,168,1092,131,36,95,37,9,28,59,8,51
95MM10S1,1021,86,935,882,67,815,44,13,31,30,3,27,65,3,62
95MM10S2,1005,92,913,849,71,778,65,13,52,31,5,26,60,3,57
95MM11W1,1736,154,1582,1482,114,1368,87,21,66,54,7,47,113,12,101
95MM12S1,1487,212,1275,1252,160,1092,118,34,84,50,11,39,67,7,60
95MM12S2,917,91,826,782,76,706,51,7,44,20,3,17,64,5,59
95MM12S3,1769,206,1563,1492,154,1338,131,29,102,44,10,34,102,13,89
95MM13S1,925,185,740,758,133,625,87,34,53,40,9,31,40,9,31
95MM13S2,906,87,819,792,71,721,42,8,34,19,3,16,53,5,48
95MM13S3,1105,137,968,963,112,851,51,12,39,42,6,36,49,7,42
95MM13S4,1728,230,1498,1454,173,1281,128,35,93,46,10,36,100,12,88
95MM13S5,1556,266,1290,1341,221,1120,149,36,113,28,4,24,38,5,33
95MM14S1,710,108,602,616,80,536,45,15,30,17,4,13,32,9,23
95MM14S2,1387,142,1245,1244,114,1130,68,14,54,27,7,20,48,7,41
95MM15S1,1441,254,1187,1228,199,1029,129,37,92,33,6,27,51,12,39
95MM15S2,1917,306,1611,1658,242,1416,151,44,107,46,10,36,62,10,52
95MM16S1,1748,187,1561,1512,149,1363,114,23,91,49,8,41,73,7,66
95MM16S2,2461,430,2031,2112,335,1777,223,70,153,54,15,39,72,10,62
95MM17S1,1563,250,1313,1309,185,1124,156,45,111,41,11,30,57,9,48
95MM17S2,1466,211,1255,1222,150,1072,132,40,92,39,13,26,73,8,65
95MM18S1,1711,229,1482,1491,187,1304,110,29,81,44,6,38,66,7,59
95MM18S2,2139,313,1826,1849,240,1609,177,48,129,47,8,39,66,17,49
