ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC6603NI1198,Count,PERSONS,"Males, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, All usual residents aged 16 to 74"
DC6603NI1199,Count,PERSONS,"Males, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Part-time hours worked per week: Total"
DC6603NI1200,Count,PERSONS,"Males, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Part-time hours worked per week: 15 hours or less"
DC6603NI1201,Count,PERSONS,"Males, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1202,Count,PERSONS,"Males, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Full-time hours worked per week: Total"
DC6603NI1203,Count,PERSONS,"Males, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1204,Count,PERSONS,"Males, Aged 16 to 64, 82.Transport and mobile machine drivers and operatives, Full-time hours worked per week: 49 or more hours"
DC6603NI1205,Count,PERSONS,"Males, Aged 16 to 64, 9.Elementary occupations, All usual residents aged 16 to 74"
DC6603NI1206,Count,PERSONS,"Males, Aged 16 to 64, 9.Elementary occupations, Part-time hours worked per week: Total"
DC6603NI1207,Count,PERSONS,"Males, Aged 16 to 64, 9.Elementary occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1208,Count,PERSONS,"Males, Aged 16 to 64, 9.Elementary occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1209,Count,PERSONS,"Males, Aged 16 to 64, 9.Elementary occupations, Full-time hours worked per week: Total"
DC6603NI1210,Count,PERSONS,"Males, Aged 16 to 64, 9.Elementary occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1211,Count,PERSONS,"Males, Aged 16 to 64, 9.Elementary occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1212,Count,PERSONS,"Males, Aged 16 to 64, 91.Elementary trades and related occupations, All usual residents aged 16 to 74"
DC6603NI1213,Count,PERSONS,"Males, Aged 16 to 64, 91.Elementary trades and related occupations, Part-time hours worked per week: Total"
DC6603NI1214,Count,PERSONS,"Males, Aged 16 to 64, 91.Elementary trades and related occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1215,Count,PERSONS,"Males, Aged 16 to 64, 91.Elementary trades and related occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1216,Count,PERSONS,"Males, Aged 16 to 64, 91.Elementary trades and related occupations, Full-time hours worked per week: Total"
DC6603NI1217,Count,PERSONS,"Males, Aged 16 to 64, 91.Elementary trades and related occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1218,Count,PERSONS,"Males, Aged 16 to 64, 91.Elementary trades and related occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1219,Count,PERSONS,"Males, Aged 16 to 64, 92.Elementary administration and service occupations, All usual residents aged 16 to 74"
DC6603NI1220,Count,PERSONS,"Males, Aged 16 to 64, 92.Elementary administration and service occupations, Part-time hours worked per week: Total"
DC6603NI1221,Count,PERSONS,"Males, Aged 16 to 64, 92.Elementary administration and service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1222,Count,PERSONS,"Males, Aged 16 to 64, 92.Elementary administration and service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1223,Count,PERSONS,"Males, Aged 16 to 64, 92.Elementary administration and service occupations, Full-time hours worked per week: Total"
DC6603NI1224,Count,PERSONS,"Males, Aged 16 to 64, 92.Elementary administration and service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1225,Count,PERSONS,"Males, Aged 16 to 64, 92.Elementary administration and service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1226,Count,PERSONS,"Males, Aged 65 to 74, All categories: Occupation, All usual residents aged 16 to 74"
DC6603NI1227,Count,PERSONS,"Males, Aged 65 to 74, All categories: Occupation, Part-time hours worked per week: Total"
DC6603NI1228,Count,PERSONS,"Males, Aged 65 to 74, All categories: Occupation, Part-time hours worked per week: 15 hours or less"
DC6603NI1229,Count,PERSONS,"Males, Aged 65 to 74, All categories: Occupation, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1230,Count,PERSONS,"Males, Aged 65 to 74, All categories: Occupation, Full-time hours worked per week: Total"
DC6603NI1231,Count,PERSONS,"Males, Aged 65 to 74, All categories: Occupation, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1232,Count,PERSONS,"Males, Aged 65 to 74, All categories: Occupation, Full-time hours worked per week: 49 or more hours"
DC6603NI1233,Count,PERSONS,"Males, Aged 65 to 74, 1.Managers, directors and senior officials, All usual residents aged 16 to 74"
DC6603NI1234,Count,PERSONS,"Males, Aged 65 to 74, 1.Managers, directors and senior officials, Part-time hours worked per week: Total"
DC6603NI1235,Count,PERSONS,"Males, Aged 65 to 74, 1.Managers, directors and senior officials, Part-time hours worked per week: 15 hours or less"
DC6603NI1236,Count,PERSONS,"Males, Aged 65 to 74, 1.Managers, directors and senior officials, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1237,Count,PERSONS,"Males, Aged 65 to 74, 1.Managers, directors and senior officials, Full-time hours worked per week: Total"
DC6603NI1238,Count,PERSONS,"Males, Aged 65 to 74, 1.Managers, directors and senior officials, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1239,Count,PERSONS,"Males, Aged 65 to 74, 1.Managers, directors and senior officials, Full-time hours worked per week: 49 or more hours"
DC6603NI1240,Count,PERSONS,"Males, Aged 65 to 74, 11.Corporate managers and directors, All usual residents aged 16 to 74"
DC6603NI1241,Count,PERSONS,"Males, Aged 65 to 74, 11.Corporate managers and directors, Part-time hours worked per week: Total"
DC6603NI1242,Count,PERSONS,"Males, Aged 65 to 74, 11.Corporate managers and directors, Part-time hours worked per week: 15 hours or less"
DC6603NI1243,Count,PERSONS,"Males, Aged 65 to 74, 11.Corporate managers and directors, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1244,Count,PERSONS,"Males, Aged 65 to 74, 11.Corporate managers and directors, Full-time hours worked per week: Total"
DC6603NI1245,Count,PERSONS,"Males, Aged 65 to 74, 11.Corporate managers and directors, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1246,Count,PERSONS,"Males, Aged 65 to 74, 11.Corporate managers and directors, Full-time hours worked per week: 49 or more hours"
DC6603NI1247,Count,PERSONS,"Males, Aged 65 to 74, 12.Other managers and proprietors, All usual residents aged 16 to 74"
DC6603NI1248,Count,PERSONS,"Males, Aged 65 to 74, 12.Other managers and proprietors, Part-time hours worked per week: Total"
DC6603NI1249,Count,PERSONS,"Males, Aged 65 to 74, 12.Other managers and proprietors, Part-time hours worked per week: 15 hours or less"
DC6603NI1250,Count,PERSONS,"Males, Aged 65 to 74, 12.Other managers and proprietors, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1251,Count,PERSONS,"Males, Aged 65 to 74, 12.Other managers and proprietors, Full-time hours worked per week: Total"
DC6603NI1252,Count,PERSONS,"Males, Aged 65 to 74, 12.Other managers and proprietors, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1253,Count,PERSONS,"Males, Aged 65 to 74, 12.Other managers and proprietors, Full-time hours worked per week: 49 or more hours"
DC6603NI1254,Count,PERSONS,"Males, Aged 65 to 74, 2.Professional occupations, All usual residents aged 16 to 74"
DC6603NI1255,Count,PERSONS,"Males, Aged 65 to 74, 2.Professional occupations, Part-time hours worked per week: Total"
DC6603NI1256,Count,PERSONS,"Males, Aged 65 to 74, 2.Professional occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1257,Count,PERSONS,"Males, Aged 65 to 74, 2.Professional occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1258,Count,PERSONS,"Males, Aged 65 to 74, 2.Professional occupations, Full-time hours worked per week: Total"
DC6603NI1259,Count,PERSONS,"Males, Aged 65 to 74, 2.Professional occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1260,Count,PERSONS,"Males, Aged 65 to 74, 2.Professional occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1261,Count,PERSONS,"Males, Aged 65 to 74, 21.Science, research, engineering and technology professionals, All usual residents aged 16 to 74"
DC6603NI1262,Count,PERSONS,"Males, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: Total"
DC6603NI1263,Count,PERSONS,"Males, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI1264,Count,PERSONS,"Males, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1265,Count,PERSONS,"Males, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: Total"
DC6603NI1266,Count,PERSONS,"Males, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1267,Count,PERSONS,"Males, Aged 65 to 74, 21.Science, research, engineering and technology professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI1268,Count,PERSONS,"Males, Aged 65 to 74, 22.Health professionals, All usual residents aged 16 to 74"
DC6603NI1269,Count,PERSONS,"Males, Aged 65 to 74, 22.Health professionals, Part-time hours worked per week: Total"
DC6603NI1270,Count,PERSONS,"Males, Aged 65 to 74, 22.Health professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI1271,Count,PERSONS,"Males, Aged 65 to 74, 22.Health professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1272,Count,PERSONS,"Males, Aged 65 to 74, 22.Health professionals, Full-time hours worked per week: Total"
DC6603NI1273,Count,PERSONS,"Males, Aged 65 to 74, 22.Health professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1274,Count,PERSONS,"Males, Aged 65 to 74, 22.Health professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI1275,Count,PERSONS,"Males, Aged 65 to 74, 23.Teaching and educational professionals, All usual residents aged 16 to 74"
DC6603NI1276,Count,PERSONS,"Males, Aged 65 to 74, 23.Teaching and educational professionals, Part-time hours worked per week: Total"
DC6603NI1277,Count,PERSONS,"Males, Aged 65 to 74, 23.Teaching and educational professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI1278,Count,PERSONS,"Males, Aged 65 to 74, 23.Teaching and educational professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1279,Count,PERSONS,"Males, Aged 65 to 74, 23.Teaching and educational professionals, Full-time hours worked per week: Total"
DC6603NI1280,Count,PERSONS,"Males, Aged 65 to 74, 23.Teaching and educational professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1281,Count,PERSONS,"Males, Aged 65 to 74, 23.Teaching and educational professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI1282,Count,PERSONS,"Males, Aged 65 to 74, 24.Business, media and public service professionals, All usual residents aged 16 to 74"
DC6603NI1283,Count,PERSONS,"Males, Aged 65 to 74, 24.Business, media and public service professionals, Part-time hours worked per week: Total"
DC6603NI1284,Count,PERSONS,"Males, Aged 65 to 74, 24.Business, media and public service professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI1285,Count,PERSONS,"Males, Aged 65 to 74, 24.Business, media and public service professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1286,Count,PERSONS,"Males, Aged 65 to 74, 24.Business, media and public service professionals, Full-time hours worked per week: Total"
DC6603NI1287,Count,PERSONS,"Males, Aged 65 to 74, 24.Business, media and public service professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1288,Count,PERSONS,"Males, Aged 65 to 74, 24.Business, media and public service professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI1289,Count,PERSONS,"Males, Aged 65 to 74, 3.Associate professional and technical occupations, All usual residents aged 16 to 74"
DC6603NI1290,Count,PERSONS,"Males, Aged 65 to 74, 3.Associate professional and technical occupations, Part-time hours worked per week: Total"
DC6603NI1291,Count,PERSONS,"Males, Aged 65 to 74, 3.Associate professional and technical occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1292,Count,PERSONS,"Males, Aged 65 to 74, 3.Associate professional and technical occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1293,Count,PERSONS,"Males, Aged 65 to 74, 3.Associate professional and technical occupations, Full-time hours worked per week: Total"
DC6603NI1294,Count,PERSONS,"Males, Aged 65 to 74, 3.Associate professional and technical occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1295,Count,PERSONS,"Males, Aged 65 to 74, 3.Associate professional and technical occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1296,Count,PERSONS,"Males, Aged 65 to 74, 31.Science, engineering and technology associate professionals, All usual residents aged 16 to 74"
DC6603NI1297,Count,PERSONS,"Males, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Part-time hours worked per week: Total"
DC6603NI1298,Count,PERSONS,"Males, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI1299,Count,PERSONS,"Males, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1300,Count,PERSONS,"Males, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Full-time hours worked per week: Total"
DC6603NI1301,Count,PERSONS,"Males, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1302,Count,PERSONS,"Males, Aged 65 to 74, 31.Science, engineering and technology associate professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI1303,Count,PERSONS,"Males, Aged 65 to 74, 32.Health and social care associate professionals, All usual residents aged 16 to 74"
DC6603NI1304,Count,PERSONS,"Males, Aged 65 to 74, 32.Health and social care associate professionals, Part-time hours worked per week: Total"
DC6603NI1305,Count,PERSONS,"Males, Aged 65 to 74, 32.Health and social care associate professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI1306,Count,PERSONS,"Males, Aged 65 to 74, 32.Health and social care associate professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1307,Count,PERSONS,"Males, Aged 65 to 74, 32.Health and social care associate professionals, Full-time hours worked per week: Total"
DC6603NI1308,Count,PERSONS,"Males, Aged 65 to 74, 32.Health and social care associate professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1309,Count,PERSONS,"Males, Aged 65 to 74, 32.Health and social care associate professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI1310,Count,PERSONS,"Males, Aged 65 to 74, 33.Protective service occupations, All usual residents aged 16 to 74"
DC6603NI1311,Count,PERSONS,"Males, Aged 65 to 74, 33.Protective service occupations, Part-time hours worked per week: Total"
DC6603NI1312,Count,PERSONS,"Males, Aged 65 to 74, 33.Protective service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1313,Count,PERSONS,"Males, Aged 65 to 74, 33.Protective service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1314,Count,PERSONS,"Males, Aged 65 to 74, 33.Protective service occupations, Full-time hours worked per week: Total"
DC6603NI1315,Count,PERSONS,"Males, Aged 65 to 74, 33.Protective service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1316,Count,PERSONS,"Males, Aged 65 to 74, 33.Protective service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1317,Count,PERSONS,"Males, Aged 65 to 74, 34.Culture, media and sports occupations, All usual residents aged 16 to 74"
DC6603NI1318,Count,PERSONS,"Males, Aged 65 to 74, 34.Culture, media and sports occupations, Part-time hours worked per week: Total"
DC6603NI1319,Count,PERSONS,"Males, Aged 65 to 74, 34.Culture, media and sports occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1320,Count,PERSONS,"Males, Aged 65 to 74, 34.Culture, media and sports occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1321,Count,PERSONS,"Males, Aged 65 to 74, 34.Culture, media and sports occupations, Full-time hours worked per week: Total"
DC6603NI1322,Count,PERSONS,"Males, Aged 65 to 74, 34.Culture, media and sports occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1323,Count,PERSONS,"Males, Aged 65 to 74, 34.Culture, media and sports occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1324,Count,PERSONS,"Males, Aged 65 to 74, 35.Business and public service associate professionals, All usual residents aged 16 to 74"
DC6603NI1325,Count,PERSONS,"Males, Aged 65 to 74, 35.Business and public service associate professionals, Part-time hours worked per week: Total"
DC6603NI1326,Count,PERSONS,"Males, Aged 65 to 74, 35.Business and public service associate professionals, Part-time hours worked per week: 15 hours or less"
DC6603NI1327,Count,PERSONS,"Males, Aged 65 to 74, 35.Business and public service associate professionals, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1328,Count,PERSONS,"Males, Aged 65 to 74, 35.Business and public service associate professionals, Full-time hours worked per week: Total"
DC6603NI1329,Count,PERSONS,"Males, Aged 65 to 74, 35.Business and public service associate professionals, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1330,Count,PERSONS,"Males, Aged 65 to 74, 35.Business and public service associate professionals, Full-time hours worked per week: 49 or more hours"
DC6603NI1331,Count,PERSONS,"Males, Aged 65 to 74, 4.Administrative and secretarial occupations, All usual residents aged 16 to 74"
DC6603NI1332,Count,PERSONS,"Males, Aged 65 to 74, 4.Administrative and secretarial occupations, Part-time hours worked per week: Total"
DC6603NI1333,Count,PERSONS,"Males, Aged 65 to 74, 4.Administrative and secretarial occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1334,Count,PERSONS,"Males, Aged 65 to 74, 4.Administrative and secretarial occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1335,Count,PERSONS,"Males, Aged 65 to 74, 4.Administrative and secretarial occupations, Full-time hours worked per week: Total"
DC6603NI1336,Count,PERSONS,"Males, Aged 65 to 74, 4.Administrative and secretarial occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1337,Count,PERSONS,"Males, Aged 65 to 74, 4.Administrative and secretarial occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1338,Count,PERSONS,"Males, Aged 65 to 74, 41.Administrative occupations, All usual residents aged 16 to 74"
DC6603NI1339,Count,PERSONS,"Males, Aged 65 to 74, 41.Administrative occupations, Part-time hours worked per week: Total"
DC6603NI1340,Count,PERSONS,"Males, Aged 65 to 74, 41.Administrative occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1341,Count,PERSONS,"Males, Aged 65 to 74, 41.Administrative occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1342,Count,PERSONS,"Males, Aged 65 to 74, 41.Administrative occupations, Full-time hours worked per week: Total"
DC6603NI1343,Count,PERSONS,"Males, Aged 65 to 74, 41.Administrative occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1344,Count,PERSONS,"Males, Aged 65 to 74, 41.Administrative occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1345,Count,PERSONS,"Males, Aged 65 to 74, 42.Secretarial and related occupations, All usual residents aged 16 to 74"
DC6603NI1346,Count,PERSONS,"Males, Aged 65 to 74, 42.Secretarial and related occupations, Part-time hours worked per week: Total"
DC6603NI1347,Count,PERSONS,"Males, Aged 65 to 74, 42.Secretarial and related occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1348,Count,PERSONS,"Males, Aged 65 to 74, 42.Secretarial and related occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1349,Count,PERSONS,"Males, Aged 65 to 74, 42.Secretarial and related occupations, Full-time hours worked per week: Total"
DC6603NI1350,Count,PERSONS,"Males, Aged 65 to 74, 42.Secretarial and related occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1351,Count,PERSONS,"Males, Aged 65 to 74, 42.Secretarial and related occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1352,Count,PERSONS,"Males, Aged 65 to 74, 5.Skilled trades occupations, All usual residents aged 16 to 74"
DC6603NI1353,Count,PERSONS,"Males, Aged 65 to 74, 5.Skilled trades occupations, Part-time hours worked per week: Total"
DC6603NI1354,Count,PERSONS,"Males, Aged 65 to 74, 5.Skilled trades occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1355,Count,PERSONS,"Males, Aged 65 to 74, 5.Skilled trades occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1356,Count,PERSONS,"Males, Aged 65 to 74, 5.Skilled trades occupations, Full-time hours worked per week: Total"
DC6603NI1357,Count,PERSONS,"Males, Aged 65 to 74, 5.Skilled trades occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1358,Count,PERSONS,"Males, Aged 65 to 74, 5.Skilled trades occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1359,Count,PERSONS,"Males, Aged 65 to 74, 51.Skilled agricultural and related trades, All usual residents aged 16 to 74"
DC6603NI1360,Count,PERSONS,"Males, Aged 65 to 74, 51.Skilled agricultural and related trades, Part-time hours worked per week: Total"
DC6603NI1361,Count,PERSONS,"Males, Aged 65 to 74, 51.Skilled agricultural and related trades, Part-time hours worked per week: 15 hours or less"
DC6603NI1362,Count,PERSONS,"Males, Aged 65 to 74, 51.Skilled agricultural and related trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1363,Count,PERSONS,"Males, Aged 65 to 74, 51.Skilled agricultural and related trades, Full-time hours worked per week: Total"
DC6603NI1364,Count,PERSONS,"Males, Aged 65 to 74, 51.Skilled agricultural and related trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1365,Count,PERSONS,"Males, Aged 65 to 74, 51.Skilled agricultural and related trades, Full-time hours worked per week: 49 or more hours"
DC6603NI1366,Count,PERSONS,"Males, Aged 65 to 74, 52.Skilled metal, electrical and electronic trades, All usual residents aged 16 to 74"
DC6603NI1367,Count,PERSONS,"Males, Aged 65 to 74, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: Total"
DC6603NI1368,Count,PERSONS,"Males, Aged 65 to 74, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: 15 hours or less"
DC6603NI1369,Count,PERSONS,"Males, Aged 65 to 74, 52.Skilled metal, electrical and electronic trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1370,Count,PERSONS,"Males, Aged 65 to 74, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: Total"
DC6603NI1371,Count,PERSONS,"Males, Aged 65 to 74, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1372,Count,PERSONS,"Males, Aged 65 to 74, 52.Skilled metal, electrical and electronic trades, Full-time hours worked per week: 49 or more hours"
DC6603NI1373,Count,PERSONS,"Males, Aged 65 to 74, 53.Skilled construction and building trades, All usual residents aged 16 to 74"
DC6603NI1374,Count,PERSONS,"Males, Aged 65 to 74, 53.Skilled construction and building trades, Part-time hours worked per week: Total"
DC6603NI1375,Count,PERSONS,"Males, Aged 65 to 74, 53.Skilled construction and building trades, Part-time hours worked per week: 15 hours or less"
DC6603NI1376,Count,PERSONS,"Males, Aged 65 to 74, 53.Skilled construction and building trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1377,Count,PERSONS,"Males, Aged 65 to 74, 53.Skilled construction and building trades, Full-time hours worked per week: Total"
DC6603NI1378,Count,PERSONS,"Males, Aged 65 to 74, 53.Skilled construction and building trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1379,Count,PERSONS,"Males, Aged 65 to 74, 53.Skilled construction and building trades, Full-time hours worked per week: 49 or more hours"
DC6603NI1380,Count,PERSONS,"Males, Aged 65 to 74, 54.Textiles, printing and other skilled trades, All usual residents aged 16 to 74"
DC6603NI1381,Count,PERSONS,"Males, Aged 65 to 74, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: Total"
DC6603NI1382,Count,PERSONS,"Males, Aged 65 to 74, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: 15 hours or less"
DC6603NI1383,Count,PERSONS,"Males, Aged 65 to 74, 54.Textiles, printing and other skilled trades, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1384,Count,PERSONS,"Males, Aged 65 to 74, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: Total"
DC6603NI1385,Count,PERSONS,"Males, Aged 65 to 74, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1386,Count,PERSONS,"Males, Aged 65 to 74, 54.Textiles, printing and other skilled trades, Full-time hours worked per week: 49 or more hours"
DC6603NI1387,Count,PERSONS,"Males, Aged 65 to 74, 6.Caring, leisure and other service occupations, All usual residents aged 16 to 74"
DC6603NI1388,Count,PERSONS,"Males, Aged 65 to 74, 6.Caring, leisure and other service occupations, Part-time hours worked per week: Total"
DC6603NI1389,Count,PERSONS,"Males, Aged 65 to 74, 6.Caring, leisure and other service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1390,Count,PERSONS,"Males, Aged 65 to 74, 6.Caring, leisure and other service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1391,Count,PERSONS,"Males, Aged 65 to 74, 6.Caring, leisure and other service occupations, Full-time hours worked per week: Total"
DC6603NI1392,Count,PERSONS,"Males, Aged 65 to 74, 6.Caring, leisure and other service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1393,Count,PERSONS,"Males, Aged 65 to 74, 6.Caring, leisure and other service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1394,Count,PERSONS,"Males, Aged 65 to 74, 61.Caring personal service occupations, All usual residents aged 16 to 74"
DC6603NI1395,Count,PERSONS,"Males, Aged 65 to 74, 61.Caring personal service occupations, Part-time hours worked per week: Total"
DC6603NI1396,Count,PERSONS,"Males, Aged 65 to 74, 61.Caring personal service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1397,Count,PERSONS,"Males, Aged 65 to 74, 61.Caring personal service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1398,Count,PERSONS,"Males, Aged 65 to 74, 61.Caring personal service occupations, Full-time hours worked per week: Total"
DC6603NI1399,Count,PERSONS,"Males, Aged 65 to 74, 61.Caring personal service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1400,Count,PERSONS,"Males, Aged 65 to 74, 61.Caring personal service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1401,Count,PERSONS,"Males, Aged 65 to 74, 62.Leisure, travel and related personal service occupations, All usual residents aged 16 to 74"
DC6603NI1402,Count,PERSONS,"Males, Aged 65 to 74, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: Total"
DC6603NI1403,Count,PERSONS,"Males, Aged 65 to 74, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1404,Count,PERSONS,"Males, Aged 65 to 74, 62.Leisure, travel and related personal service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1405,Count,PERSONS,"Males, Aged 65 to 74, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: Total"
DC6603NI1406,Count,PERSONS,"Males, Aged 65 to 74, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: 31 to 48 hours"
DC6603NI1407,Count,PERSONS,"Males, Aged 65 to 74, 62.Leisure, travel and related personal service occupations, Full-time hours worked per week: 49 or more hours"
DC6603NI1408,Count,PERSONS,"Males, Aged 65 to 74, 7.Sales and customer service occupations, All usual residents aged 16 to 74"
DC6603NI1409,Count,PERSONS,"Males, Aged 65 to 74, 7.Sales and customer service occupations, Part-time hours worked per week: Total"
DC6603NI1410,Count,PERSONS,"Males, Aged 65 to 74, 7.Sales and customer service occupations, Part-time hours worked per week: 15 hours or less"
DC6603NI1411,Count,PERSONS,"Males, Aged 65 to 74, 7.Sales and customer service occupations, Part-time hours worked per week: 16 to 30 hours"
DC6603NI1412,Count,PERSONS,"Males, Aged 65 to 74, 7.Sales and customer service occupations, Full-time hours worked per week: Total"
