ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC3604NI0191,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, Females, Day-to-day activities limited a little"
DC3604NI0192,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Part-time: 16 to 30 hours worked, Females, Day-to-day activities not limited"
DC3604NI0193,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, All categories: Sex, Disability: Total"
DC3604NI0194,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0195,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0196,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0197,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, Males, Disability: Total"
DC3604NI0198,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, Males, Day-to-day activities limited a lot"
DC3604NI0199,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, Males, Day-to-day activities limited a little"
DC3604NI0200,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, Males, Day-to-day activities not limited"
DC3604NI0201,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, Females, Disability: Total"
DC3604NI0202,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, Females, Day-to-day activities limited a lot"
DC3604NI0203,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, Females, Day-to-day activities limited a little"
DC3604NI0204,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 31 to 48 hours worked, Females, Day-to-day activities not limited"
DC3604NI0205,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, All categories: Sex, Disability: Total"
DC3604NI0206,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0207,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, All categories: Sex, Day-to-day activities limited a little"
DC3604NI0208,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, All categories: Sex, Day-to-day activities not limited"
DC3604NI0209,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, Males, Disability: Total"
DC3604NI0210,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, Males, Day-to-day activities limited a lot"
DC3604NI0211,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, Males, Day-to-day activities limited a little"
DC3604NI0212,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, Males, Day-to-day activities not limited"
DC3604NI0213,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, Females, Disability: Total"
DC3604NI0214,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, Females, Day-to-day activities limited a lot"
DC3604NI0215,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, Females, Day-to-day activities limited a little"
DC3604NI0216,Count,PERSONS,"Economically Active: In employment: Self-employed without employees: Full-time: 49 or more hours worked, Females, Day-to-day activities not limited"
DC3604NI0217,Count,PERSONS,"Economically Active: In employment: Full-time students, All categories: Sex, Disability: Total"
DC3604NI0218,Count,PERSONS,"Economically Active: In employment: Full-time students, All categories: Sex, Day-to-day activities limited a lot"
DC3604NI0219,Count,PERSONS,"Economically Active: In employment: Full-time students, All categories: Sex, Day-to-day activities limited a little"
